video,rate_hz,exp,fluoro,fps,cond,folder,image,channel,token,intensity,start_frame,end_frame,window_end_frame,analysis_frames,extract_sec,saved_frames,max_frames,note,decode_folder,decode_frame_1,decode_frame_2,decode_diff_image,decode_analysis_image,decode_decoded_text,decode_success,decode_method,decode_note,decode_recall,decode_precision,decode_accuracy,decode_noise,decode_gt_note
r60_e250_f1.mp4,60,250,1,59.965470,0,rice_R_4,rice,R,R,4,908,1028,1028,120,2.001152,120,120,,rice_R_4,frame_00118.png,frame_00119.png,rice_R_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,1,rice_R_8,rice,R,R,8,1268,1388,1388,120,2.001152,120,120,,rice_R_8,frame_00118.png,frame_00119.png,rice_R_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,2,rice_R_12,rice,R,R,12,1628,1748,1748,120,2.001152,120,120,,rice_R_12,frame_00118.png,frame_00119.png,rice_R_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,3,nagaoka_fireworks_R_4,nagaoka_fireworks,R,R,4,1988,2108,2108,120,2.001152,120,120,,nagaoka_fireworks_R_4,frame_00118.png,frame_00119.png,nagaoka_fireworks_R_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,4,nagaoka_fireworks_R_8,nagaoka_fireworks,R,R,8,2348,2468,2468,120,2.001152,120,120,,nagaoka_fireworks_R_8,frame_00118.png,frame_00119.png,nagaoka_fireworks_R_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,5,nagaoka_fireworks_R_12,nagaoka_fireworks,R,R,12,2708,2828,2828,120,2.001152,120,120,,nagaoka_fireworks_R_12,frame_00118.png,frame_00119.png,nagaoka_fireworks_R_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,6,hocho_R_4,hocho,R,R,4,3068,3188,3188,120,2.001152,120,120,,hocho_R_4,frame_00118.png,frame_00119.png,hocho_R_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,7,hocho_R_8,hocho,R,R,8,3428,3548,3548,120,2.001152,120,120,,hocho_R_8,frame_00118.png,frame_00119.png,hocho_R_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,8,hocho_R_12,hocho,R,R,12,3788,3908,3908,120,2.001152,120,120,,hocho_R_12,frame_00118.png,frame_00119.png,hocho_R_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,9,ex_R_4,ex,R,R,4,4148,4268,4268,120,2.001152,120,120,,ex_R_4,frame_00118.png,frame_00119.png,ex_R_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,10,ex_R_8,ex,R,R,8,4508,4628,4628,120,2.001152,120,120,,ex_R_8,frame_00118.png,frame_00119.png,ex_R_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,11,ex_R_12,ex,R,R,12,4868,4988,4988,120,2.001152,120,120,,ex_R_12,frame_00118.png,frame_00119.png,ex_R_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,12,rice_G_4,rice,G,G,4,5228,5348,5348,120,2.001152,120,120,,rice_G_4,frame_00118.png,frame_00119.png,rice_G_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,13,rice_G_8,rice,G,G,8,5588,5708,5708,120,2.001152,120,120,,rice_G_8,frame_00118.png,frame_00119.png,rice_G_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
