folder,cond,frame_1,frame_2,success,accuracy,recall,precision,diff_threshold
rice_R_4,0,frame_00000.png,frame_00001.png,0,0.638229,0.013045,0.512533,12
rice_R_4,0,frame_00001.png,frame_00002.png,0,0.639692,0.021900,0.559797,12
rice_R_4,0,frame_00002.png,frame_00003.png,0,0.638761,0.017782,0.531494,12
rice_R_4,0,frame_00003.png,frame_00004.png,0,0.636341,0.011755,0.418517,12
rice_R_4,0,frame_00004.png,frame_00005.png,0,0.637220,0.015911,0.468345,12
rice_R_4,0,frame_00005.png,frame_00006.png,0,0.640919,0.026603,0.589356,12
rice_R_4,0,frame_00006.png,frame_00007.png,0,0.639557,0.020174,0.559743,12
rice_R_4,0,frame_00007.png,frame_00008.png,0,0.637339,0.011436,0.463104,12
rice_R_4,0,frame_00008.png,frame_00009.png,0,0.637641,0.014901,0.483987,12
rice_R_4,0,frame_00009.png,frame_00010.png,0,0.640446,0.022509,0.588377,12
rice_R_4,0,frame_00010.png,frame_00011.png,0,0.640311,0.027569,0.565536,12
rice_R_4,0,frame_00011.png,frame_00012.png,0,0.636277,0.020706,0.448492,12
rice_R_4,0,frame_00012.png,frame_00013.png,0,0.637801,0.014640,0.490844,12
rice_R_4,0,frame_00013.png,frame_00014.png,0,0.639615,0.018695,0.567821,12
rice_R_4,0,frame_00014.png,frame_00015.png,0,0.639960,0.028057,0.553437,12
rice_R_4,0,frame_00015.png,frame_00016.png,0,0.637097,0.011344,0.450566,12
rice_R_4,0,frame_00016.png,frame_00017.png,0,0.636985,0.012204,0.448570,12
rice_R_4,0,frame_00017.png,frame_00018.png,0,0.637983,0.015346,0.499292,12
rice_R_4,0,frame_00018.png,frame_00019.png,0,0.638600,0.014843,0.529665,12
rice_R_4,0,frame_00019.png,frame_00020.png,0,0.637218,0.010851,0.454822,12
rice_R_4,0,frame_00099.png,frame_00100.png,0,0.636590,0.014597,0.441198,12
rice_R_4,0,frame_00100.png,frame_00101.png,0,0.638483,0.014297,0.524561,12
rice_R_4,0,frame_00101.png,frame_00102.png,0,0.640591,0.019415,0.613095,12
rice_R_4,0,frame_00102.png,frame_00103.png,0,0.639542,0.017163,0.570900,12
rice_R_4,0,frame_00103.png,frame_00104.png,0,0.637927,0.012349,0.496020,12
rice_R_4,0,frame_00104.png,frame_00105.png,0,0.639024,0.014626,0.553604,12
rice_R_4,0,frame_00105.png,frame_00106.png,0,0.640049,0.016506,0.603570,12
rice_R_4,0,frame_00106.png,frame_00107.png,0,0.640061,0.018913,0.588687,12
rice_R_4,0,frame_00107.png,frame_00108.png,0,0.636826,0.009879,0.429592,12
rice_R_4,0,frame_00108.png,frame_00109.png,0,0.637029,0.010261,0.442292,12
rice_R_4,0,frame_00109.png,frame_00110.png,0,0.640864,0.023877,0.599369,12
rice_R_4,0,frame_00110.png,frame_00111.png,0,0.639006,0.016114,0.547275,12
rice_R_4,0,frame_00111.png,frame_00112.png,0,0.636812,0.010000,0.429610,12
rice_R_4,0,frame_00112.png,frame_00113.png,0,0.639298,0.018758,0.552928,12
rice_R_4,0,frame_00113.png,frame_00114.png,0,0.641690,0.032567,0.592821,12
rice_R_4,0,frame_00114.png,frame_00115.png,0,0.639953,0.022045,0.569769,12
rice_R_4,0,frame_00115.png,frame_00116.png,0,0.636735,0.008516,0.414979,12
rice_R_4,0,frame_00116.png,frame_00117.png,0,0.637284,0.013606,0.466214,12
rice_R_4,0,frame_00117.png,frame_00118.png,0,0.639664,0.018961,0.569046,12
rice_R_4,0,frame_00118.png,frame_00119.png,0,0.637872,0.014669,0.494139,12
rice_R_8,1,frame_00000.png,frame_00001.png,0,0.808161,0.492279,0.956815,12
rice_R_8,1,frame_00001.png,frame_00002.png,0,0.792206,0.445202,0.958621,12
rice_R_8,1,frame_00002.png,frame_00003.png,0,0.643536,0.026168,0.706512,12
rice_R_8,1,frame_00003.png,frame_00004.png,0,0.730272,0.269970,0.947129,12
rice_R_8,1,frame_00004.png,frame_00005.png,0,0.811055,0.501568,0.955218,12
rice_R_8,1,frame_00005.png,frame_00006.png,0,0.770077,0.385399,0.949398,12
rice_R_8,1,frame_00006.png,frame_00007.png,0,0.640656,0.019087,0.619063,12
rice_R_8,1,frame_00007.png,frame_00008.png,0,0.719839,0.242406,0.936896,12
rice_R_8,1,frame_00008.png,frame_00009.png,0,0.805601,0.484386,0.957695,12
rice_R_8,1,frame_00009.png,frame_00010.png,0,0.786108,0.434738,0.944394,12
rice_R_8,1,frame_00010.png,frame_00011.png,0,0.642985,0.028405,0.660040,12
rice_R_8,1,frame_00011.png,frame_00012.png,0,0.737317,0.289207,0.951167,12
rice_R_8,1,frame_00012.png,frame_00013.png,0,0.810504,0.499901,0.955340,12
rice_R_8,1,frame_00013.png,frame_00014.png,0,0.774046,0.396376,0.950697,12
rice_R_8,1,frame_00014.png,frame_00015.png,0,0.641048,0.020324,0.630718,12
rice_R_8,1,frame_00015.png,frame_00016.png,0,0.717206,0.233227,0.941762,12
rice_R_8,1,frame_00016.png,frame_00017.png,0,0.806626,0.487131,0.958087,12
rice_R_8,1,frame_00017.png,frame_00018.png,0,0.791784,0.444975,0.956668,12
rice_R_8,1,frame_00018.png,frame_00019.png,0,0.640642,0.017066,0.636102,12
rice_R_8,1,frame_00019.png,frame_00020.png,0,0.763086,0.421074,0.847906,12
rice_R_8,1,frame_00099.png,frame_00100.png,0,0.741210,0.299753,0.953434,12
rice_R_8,1,frame_00100.png,frame_00101.png,0,0.815394,0.513966,0.955521,12
rice_R_8,1,frame_00101.png,frame_00102.png,0,0.771600,0.389401,0.950362,12
rice_R_8,1,frame_00102.png,frame_00103.png,0,0.638688,0.011532,0.544998,12
rice_R_8,1,frame_00103.png,frame_00104.png,0,0.734606,0.284654,0.941205,12
rice_R_8,1,frame_00104.png,frame_00105.png,0,0.808390,0.492835,0.957005,12
rice_R_8,1,frame_00105.png,frame_00106.png,0,0.785198,0.428315,0.951807,12
rice_R_8,1,frame_00106.png,frame_00107.png,0,0.639451,0.018492,0.560833,12
rice_R_8,1,frame_00107.png,frame_00108.png,0,0.743983,0.310227,0.946737,12
rice_R_8,1,frame_00108.png,frame_00109.png,0,0.810631,0.500007,0.955799,12
rice_R_8,1,frame_00109.png,frame_00110.png,0,0.771825,0.391436,0.947360,12
rice_R_8,1,frame_00110.png,frame_00111.png,0,0.638632,0.012528,0.537536,12
rice_R_8,1,frame_00111.png,frame_00112.png,0,0.722962,0.249941,0.942549,12
rice_R_8,1,frame_00112.png,frame_00113.png,0,0.812089,0.504096,0.956028,12
rice_R_8,1,frame_00113.png,frame_00114.png,0,0.787581,0.434762,0.952770,12
rice_R_8,1,frame_00114.png,frame_00115.png,0,0.638649,0.013988,0.534343,12
rice_R_8,1,frame_00115.png,frame_00116.png,0,0.753890,0.338038,0.949716,12
rice_R_8,1,frame_00116.png,frame_00117.png,0,0.813518,0.510162,0.952747,12
