folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,pair,,,,12,0.638713,,r45_e250_f0.mp4,45 Hz,1/250,蛍光灯なし,59.988 fps,0,rice,R,R,4,,,frame_00118.png,frame_00119.png,,120,2.000411
rice_R_8,QR未検出,,pair,,,,12,0.743554,,,,,,,1,rice,R,R,8,,,frame_00117.png,frame_00118.png,,120,2.000411
rice_R_12,,gray,pair,,,,12,0.902655,0.956549,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00001.png,frame_00002.png,,120,2.000411
nagaoka_fireworks_R_4,QR未検出,,pair,,,,12,0.642614,,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00117.png,frame_00118.png,,120,2.000411
nagaoka_fireworks_R_8,QR未検出,,pair,,,,12,0.752387,,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00116.png,frame_00117.png,,120,2.000411
nagaoka_fireworks_R_12,QR未検出,,pair,,,,12,0.844101,,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00116.png,frame_00117.png,,120,2.000411
hocho_R_4,QR未検出,,pair,,,,12,0.638579,,,,,,,6,hocho,R,R,4,,,frame_00118.png,frame_00119.png,,120,2.000411
hocho_R_8,QR未検出,,pair,,,,12,0.719524,,,,,,,7,hocho,R,R,8,,,frame_00117.png,frame_00118.png,,120,2.000411
hocho_R_12,QR未検出,,pair,,,,12,0.826457,,,,,,,8,hocho,R,R,12,,,frame_00117.png,frame_00118.png,,120,2.000411
ex_R_4,QR未検出,,pair,,,,12,0.674380,,,,,,,9,ex,R,R,4,,,frame_00118.png,frame_00119.png,,120,2.000411
ex_R_8,QR未検出,,pair,,,,12,0.821762,,,,,,,10,ex,R,R,8,,,frame_00118.png,frame_00119.png,,120,2.000411
ex_R_12,QR未検出,,pair,,,,12,0.892556,,,,,,,11,ex,R,R,12,,,frame_00118.png,frame_00119.png,,120,2.000411
rice_G_4,QR未検出,,pair,,,,12,0.640475,,,,,,,12,rice,G,G,4,,,frame_00118.png,frame_00119.png,,120,2.000411
rice_G_8,QR未検出,,pair,,,,12,0.733008,,,,,,,13,rice,G,G,8,,,frame_00118.png,frame_00119.png,,120,2.000411
rice_G_12,,gray,pair,,,,12,0.901064,0.958648,,,,,,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00003.png,frame_00004.png,,120,2.000411
nagaoka_fireworks_G_4,QR未検出,,pair,,,,12,0.647818,,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00118.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_G_8,QR未検出,,pair,,,,12,0.745758,,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00118.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_G_12,QR未検出,,pair,,,,12,0.859006,,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00118.png,frame_00119.png,,120,2.000411
hocho_G_4,QR未検出,,pair,,,,12,0.647559,,,,,,,18,hocho,G,G,4,,,frame_00118.png,frame_00119.png,,120,2.000411
hocho_G_8,QR未検出,,pair,,,,12,0.684390,,,,,,,19,hocho,G,G,8,,,frame_00118.png,frame_00119.png,,120,2.000411
hocho_G_12,QR未検出,,pair,,,,12,0.780379,,,,,,,20,hocho,G,G,12,,,frame_00118.png,frame_00119.png,,120,2.000411
ex_G_4,QR未検出,,pair,,,,12,0.650173,,,,,,,21,ex,G,G,4,,,frame_00118.png,frame_00119.png,,120,2.000411
ex_G_8,QR未検出,,pair,,,,12,0.784629,,,,,,,22,ex,G,G,8,,,frame_00118.png,frame_00119.png,,120,2.000411
ex_G_12,,gray,pair,,,,12,0.904618,0.944056,,,,,,23,ex,G,G,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00038.png,frame_00039.png,,120,2.000411
rice_B_4,QR未検出,,pair,,,,12,0.653155,,,,,,,24,rice,B,B,4,,,frame_00118.png,frame_00119.png,,120,2.000411
rice_B_8,QR未検出,,pair,,,,12,0.765017,,,,,,,25,rice,B,B,8,,,frame_00116.png,frame_00117.png,,120,2.000411
rice_B_12,QR未検出,,pair,,,,12,0.872334,,,,,,,26,rice,B,B,12,,,frame_00118.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_B_4,QR未検出,,pair,,,,12,0.656067,,,,,,,27,nagaoka_fireworks,B,B,4,,,frame_00118.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_B_8,QR未検出,,pair,,,,12,0.773944,,,,,,,28,nagaoka_fireworks,B,B,8,,,frame_00118.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_B_12,QR未検出,,pair,,,,12,0.870873,,,,,,,29,nagaoka_fireworks,B,B,12,,,frame_00118.png,frame_00119.png,,120,2.000411
hocho_B_4,QR未検出,,pair,,,,12,0.636436,,,,,,,30,hocho,B,B,4,,,frame_00118.png,frame_00119.png,,120,2.000411
hocho_B_8,QR未検出,,pair,,,,12,0.647370,,,,,,,31,hocho,B,B,8,,,frame_00118.png,frame_00119.png,,120,2.000411
hocho_B_12,QR未検出,,pair,,,,12,0.722229,,,,,,,32,hocho,B,B,12,,,frame_00118.png,frame_00119.png,,120,2.000411
ex_B_4,QR未検出,,pair,,,,12,0.656208,,,,,,,33,ex,B,B,4,,,frame_00118.png,frame_00119.png,,120,2.000411
ex_B_8,,gray,pair,,,,8,0.843551,0.917985,,,,,,34,ex,B,B,8,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00038.png,frame_00039.png,,120,2.000411
ex_B_12,,gray,pair,,,,12,0.907351,0.949369,,,,,,35,ex,B,B,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00002.png,frame_00003.png,,120,2.000411
rice_I_4,QR未検出,,pair,,,,12,0.652215,,,,,,,36,rice,min,I,4,,,frame_00118.png,frame_00119.png,,120,2.000411
rice_I_8,QR未検出,,pair,,,,12,0.767439,,,,,,,37,rice,min,I,8,,,frame_00118.png,frame_00119.png,,120,2.000411
rice_I_12,QR未検出,,pair,,,,12,0.878502,,,,,,,38,rice,min,I,12,,,frame_00118.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_I_4,QR未検出,,pair,,,,12,0.646529,,,,,,,39,nagaoka_fireworks,min,I,4,,,frame_00118.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_I_8,QR未検出,,pair,,,,12,0.723575,,,,,,,40,nagaoka_fireworks,min,I,8,,,frame_00118.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_I_12,QR未検出,,pair,,,,12,0.816443,,,,,,,41,nagaoka_fireworks,min,I,12,,,frame_00118.png,frame_00119.png,,120,2.000411
hocho_I_4,QR未検出,,pair,,,,12,0.636474,,,,,,,42,hocho,min,I,4,,,frame_00118.png,frame_00119.png,,120,2.000411
hocho_I_8,QR未検出,,pair,,,,12,0.648130,,,,,,,43,hocho,min,I,8,,,frame_00117.png,frame_00118.png,,120,2.000411
hocho_I_12,QR未検出,,pair,,,,12,0.719921,,,,,,,44,hocho,min,I,12,,,frame_00117.png,frame_00118.png,,120,2.000411
ex_I_4,QR未検出,,pair,,,,12,0.670622,,,,,,,45,ex,min,I,4,,,frame_00116.png,frame_00117.png,,120,2.000411
ex_I_8,QR未検出,,pair,,,,12,0.810321,,,,,,,46,ex,min,I,8,,,frame_00118.png,frame_00119.png,,120,2.000411
ex_I_12,QR未検出,,pair,,,,12,0.890718,,,,,,,47,ex,min,I,12,,,frame_00118.png,frame_00119.png,,120,2.000411
rice_X_4,QR未検出,,pair,,,,12,0.638814,,,,,,,48,rice,max,X,4,,,frame_00118.png,frame_00119.png,,120,2.000411
rice_X_8,QR未検出,,pair,,,,12,0.742166,,,,,,,49,rice,max,X,8,,,frame_00116.png,frame_00117.png,,120,2.000411
rice_X_12,,gray,pair,,,,12,0.887718,0.952292,,,,,,50,rice,max,X,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00024.png,frame_00025.png,,120,2.000411
nagaoka_fireworks_X_4,QR未検出,,pair,,,,12,0.642795,,,,,,,51,nagaoka_fireworks,max,X,4,,,frame_00118.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_X_8,QR未検出,,pair,,,,12,0.739310,,,,,,,52,nagaoka_fireworks,max,X,8,,,frame_00118.png,frame_00119.png,,120,2.000411
