folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,stat,,std,,12,0.618780,,0.618780,frame_00000.png,frame_00119.png,r45_e250_f0.mp4,45 Hz,1/250,蛍光灯なし,59.988 fps,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_R_8,QR未検出,,stat,,std,,12,0.666754,,0.666754,frame_00000.png,frame_00119.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_R_12,QR未検出,,stat,,std,,12,0.818683,,0.818683,frame_00000.png,frame_00119.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_4,QR未検出,,stat,,std,,12,0.615641,,0.615641,frame_00000.png,frame_00119.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_8,QR未検出,,stat,,std,,12,0.634889,,0.634889,frame_00000.png,frame_00119.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_12,QR未検出,,stat,,std,,12,0.772312,,0.772312,frame_00000.png,frame_00119.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_R_4,QR未検出,,stat,,std,,12,0.605909,,0.605909,frame_00000.png,frame_00119.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_R_8,QR未検出,,stat,,std,,12,0.616742,,0.616742,frame_00000.png,frame_00119.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_R_12,QR未検出,,stat,,std,,12,0.816099,,0.816099,frame_00000.png,frame_00119.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_R_4,QR未検出,,stat,,std,,12,0.623620,,0.623620,frame_00000.png,frame_00119.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
