folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,stat,,var,,4,0.641176,,0.641176,frame_00000.png,frame_00119.png,r45_e250_f0.mp4,45 Hz,1/250,蛍光灯なし,59.988 fps,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_R_8,QR未検出,,stat,,var,,4,0.652458,,0.652458,frame_00000.png,frame_00119.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_R_12,QR未検出,,stat,,var,,4,0.718576,,0.718576,frame_00000.png,frame_00119.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_4,QR未検出,,stat,,var,,4,0.635061,,0.635061,frame_00000.png,frame_00119.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_8,QR未検出,,stat,,var,,4,0.647525,,0.647525,frame_00000.png,frame_00119.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_12,QR未検出,,stat,,var,,4,0.705326,,0.705326,frame_00000.png,frame_00119.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_R_4,QR未検出,,stat,,var,,4,0.635085,,0.635085,frame_00000.png,frame_00119.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_R_8,QR未検出,,stat,,var,,4,0.635292,,0.635292,frame_00000.png,frame_00119.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_R_12,QR未検出,,stat,,var,,4,0.637353,,0.637353,frame_00000.png,frame_00119.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_R_4,QR未検出,,stat,,var,,4,0.633535,,0.633535,frame_00000.png,frame_00119.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_R_8,QR未検出,,stat,,var,,4,0.647158,,0.647158,frame_00000.png,frame_00119.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_R_12,QR未検出,,stat,,var,,4,0.709248,,0.709248,frame_00000.png,frame_00119.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_G_4,QR未検出,,stat,,var,,4,0.645475,,0.645475,frame_00000.png,frame_00119.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_G_8,QR未検出,,stat,,var,,4,0.670497,,0.670497,frame_00000.png,frame_00119.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_G_12,QR未検出,,stat,,var,,4,0.800018,,0.800018,frame_00000.png,frame_00119.png,,,,,,14,rice,G,G,12,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_G_4,QR未検出,,stat,,var,,4,0.633475,,0.633475,frame_00000.png,frame_00119.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_G_8,QR未検出,,stat,,var,,4,0.649345,,0.649345,frame_00000.png,frame_00119.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_G_12,QR未検出,,stat,,var,,4,0.724990,,0.724990,frame_00000.png,frame_00119.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_G_4,QR未検出,,stat,,var,,4,0.636089,,0.636089,frame_00000.png,frame_00119.png,,,,,,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_G_8,QR未検出,,stat,,var,,4,0.639162,,0.639162,frame_00000.png,frame_00119.png,,,,,,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_G_12,QR未検出,,stat,,var,,4,0.650444,,0.650444,frame_00000.png,frame_00119.png,,,,,,20,hocho,G,G,12,,,frame_00000.png,frame_00119.png,,120,0.000000
