folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000249,0.015588,0.629619,0.013134,,fourier,,,22.500000,4
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.009220,0.032916,0.539835,0.194349,,fourier,,,22.500000,8
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.962044,0.484230,0.612420,0.519225,,fourier,,,22.500000,12
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000000,0.000000,0.635141,0.001508,,fourier,,,11.250000,4
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000096,0.192308,0.635162,0.001562,,fourier,,,11.250000,8
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000614,0.363636,0.635106,0.001987,,fourier,,,11.250000,12
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000096,0.002139,0.618986,0.038725,,fourier,,,22.500000,4
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.997126,0.439061,0.534322,0.631800,,fourier,,,22.500000,8
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.984807,0.549614,0.700122,0.324086,,fourier,,,22.500000,12
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_fourier_f112_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000048,0.714286,0.635285,0.003300,,fourier,,,11.250000,4
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_fourier_f112_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000408,0.691057,0.635356,0.003438,,fourier,,,11.250000,8
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_fourier_f112_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.002490,0.678431,0.635752,0.004037,,fourier,,,11.250000,12
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12\rgb_max_fourier_f225_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000014,0.000492,0.624606,0.029180,,fourier,,,22.500000,4
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12\rgb_max_fourier_f225_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.000499,0.001428,0.508201,0.314760,,fourier,,,22.500000,8
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12\rgb_max_fourier_f225_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.994757,0.501986,0.638145,0.385394,,fourier,,,22.500000,12
