folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_stat_var_th1\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.094755,0.467448,0.630461,0.064484,,stat,,var,,1
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_stat_var_th2\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.055605,0.551322,0.639050,0.030379,,stat,,var,,2
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_stat_var_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.026845,0.554828,0.637209,0.014214,,stat,,var,,4
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_stat_var_th1\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.172623,0.604844,0.657101,0.062210,,stat,,var,,1
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_stat_var_th2\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.106733,0.676776,0.655610,0.030809,,stat,,var,,2
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_stat_var_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.059404,0.706349,0.647933,0.013897,,stat,,var,,4
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12\rgb_max_stat_var_th1\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.621634,0.815135,0.810581,0.067007,,stat,,var,,1
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12\rgb_max_stat_var_th2\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.384353,0.861904,0.752997,0.031801,,stat,,var,,2
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12\rgb_max_stat_var_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.223148,0.881903,0.705763,0.014546,,stat,,var,,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4\rgb_max_stat_var_th1\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.124996,0.432199,0.620971,0.071008,,stat,,var,,1
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4\rgb_max_stat_var_th2\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.093819,0.446038,0.626995,0.048394,,stat,,var,,2
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4\rgb_max_stat_var_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.068912,0.473592,0.632471,0.031126,,stat,,var,,4
