folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,pair,,,,12,0.635380,,0.638485,frame_00009.png,frame_00010.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.935 fps,0,rice,R,R,4,,,frame_00118.png,frame_00119.png,,120,0.000000
rice_R_8,QR未検出,,pair,,,,12,0.713247,,0.776831,frame_00116.png,frame_00117.png,,,,,,1,rice,R,R,8,,,frame_00117.png,frame_00118.png,,120,0.000000
rice_R_12,,gray,pair,,,,12,0.887508,0.958493,0.959173,frame_00009.png,frame_00010.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00001.png,frame_00002.png,,120,0.000000
nagaoka_fireworks_R_4,QR未検出,,pair,,,,12,0.638863,,0.645972,frame_00015.png,frame_00016.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00118.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_8,QR未検出,,pair,,,,12,0.740527,,0.802397,frame_00116.png,frame_00117.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00118.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_12,QR未検出,,pair,,,,12,0.861120,,0.923679,frame_00004.png,frame_00005.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00118.png,frame_00119.png,,120,0.000000
hocho_R_4,QR未検出,,pair,,,,12,0.633933,,0.641946,frame_00015.png,frame_00016.png,,,,,,6,hocho,R,R,4,,,frame_00118.png,frame_00119.png,,120,0.000000
hocho_R_8,QR未検出,,pair,,,,12,0.716608,,0.773930,frame_00015.png,frame_00016.png,,,,,,7,hocho,R,R,8,,,frame_00118.png,frame_00119.png,,120,0.000000
hocho_R_12,QR未検出,,pair,,,,12,0.818259,,0.875842,frame_00012.png,frame_00013.png,,,,,,8,hocho,R,R,12,,,frame_00118.png,frame_00119.png,,120,0.000000
ex_R_4,QR未検出,,pair,,,,12,0.668452,,0.726199,frame_00015.png,frame_00016.png,,,,,,9,ex,R,R,4,,,frame_00118.png,frame_00119.png,,120,0.000000
ex_R_8,QR未検出,,pair,,,,12,0.843476,,0.931093,frame_00114.png,frame_00115.png,,,,,,10,ex,R,R,8,,,frame_00118.png,frame_00119.png,,120,0.000000
ex_R_12,,gray,pair,,,,12,0.915167,0.948532,0.948635,frame_00003.png,frame_00004.png,,,,,,11,ex,R,R,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00011.png,frame_00012.png,,120,0.000000
rice_G_4,QR未検出,,pair,,,,12,0.636376,,0.638863,frame_00010.png,frame_00011.png,,,,,,12,rice,G,G,4,,,frame_00118.png,frame_00119.png,,120,0.000000
rice_G_8,QR未検出,,pair,,,,12,0.704871,,0.771092,frame_00010.png,frame_00011.png,,,,,,13,rice,G,G,8,,,frame_00118.png,frame_00119.png,,120,0.000000
rice_G_12,,gray,pair,,,,12,0.889371,0.958132,0.961698,frame_00103.png,frame_00104.png,,,,,,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00000.png,frame_00001.png,,120,0.000000
nagaoka_fireworks_G_4,QR未検出,,pair,,,,12,0.638479,,0.648640,frame_00113.png,frame_00114.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00118.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_G_8,QR未検出,,pair,,,,12,0.737365,,0.794853,frame_00106.png,frame_00107.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00118.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_G_12,QR未検出,,pair,,,,12,0.866616,,0.934979,frame_00114.png,frame_00115.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00118.png,frame_00119.png,,120,0.000000
hocho_G_4,QR未検出,,pair,,,,12,0.644109,,0.653987,frame_00013.png,frame_00014.png,,,,,,18,hocho,G,G,4,,,frame_00117.png,frame_00118.png,,120,0.000000
hocho_G_8,QR未検出,,pair,,,,12,0.681609,,0.708752,frame_00105.png,frame_00106.png,,,,,,19,hocho,G,G,8,,,frame_00118.png,frame_00119.png,,120,0.000000
hocho_G_12,QR未検出,,pair,,,,12,0.789444,,0.880274,frame_00010.png,frame_00011.png,,,,,,20,hocho,G,G,12,,,frame_00118.png,frame_00119.png,,120,0.000000
ex_G_4,QR未検出,,pair,,,,12,0.640749,,0.650433,frame_00104.png,frame_00105.png,,,,,,21,ex,G,G,4,,,frame_00118.png,frame_00119.png,,120,0.000000
ex_G_8,QR未検出,,pair,,,,12,0.787965,,0.890408,frame_00116.png,frame_00117.png,,,,,,22,ex,G,G,8,,,frame_00117.png,frame_00118.png,,120,0.000000
ex_G_12,,gray,pair,,,,12,0.913223,0.952903,0.954524,frame_00112.png,frame_00113.png,,,,,,23,ex,G,G,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00001.png,frame_00002.png,,120,0.000000
