folder,cond,frame_1,frame_2,success,accuracy,recall,precision,diff_threshold
rice_R_4,0,frame_00000.png,frame_00001.png,0,0.637496,0.003260,0.761530,12
rice_R_4,0,frame_00001.png,frame_00002.png,0,0.636698,0.001835,0.505976,12
rice_R_4,0,frame_00002.png,frame_00003.png,0,0.636513,0.000323,0.290043,12
rice_R_4,0,frame_00003.png,frame_00004.png,0,0.636462,0.001074,0.389860,12
rice_R_4,0,frame_00004.png,frame_00005.png,0,0.636718,0.001637,0.515152,12
rice_R_4,0,frame_00005.png,frame_00006.png,0,0.637241,0.003150,0.661274,12
rice_R_4,0,frame_00006.png,frame_00007.png,0,0.636870,0.001242,0.630807,12
rice_R_4,0,frame_00007.png,frame_00008.png,0,0.636999,0.001623,0.683570,12
rice_R_4,0,frame_00008.png,frame_00009.png,0,0.637195,0.002909,0.660109,12
rice_R_4,0,frame_00009.png,frame_00010.png,0,0.637393,0.004315,0.646465,12
rice_R_4,0,frame_00010.png,frame_00011.png,0,0.636193,0.000563,0.227626,12
rice_R_4,0,frame_00011.png,frame_00012.png,0,0.636256,0.000997,0.314590,12
rice_R_4,0,frame_00012.png,frame_00013.png,0,0.636460,0.002894,0.452220,12
rice_R_4,0,frame_00013.png,frame_00014.png,0,0.637661,0.004614,0.705969,12
rice_R_4,0,frame_00014.png,frame_00015.png,0,0.636676,0.001103,0.495671,12
rice_R_4,0,frame_00015.png,frame_00016.png,0,0.636595,0.001512,0.463127,12
rice_R_4,0,frame_00016.png,frame_00017.png,0,0.636817,0.002914,0.533981,12
rice_R_4,0,frame_00017.png,frame_00018.png,0,0.638095,0.004416,0.892892,12
rice_R_4,0,frame_00018.png,frame_00019.png,0,0.636641,0.001310,0.478873,12
rice_R_4,0,frame_00019.png,frame_00020.png,0,0.637001,0.001608,0.687243,12
rice_R_4,0,frame_00096.png,frame_00097.png,0,0.636602,0.001430,0.464062,12
rice_R_4,0,frame_00097.png,frame_00098.png,0,0.637062,0.002326,0.644860,12
rice_R_4,0,frame_00098.png,frame_00099.png,0,0.637164,0.002403,0.690180,12
rice_R_4,0,frame_00099.png,frame_00100.png,0,0.636651,0.001223,0.482890,12
rice_R_4,0,frame_00100.png,frame_00101.png,0,0.636473,0.001271,0.407407,12
rice_R_4,0,frame_00101.png,frame_00102.png,0,0.636707,0.001527,0.511290,12
rice_R_4,0,frame_00102.png,frame_00103.png,0,0.637325,0.003501,0.668813,12
rice_R_4,0,frame_00103.png,frame_00104.png,0,0.637162,0.003029,0.639228,12
rice_R_4,0,frame_00104.png,frame_00105.png,0,0.636716,0.001358,0.517431,12
rice_R_4,0,frame_00105.png,frame_00106.png,0,0.636525,0.001955,0.450111,12
rice_R_4,0,frame_00106.png,frame_00107.png,0,0.636690,0.001767,0.502740,12
rice_R_4,0,frame_00107.png,frame_00108.png,0,0.636746,0.002052,0.522059,12
rice_R_4,0,frame_00108.png,frame_00109.png,0,0.636565,0.001180,0.439856,12
rice_R_4,0,frame_00109.png,frame_00110.png,0,0.636704,0.001132,0.513100,12
rice_R_4,0,frame_00110.png,frame_00111.png,0,0.636894,0.002239,0.574784,12
rice_R_4,0,frame_00111.png,frame_00112.png,0,0.637666,0.004903,0.690638,12
rice_R_4,0,frame_00112.png,frame_00113.png,0,0.636807,0.001695,0.556082,12
rice_R_4,0,frame_00113.png,frame_00114.png,0,0.636621,0.000674,0.444444,12
rice_R_4,0,frame_00114.png,frame_00115.png,0,0.639723,0.027354,0.590314,12
rice_R_4,0,frame_00115.png,frame_00116.png,0,0.639361,0.008413,0.889964,12
rice_R_8,1,frame_00000.png,frame_00001.png,0,0.726322,0.252951,0.975975,12
rice_R_8,1,frame_00001.png,frame_00002.png,0,0.662541,0.092358,0.813420,12
rice_R_8,1,frame_00002.png,frame_00003.png,0,0.636320,0.001565,0.379230,12
rice_R_8,1,frame_00003.png,frame_00004.png,0,0.686162,0.139177,0.978964,12
rice_R_8,1,frame_00004.png,frame_00005.png,0,0.743461,0.302144,0.973438,12
rice_R_8,1,frame_00005.png,frame_00006.png,0,0.660487,0.068346,0.960281,12
rice_R_8,1,frame_00006.png,frame_00007.png,0,0.636359,0.000501,0.264631,12
rice_R_8,1,frame_00007.png,frame_00008.png,0,0.654192,0.051871,0.933767,12
rice_R_8,1,frame_00008.png,frame_00009.png,0,0.748829,0.316674,0.975363,12
rice_R_8,1,frame_00009.png,frame_00010.png,0,0.683444,0.133504,0.965318,12
rice_R_8,1,frame_00010.png,frame_00011.png,0,0.636719,0.001536,0.517018,12
rice_R_8,1,frame_00011.png,frame_00012.png,0,0.646189,0.028226,0.931945,12
rice_R_8,1,frame_00012.png,frame_00013.png,0,0.720955,0.236914,0.979492,12
rice_R_8,1,frame_00013.png,frame_00014.png,0,0.702335,0.186887,0.967973,12
rice_R_8,1,frame_00014.png,frame_00015.png,0,0.640842,0.012213,0.941002,12
rice_R_8,1,frame_00015.png,frame_00016.png,0,0.636936,0.002379,0.586002,12
rice_R_8,1,frame_00016.png,frame_00017.png,0,0.707712,0.200112,0.977488,12
rice_R_8,1,frame_00017.png,frame_00018.png,0,0.733644,0.275985,0.968057,12
rice_R_8,1,frame_00018.png,frame_00019.png,0,0.644705,0.024175,0.920257,12
rice_R_8,1,frame_00019.png,frame_00020.png,0,0.636705,0.001825,0.508725,12
rice_R_8,1,frame_00096.png,frame_00097.png,0,0.642080,0.016634,0.903479,12
rice_R_8,1,frame_00097.png,frame_00098.png,0,0.732418,0.269435,0.978454,12
rice_R_8,1,frame_00098.png,frame_00099.png,0,0.710851,0.212484,0.962228,12
rice_R_8,1,frame_00099.png,frame_00100.png,0,0.640201,0.011380,0.870350,12
rice_R_8,1,frame_00100.png,frame_00101.png,0,0.638338,0.006535,0.767534,12
