folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00002.png,rice_R_4\rgb_max_accum_n3_th12\00000-00002-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.071409,0.858102,0.658336,0.006104,,accum,3,,,12
rice_R_4,frame_00003.png,frame_00005.png,rice_R_4\rgb_max_accum_n3_th12\00003-00005-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.075103,0.879632,0.660235,0.004641,,accum,3,,,12
rice_R_4,frame_00009.png,frame_00011.png,rice_R_4\rgb_max_accum_n3_th12\00009-00011-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.026564,0.705912,0.642313,0.004645,,accum,3,,,12
rice_R_4,frame_00006.png,frame_00008.png,rice_R_4\rgb_max_accum_n3_th12\00006-00008-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.007638,0.609063,0.637676,0.003555,,accum,3,,,12
rice_R_4,frame_00012.png,frame_00014.png,rice_R_4\rgb_max_accum_n3_th12\00012-00014-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.127937,0.872791,0.676390,0.007247,,accum,3,,,12
rice_R_4,frame_00015.png,frame_00017.png,rice_R_4\rgb_max_accum_n3_th12\00015-00017-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.024888,0.685411,0.641575,0.005640,,accum,3,,,12
rice_R_4,frame_00018.png,frame_00020.png,rice_R_4\rgb_max_accum_n3_th12\00018-00020-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.007209,0.535983,0.637034,0.004029,,accum,3,,,12
rice_R_4,frame_00021.png,frame_00023.png,rice_R_4\rgb_max_accum_n3_th12\00021-00023-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.071101,0.850167,0.657962,0.005551,,accum,3,,,12
rice_R_4,frame_00024.png,frame_00026.png,rice_R_4\rgb_max_accum_n3_th12\00024-00026-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.055878,0.839763,0.653110,0.005410,,accum,3,,,12
rice_R_4,frame_00027.png,frame_00029.png,rice_R_4\rgb_max_accum_n3_th12\00027-00029-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.005933,0.478447,0.636488,0.004512,,accum,3,,,12
rice_R_4,frame_00030.png,frame_00032.png,rice_R_4\rgb_max_accum_n3_th12\00030-00032-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.045890,0.815141,0.649574,0.005008,,accum,3,,,12
rice_R_4,frame_00033.png,frame_00035.png,rice_R_4\rgb_max_accum_n3_th12\00033-00035-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.115146,0.887166,0.673196,0.006368,,accum,3,,,12
