folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00001.png,frame_00002.png,rice_R_4\rgb_max_diff_maps_th4\00001-00002-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.159553,0.733571,0.673597,0.029426,,pair,,,,4
rice_R_4,frame_00000.png,frame_00001.png,rice_R_4\rgb_max_diff_maps_th4\00000-00001-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.441601,0.857175,0.770391,0.034156,,pair,,,,4
rice_R_4,frame_00002.png,frame_00003.png,rice_R_4\rgb_max_diff_maps_th4\00002-00003-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.025625,0.415055,0.632872,0.023667,,pair,,,,4
rice_R_4,frame_00003.png,frame_00004.png,rice_R_4\rgb_max_diff_maps_th4\00003-00004-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.210018,0.793833,0.693169,0.027812,,pair,,,,4
rice_R_4,frame_00004.png,frame_00005.png,rice_R_4\rgb_max_diff_maps_th4\00004-00005-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.415249,0.873201,0.765642,0.027439,,pair,,,,4
rice_R_4,frame_00006.png,frame_00007.png,rice_R_4\rgb_max_diff_maps_th4\00006-00007-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.023501,0.469682,0.635580,0.020582,,pair,,,,4
rice_R_4,frame_00005.png,frame_00006.png,rice_R_4\rgb_max_diff_maps_th4\00005-00006-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.226709,0.666497,0.677835,0.045350,,pair,,,,4
rice_R_4,frame_00007.png,frame_00008.png,rice_R_4\rgb_max_diff_maps_th4\00007-00008-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.149647,0.746953,0.672633,0.027195,,pair,,,,4
rice_R_4,frame_00009.png,frame_00010.png,rice_R_4\rgb_max_diff_maps_th4\00009-00010-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.312600,0.790066,0.720077,0.032963,,pair,,,,4
rice_R_4,frame_00010.png,frame_00011.png,rice_R_4\rgb_max_diff_maps_th4\00010-00011-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.033533,0.406385,0.631070,0.028534,,pair,,,,4
rice_R_4,frame_00008.png,frame_00009.png,rice_R_4\rgb_max_diff_maps_th4\00008-00009-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.384302,0.818604,0.745367,0.033657,,pair,,,,4
rice_R_4,frame_00011.png,frame_00012.png,rice_R_4\rgb_max_diff_maps_th4\00011-00012-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.091505,0.652014,0.652185,0.030267,,pair,,,,4
rice_R_4,frame_00014.png,frame_00015.png,rice_R_4\rgb_max_diff_maps_th4\00014-00015-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.069656,0.633386,0.647342,0.024494,,pair,,,,4
rice_R_4,frame_00012.png,frame_00013.png,rice_R_4\rgb_max_diff_maps_th4\00012-00013-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.407438,0.831930,0.754806,0.035245,,pair,,,,4
rice_R_4,frame_00013.png,frame_00014.png,rice_R_4\rgb_max_diff_maps_th4\00013-00014-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.381085,0.761295,0.731725,0.045902,,pair,,,,4
rice_R_4,frame_00015.png,frame_00016.png,rice_R_4\rgb_max_diff_maps_th4\00015-00016-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.070956,0.623187,0.646874,0.026336,,pair,,,,4
rice_R_4,frame_00018.png,frame_00019.png,rice_R_4\rgb_max_diff_maps_th4\00018-00019-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.128375,0.758573,0.668479,0.022569,,pair,,,,4
rice_R_4,frame_00017.png,frame_00018.png,rice_R_4\rgb_max_diff_maps_th4\00017-00018-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.417743,0.855708,0.762864,0.032233,,pair,,,,4
rice_R_4,frame_00016.png,frame_00017.png,rice_R_4\rgb_max_diff_maps_th4\00016-00017-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.264514,0.750273,0.700798,0.035977,,pair,,,,4
rice_R_4,frame_00019.png,frame_00020.png,rice_R_4\rgb_max_diff_maps_th4\00019-00020-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.040015,0.495498,0.636418,0.026944,,pair,,,,4
rice_R_4,frame_00096.png,frame_00097.png,rice_R_4\rgb_max_diff_maps_th4\00096-00097-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.089324,0.643983,0.651194,0.027505,,pair,,,,4
rice_R_4,frame_00097.png,frame_00098.png,rice_R_4\rgb_max_diff_maps_th4\00097-00098-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.364981,0.832195,0.742548,0.034299,,pair,,,,4
rice_R_4,frame_00098.png,frame_00099.png,rice_R_4\rgb_max_diff_maps_th4\00098-00099-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.419607,0.847372,0.761674,0.032475,,pair,,,,4
rice_R_4,frame_00099.png,frame_00100.png,rice_R_4\rgb_max_diff_maps_th4\00099-00100-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.088101,0.649368,0.651408,0.027486,,pair,,,,4
