folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00116.png,rice_R_4\rgb_max_stat_std_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.361220,0.407315,0.576956,0.243357,,stat,,std,,4
rice_R_4,frame_00000.png,frame_00116.png,rice_R_4\rgb_max_stat_std_th8\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.195850,0.403605,0.602693,0.131694,,stat,,std,,8
rice_R_4,frame_00000.png,frame_00116.png,rice_R_4\rgb_max_stat_std_th12\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.111284,0.407405,0.618304,0.081076,,stat,,std,,12
rice_R_8,frame_00000.png,frame_00116.png,rice_R_8\rgb_max_stat_std_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.655091,0.557409,0.685708,0.236310,,stat,,std,,4
rice_R_8,frame_00000.png,frame_00116.png,rice_R_8\rgb_max_stat_std_th8\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.320541,0.538607,0.653378,0.122212,,stat,,std,,8
rice_R_8,frame_00000.png,frame_00116.png,rice_R_8\rgb_max_stat_std_th12\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.185958,0.547553,0.648418,0.074596,,stat,,std,,12
rice_R_12,frame_00000.png,frame_00116.png,rice_R_12\rgb_max_stat_std_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.918044,0.595251,0.743428,0.264964,,stat,,std,,4
rice_R_12,frame_00000.png,frame_00116.png,rice_R_12\rgb_max_stat_std_th8\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.733676,0.679287,0.777389,0.142426,,stat,,std,,8
rice_R_12,frame_00000.png,frame_00116.png,rice_R_12\rgb_max_stat_std_th12\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.607347,0.758851,0.787221,0.085268,,stat,,std,,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_4\rgb_max_stat_std_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.429104,0.421239,0.578384,0.308327,,stat,,std,,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_4\rgb_max_stat_std_th8\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.203141,0.423102,0.609855,0.122941,,stat,,std,,8
nagaoka_fireworks_R_4,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_4\rgb_max_stat_std_th12\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.130326,0.427412,0.620600,0.077285,,stat,,std,,12
