folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,accum,5,,,32,0.636947,,0.637430,frame_00005.png,frame_00009.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,58.752 fps,0,rice,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.991420
rice_R_8,QR未検出,,accum,5,,,32,0.722414,,0.740979,frame_00015.png,frame_00019.png,,,,,,1,rice,R,R,8,,,frame_00110.png,frame_00114.png,,117,1.991420
rice_R_12,,gray,accum,5,,,32,0.955508,0.959798,0.961735,frame_00110.png,frame_00114.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00000.png,frame_00004.png,,117,1.991420
nagaoka_fireworks_R_4,QR未検出,,accum,5,,,32,0.638489,,0.640919,frame_00085.png,frame_00089.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.991420
nagaoka_fireworks_R_8,QR未検出,,accum,5,,,32,0.747036,,0.768889,frame_00080.png,frame_00084.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00105.png,frame_00109.png,,117,1.991420
nagaoka_fireworks_R_12,QR未検出,,accum,5,,,32,0.901930,,0.908798,frame_00010.png,frame_00014.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00110.png,frame_00114.png,,117,1.991420
hocho_R_4,QR未検出,,accum,5,,,32,0.637395,,0.639932,frame_00095.png,frame_00099.png,,,,,,6,hocho,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.991420
hocho_R_8,QR未検出,,accum,5,,,32,0.714555,,0.730230,frame_00040.png,frame_00044.png,,,,,,7,hocho,R,R,8,,,frame_00100.png,frame_00104.png,,117,1.991420
hocho_R_12,QR未検出,,accum,5,,,32,0.845353,,0.849959,frame_00085.png,frame_00089.png,,,,,,8,hocho,R,R,12,,,frame_00100.png,frame_00104.png,,117,1.991420
ex_R_4,QR未検出,,accum,5,,,32,0.650566,,0.672267,frame_00055.png,frame_00059.png,,,,,,9,ex,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.991420
