folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note
ex_G_4,frame_00000.png,frame_00002.png,ex_G_4\rgb_max_accum_n3_th16\00000-00002-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.030675,0.762940,0.645293,0.003042,
ex_G_4,frame_00003.png,frame_00005.png,ex_G_4\rgb_max_accum_n3_th16\00003-00005-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.002405,0.277747,0.636236,0.002756,
ex_G_4,frame_00012.png,frame_00014.png,ex_G_4\rgb_max_accum_n3_th16\00012-00014-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.003414,0.294093,0.635899,0.003010,
ex_G_4,frame_00006.png,frame_00008.png,ex_G_4\rgb_max_accum_n3_th16\00006-00008-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.019792,0.691698,0.641606,0.003144,
ex_G_4,frame_00009.png,frame_00011.png,ex_G_4\rgb_max_accum_n3_th16\00009-00011-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.065633,0.877534,0.658095,0.002623,
ex_G_4,frame_00030.png,frame_00032.png,ex_G_4\rgb_max_accum_n3_th16\00030-00032-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.038574,0.803803,0.648197,0.003214,
ex_G_4,frame_00033.png,frame_00035.png,ex_G_4\rgb_max_accum_n3_th16\00033-00035-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.002868,0.277570,0.635965,0.002266,
ex_G_4,frame_00015.png,frame_00017.png,ex_G_4\rgb_max_accum_n3_th16\00015-00017-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.006504,0.464483,0.637270,0.002796,
ex_G_4,frame_00036.png,frame_00038.png,ex_G_4\rgb_max_accum_n3_th16\00036-00038-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.009922,0.564250,0.638450,0.002821,
ex_G_4,frame_00021.png,frame_00023.png,ex_G_4\rgb_max_accum_n3_th16\00021-00023-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.023273,0.705813,0.642549,0.003157,
