folder,cond,frame_1,frame_2,success,accuracy,recall,precision,diff_threshold
rice_R_4,0,frame_00000.png,frame_00001.png,0,0.635766,0.000577,0.283688,12
rice_R_4,0,frame_00001.png,frame_00002.png,0,0.636088,0.001154,0.501044,12
rice_R_4,0,frame_00002.png,frame_00003.png,0,0.636138,0.000601,0.568182,12
rice_R_4,0,frame_00003.png,frame_00004.png,0,0.635906,0.000370,0.299611,12
rice_R_4,0,frame_00004.png,frame_00005.png,0,0.636453,0.001938,0.676174,12
rice_R_4,0,frame_00005.png,frame_00006.png,0,0.636236,0.002341,0.548423,12
rice_R_4,0,frame_00006.png,frame_00007.png,0,0.635857,0.001466,0.411606,12
rice_R_4,0,frame_00007.png,frame_00008.png,0,0.636074,0.001005,0.491765,12
rice_R_4,0,frame_00008.png,frame_00009.png,0,0.636389,0.002918,0.583093,12
rice_R_4,0,frame_00009.png,frame_00010.png,0,0.636343,0.001293,0.687980,12
rice_R_4,0,frame_00010.png,frame_00011.png,0,0.635865,0.000351,0.268382,12
rice_R_4,0,frame_00011.png,frame_00012.png,0,0.635608,0.000115,0.074766,12
rice_R_4,0,frame_00012.png,frame_00013.png,0,0.635783,0.000404,0.246334,12
rice_R_4,0,frame_00013.png,frame_00014.png,0,0.635460,0.000308,0.131687,12
rice_R_4,0,frame_00014.png,frame_00015.png,0,0.636025,0.000779,0.451253,12
rice_R_4,0,frame_00015.png,frame_00016.png,0,0.636161,0.001207,0.546841,12
rice_R_4,0,frame_00016.png,frame_00017.png,0,0.635680,0.000072,0.057252,12
rice_R_4,0,frame_00017.png,frame_00018.png,0,0.635797,0.000038,0.044199,12
rice_R_4,0,frame_00018.png,frame_00019.png,0,0.635976,0.000245,0.309091,12
rice_R_4,0,frame_00019.png,frame_00020.png,0,0.636107,0.000587,0.525862,12
rice_R_4,0,frame_00096.png,frame_00097.png,0,0.636656,0.002399,0.742560,12
rice_R_4,0,frame_00097.png,frame_00098.png,0,0.636075,0.000995,0.492857,12
rice_R_4,0,frame_00098.png,frame_00099.png,0,0.636109,0.001596,0.509985,12
rice_R_4,0,frame_00099.png,frame_00100.png,0,0.636249,0.002341,0.552781,12
rice_R_4,0,frame_00100.png,frame_00101.png,0,0.636406,0.001928,0.647819,12
rice_R_4,0,frame_00101.png,frame_00102.png,0,0.635883,0.001798,0.432870,12
rice_R_4,0,frame_00102.png,frame_00103.png,0,0.635822,0.001005,0.367311,12
rice_R_4,0,frame_00103.png,frame_00104.png,0,0.635897,0.001063,0.401818,12
rice_R_4,0,frame_00104.png,frame_00105.png,0,0.636053,0.001144,0.480808,12
rice_R_4,0,frame_00105.png,frame_00106.png,0,0.635970,0.000284,0.320652,12
rice_R_4,0,frame_00106.png,frame_00107.png,0,0.636221,0.000755,0.662447,12
rice_R_4,0,frame_00107.png,frame_00108.png,0,0.636047,0.000702,0.464968,12
rice_R_4,0,frame_00108.png,frame_00109.png,0,0.636033,0.000615,0.447552,12
rice_R_4,0,frame_00109.png,frame_00110.png,0,0.635862,0.000082,0.104938,12
rice_R_4,0,frame_00110.png,frame_00111.png,0,0.635927,0.000111,0.167883,12
rice_R_4,0,frame_00111.png,frame_00112.png,0,0.636124,0.000692,0.541353,12
rice_R_4,0,frame_00112.png,frame_00113.png,0,0.636152,0.000481,0.617284,12
rice_R_4,0,frame_00113.png,frame_00114.png,0,0.636088,0.000620,0.501946,12
rice_R_4,0,frame_00114.png,frame_00115.png,0,0.636018,0.000760,0.445070,12
rice_R_4,0,frame_00115.png,frame_00116.png,0,0.635780,0.000226,0.174721,12
rice_R_8,1,frame_00000.png,frame_00001.png,0,0.656340,0.058296,0.956683,12
rice_R_8,1,frame_00001.png,frame_00002.png,0,0.650918,0.042492,0.960757,12
rice_R_8,1,frame_00002.png,frame_00003.png,0,0.647933,0.034670,0.942491,12
rice_R_8,1,frame_00003.png,frame_00004.png,0,0.646729,0.030050,0.973975,12
rice_R_8,1,frame_00004.png,frame_00005.png,0,0.643403,0.022655,0.898894,12
rice_R_8,1,frame_00005.png,frame_00006.png,0,0.641631,0.017837,0.872736,12
rice_R_8,1,frame_00006.png,frame_00007.png,0,0.639641,0.011808,0.852778,12
rice_R_8,1,frame_00007.png,frame_00008.png,0,0.639302,0.010053,0.892065,12
rice_R_8,1,frame_00008.png,frame_00009.png,0,0.637095,0.003457,0.835075,12
rice_R_8,1,frame_00009.png,frame_00010.png,0,0.636175,0.002846,0.522507,12
rice_R_8,1,frame_00010.png,frame_00011.png,0,0.635771,0.001952,0.409274,12
rice_R_8,1,frame_00011.png,frame_00012.png,0,0.636081,0.002115,0.498301,12
rice_R_8,1,frame_00012.png,frame_00013.png,0,0.635626,0.000337,0.173697,12
rice_R_8,1,frame_00013.png,frame_00014.png,0,0.635600,0.000577,0.231660,12
rice_R_8,1,frame_00014.png,frame_00015.png,0,0.635662,0.000577,0.248963,12
rice_R_8,1,frame_00015.png,frame_00016.png,0,0.635788,0.000447,0.261236,12
rice_R_8,1,frame_00016.png,frame_00017.png,0,0.635517,0.000375,0.162162,12
rice_R_8,1,frame_00017.png,frame_00018.png,0,0.635780,0.001414,0.385321,12
rice_R_8,1,frame_00018.png,frame_00019.png,0,0.635696,0.000409,0.216285,12
rice_R_8,1,frame_00019.png,frame_00020.png,0,0.635612,0.001716,0.362437,12
rice_R_8,1,frame_00096.png,frame_00097.png,0,0.683003,0.132920,0.970819,12
