folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,stat,,std,,12,0.606583,,0.606583,frame_00000.png,frame_00116.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,58.830 fps,0,rice,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_R_8,QR未検出,,stat,,std,,12,0.616701,,0.616701,frame_00000.png,frame_00116.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_R_12,QR未検出,,stat,,std,,12,0.757245,,0.757245,frame_00000.png,frame_00116.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_R_4,QR未検出,,stat,,std,,12,0.619900,,0.619900,frame_00000.png,frame_00116.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_R_8,QR未検出,,stat,,std,,12,0.637249,,0.637249,frame_00000.png,frame_00116.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_R_12,QR未検出,,stat,,std,,12,0.736192,,0.736192,frame_00000.png,frame_00116.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988774
hocho_R_4,QR未検出,,stat,,std,,12,0.610628,,0.610628,frame_00000.png,frame_00116.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988774
hocho_R_8,QR未検出,,stat,,std,,12,0.610422,,0.610422,frame_00000.png,frame_00116.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988774
hocho_R_12,QR未検出,,stat,,std,,12,0.716097,,0.716097,frame_00000.png,frame_00116.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988774
ex_R_4,QR未検出,,stat,,std,,12,0.605307,,0.605307,frame_00000.png,frame_00116.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988774
ex_R_8,QR未検出,,stat,,std,,12,0.632107,,0.632107,frame_00000.png,frame_00116.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988774
ex_R_12,QR未検出,,stat,,std,,12,0.778390,,0.778390,frame_00000.png,frame_00116.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_G_4,QR未検出,,stat,,std,,12,0.613559,,0.613559,frame_00000.png,frame_00116.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_G_8,QR未検出,,stat,,std,,12,0.646764,,0.646764,frame_00000.png,frame_00116.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_G_12,QR未検出,,stat,,std,,12,0.821780,,0.821780,frame_00000.png,frame_00116.png,,,,,,14,rice,G,G,12,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_G_4,QR未検出,,stat,,std,,12,0.616549,,0.616549,frame_00000.png,frame_00116.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_G_8,QR未検出,,stat,,std,,12,0.624356,,0.624356,frame_00000.png,frame_00116.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_G_12,QR未検出,,stat,,std,,12,0.749209,,0.749209,frame_00000.png,frame_00116.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00116.png,,117,1.988774
hocho_G_4,QR未検出,,stat,,std,,12,0.607117,,0.607117,frame_00000.png,frame_00116.png,,,,,,18,hocho,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.988774
hocho_G_8,QR未検出,,stat,,std,,12,0.612320,,0.612320,frame_00000.png,frame_00116.png,,,,,,19,hocho,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.988774
hocho_G_12,QR未検出,,stat,,std,,12,0.643662,,0.643662,frame_00000.png,frame_00116.png,,,,,,20,hocho,G,G,12,,,frame_00000.png,frame_00116.png,,117,1.988774
ex_G_4,QR未検出,,stat,,std,,12,0.611059,,0.611059,frame_00000.png,frame_00116.png,,,,,,21,ex,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.988774
ex_G_8,QR未検出,,stat,,std,,12,0.632443,,0.632443,frame_00000.png,frame_00116.png,,,,,,22,ex,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.988774
ex_G_12,QR未検出,,stat,,std,,12,0.833755,,0.833755,frame_00000.png,frame_00116.png,,,,,,23,ex,G,G,12,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_B_4,QR未検出,,stat,,std,,12,0.615770,,0.615770,frame_00000.png,frame_00116.png,,,,,,24,rice,B,B,4,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_B_8,QR未検出,,stat,,std,,12,0.629378,,0.629378,frame_00000.png,frame_00116.png,,,,,,25,rice,B,B,8,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_B_12,QR未検出,,stat,,std,,12,0.773937,,0.773937,frame_00000.png,frame_00116.png,,,,,,26,rice,B,B,12,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_B_4,QR未検出,,stat,,std,,12,0.616644,,0.616644,frame_00000.png,frame_00116.png,,,,,,27,nagaoka_fireworks,B,B,4,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_B_8,QR未検出,,stat,,std,,12,0.629070,,0.629070,frame_00000.png,frame_00116.png,,,,,,28,nagaoka_fireworks,B,B,8,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_B_12,QR未検出,,stat,,std,,12,0.747129,,0.747129,frame_00000.png,frame_00116.png,,,,,,29,nagaoka_fireworks,B,B,12,,,frame_00000.png,frame_00116.png,,117,1.988774
hocho_B_4,QR未検出,,stat,,std,,12,0.615013,,0.615013,frame_00000.png,frame_00116.png,,,,,,30,hocho,B,B,4,,,frame_00000.png,frame_00116.png,,117,1.988774
hocho_B_8,QR未検出,,stat,,std,,12,0.616304,,0.616304,frame_00000.png,frame_00116.png,,,,,,31,hocho,B,B,8,,,frame_00000.png,frame_00116.png,,117,1.988774
hocho_B_12,QR未検出,,stat,,std,,12,0.631845,,0.631845,frame_00000.png,frame_00116.png,,,,,,32,hocho,B,B,12,,,frame_00000.png,frame_00116.png,,117,1.988774
ex_B_4,QR未検出,,stat,,std,,12,0.601042,,0.601042,frame_00000.png,frame_00116.png,,,,,,33,ex,B,B,4,,,frame_00000.png,frame_00116.png,,117,1.988774
ex_B_8,QR未検出,,stat,,std,,12,0.616357,,0.616357,frame_00000.png,frame_00116.png,,,,,,34,ex,B,B,8,,,frame_00000.png,frame_00116.png,,117,1.988774
ex_B_12,QR未検出,,stat,,std,,12,0.770952,,0.770952,frame_00000.png,frame_00116.png,,,,,,35,ex,B,B,12,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_I_4,QR未検出,,stat,,std,,12,0.621130,,0.621130,frame_00000.png,frame_00116.png,,,,,,36,rice,min,I,4,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_I_8,QR未検出,,stat,,std,,12,0.637542,,0.637542,frame_00000.png,frame_00116.png,,,,,,37,rice,min,I,8,,,frame_00000.png,frame_00116.png,,117,1.988774
rice_I_12,QR未検出,,stat,,std,,12,0.789207,,0.789207,frame_00000.png,frame_00116.png,,,,,,38,rice,min,I,12,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_I_4,QR未検出,,stat,,std,,12,0.618105,,0.618105,frame_00000.png,frame_00116.png,,,,,,39,nagaoka_fireworks,min,I,4,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_I_8,QR未検出,,stat,,std,,12,0.622895,,0.622895,frame_00000.png,frame_00116.png,,,,,,40,nagaoka_fireworks,min,I,8,,,frame_00000.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_I_12,QR未検出,,stat,,std,,12,0.722593,,0.722593,frame_00000.png,frame_00116.png,,,,,,41,nagaoka_fireworks,min,I,12,,,frame_00000.png,frame_00116.png,,117,1.988774
hocho_I_4,QR未検出,,stat,,std,,12,0.609872,,0.609872,frame_00000.png,frame_00116.png,,,,,,42,hocho,min,I,4,,,frame_00000.png,frame_00116.png,,117,1.988774
