folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,accum,5,,,32,0.636962,,0.641762,frame_00030.png,frame_00034.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,58.830 fps,0,rice,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.988774
rice_R_8,QR未検出,,accum,5,,,32,0.702156,,0.835863,frame_00095.png,frame_00099.png,,,,,,1,rice,R,R,8,,,frame_00100.png,frame_00104.png,,117,1.988774
rice_R_12,,gray,accum,5,,,32,0.856045,0.953048,0.953901,frame_00095.png,frame_00099.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00045.png,frame_00049.png,,117,1.988774
nagaoka_fireworks_R_4,QR未検出,,accum,5,,,32,0.637753,,0.647308,frame_00050.png,frame_00054.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.988774
nagaoka_fireworks_R_8,QR未検出,,accum,5,,,32,0.714600,,0.806056,frame_00000.png,frame_00004.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00105.png,frame_00109.png,,117,1.988774
nagaoka_fireworks_R_12,QR未検出,,accum,5,,,32,0.839273,,0.911433,frame_00100.png,frame_00104.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00105.png,frame_00109.png,,117,1.988774
hocho_R_4,QR未検出,,accum,5,,,32,0.637731,,0.644600,frame_00010.png,frame_00014.png,,,,,,6,hocho,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.988774
hocho_R_8,QR未検出,,accum,5,,,32,0.691583,,0.764697,frame_00015.png,frame_00019.png,,,,,,7,hocho,R,R,8,,,frame_00110.png,frame_00114.png,,117,1.988774
hocho_R_12,QR未検出,,accum,5,,,32,0.797696,,0.855689,frame_00060.png,frame_00064.png,,,,,,8,hocho,R,R,12,,,frame_00110.png,frame_00114.png,,117,1.988774
ex_R_4,QR未検出,,accum,5,,,32,0.652555,,0.683516,frame_00025.png,frame_00029.png,,,,,,9,ex,R,R,4,,,frame_00110.png,frame_00114.png,,117,1.988774
ex_R_8,,gray,accum,3,,,12,0.809826,0.932202,0.932202,frame_00027.png,frame_00029.png,,,,,,10,ex,R,R,8,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00027.png,frame_00029.png,,117,1.988774
