folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,pair,,,,12,0.636027,,0.636656,frame_00096.png,frame_00097.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,58.830 fps,0,rice,R,R,4,,,frame_00113.png,frame_00114.png,,117,1.988774
rice_R_8,QR未検出,,pair,,,,12,0.647268,,0.721969,frame_00098.png,frame_00099.png,,,,,,1,rice,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.988774
rice_R_12,,gray,pair,,,,8,0.802294,0.949870,0.949870,frame_00097.png,frame_00098.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00097.png,frame_00098.png,,117,1.988774
nagaoka_fireworks_R_4,QR未検出,,pair,,,,12,0.636326,,0.638703,frame_00099.png,frame_00100.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00115.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_R_8,QR未検出,,pair,,,,12,0.692385,,0.724747,frame_00002.png,frame_00003.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.988774
nagaoka_fireworks_R_12,QR未検出,,pair,,,,12,0.869566,,0.903150,frame_00004.png,frame_00005.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00115.png,frame_00116.png,,117,1.988774
hocho_R_4,QR未検出,,pair,,,,12,0.636145,,0.638516,frame_00013.png,frame_00014.png,,,,,,6,hocho,R,R,4,,,frame_00115.png,frame_00116.png,,117,1.988774
hocho_R_8,QR未検出,,pair,,,,12,0.669284,,0.702789,frame_00015.png,frame_00016.png,,,,,,7,hocho,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.988774
hocho_R_12,QR未検出,,pair,,,,12,0.818726,,0.843299,frame_00115.png,frame_00116.png,,,,,,8,hocho,R,R,12,,,frame_00114.png,frame_00115.png,,117,1.988774
ex_R_4,QR未検出,,pair,,,,12,0.636857,,0.640941,frame_00019.png,frame_00020.png,,,,,,9,ex,R,R,4,,,frame_00115.png,frame_00116.png,,117,1.988774
