folder,cond,frame_1,frame_2,success,accuracy,recall,precision,diff_threshold
rice_R_4,0,frame_00000.png,frame_00001.png,0,0.636173,0.004489,0.355777,12
rice_R_4,0,frame_00001.png,frame_00002.png,0,0.636613,0.005000,0.402330,12
rice_R_4,0,frame_00002.png,frame_00003.png,0,0.637034,0.006183,0.453612,12
rice_R_4,0,frame_00003.png,frame_00004.png,0,0.636798,0.004103,0.405341,12
rice_R_4,0,frame_00004.png,frame_00005.png,0,0.636371,0.004725,0.376683,12
rice_R_4,0,frame_00005.png,frame_00006.png,0,0.636730,0.005198,0.415830,12
rice_R_4,0,frame_00006.png,frame_00007.png,0,0.636413,0.005710,0.396581,12
rice_R_4,0,frame_00007.png,frame_00008.png,0,0.636789,0.005990,0.430305,12
rice_R_4,0,frame_00008.png,frame_00009.png,0,0.637731,0.006207,0.527915,12
rice_R_4,0,frame_00009.png,frame_00010.png,0,0.636798,0.005488,0.425683,12
rice_R_4,0,frame_00010.png,frame_00011.png,0,0.636506,0.004986,0.392776,12
rice_R_4,0,frame_00011.png,frame_00012.png,0,0.636373,0.004909,0.380329,12
rice_R_4,0,frame_00012.png,frame_00013.png,0,0.636191,0.004817,0.364234,12
rice_R_4,0,frame_00013.png,frame_00014.png,0,0.637032,0.005140,0.445048,12
rice_R_4,0,frame_00014.png,frame_00015.png,0,0.637179,0.006062,0.466741,12
rice_R_4,0,frame_00015.png,frame_00016.png,0,0.636424,0.004141,0.368715,12
rice_R_4,0,frame_00016.png,frame_00017.png,0,0.636565,0.004638,0.391925,12
rice_R_4,0,frame_00017.png,frame_00018.png,0,0.636196,0.004643,0.360976,12
rice_R_4,0,frame_00018.png,frame_00019.png,0,0.637223,0.006839,0.474230,12
rice_R_4,0,frame_00019.png,frame_00020.png,0,0.637225,0.006168,0.471761,12
rice_R_4,0,frame_00099.png,frame_00100.png,0,0.636648,0.005637,0.414331,12
rice_R_4,0,frame_00100.png,frame_00101.png,0,0.636277,0.005358,0.380789,12
rice_R_4,0,frame_00101.png,frame_00102.png,0,0.636445,0.004986,0.387617,12
rice_R_4,0,frame_00102.png,frame_00103.png,0,0.636852,0.006395,0.439324,12
rice_R_4,0,frame_00103.png,frame_00104.png,0,0.635725,0.006043,0.356289,12
rice_R_4,0,frame_00104.png,frame_00105.png,0,0.636030,0.005526,0.366283,12
rice_R_4,0,frame_00105.png,frame_00106.png,0,0.636814,0.004986,0.420945,12
rice_R_4,0,frame_00106.png,frame_00107.png,0,0.636261,0.007771,0.410296,12
rice_R_4,0,frame_00107.png,frame_00108.png,0,0.636768,0.005850,0.427061,12
rice_R_4,0,frame_00108.png,frame_00109.png,0,0.636882,0.007375,0.448752,12
rice_R_4,0,frame_00109.png,frame_00110.png,0,0.636847,0.005435,0.429607,12
rice_R_4,0,frame_00110.png,frame_00111.png,0,0.637083,0.006221,0.458393,12
rice_R_4,0,frame_00111.png,frame_00112.png,0,0.637025,0.005078,0.443695,12
rice_R_4,0,frame_00112.png,frame_00113.png,0,0.636856,0.007307,0.446344,12
rice_R_4,0,frame_00113.png,frame_00114.png,0,0.636546,0.005787,0.407962,12
rice_R_4,0,frame_00114.png,frame_00115.png,0,0.636782,0.004547,0.411354,12
rice_R_4,0,frame_00115.png,frame_00116.png,0,0.637323,0.006043,0.481353,12
rice_R_4,0,frame_00116.png,frame_00117.png,0,0.636450,0.005087,0.389793,12
rice_R_4,0,frame_00117.png,frame_00118.png,0,0.636530,0.006178,0.411576,12
rice_R_4,0,frame_00118.png,frame_00119.png,0,0.637319,0.006777,0.482972,12
rice_R_8,1,frame_00000.png,frame_00001.png,0,0.749395,0.455258,0.756460,4
rice_R_8,1,frame_00001.png,frame_00002.png,0,0.738648,0.459558,0.717978,4
rice_R_8,1,frame_00002.png,frame_00003.png,0,0.747636,0.458443,0.747809,4
rice_R_8,1,frame_00003.png,frame_00004.png,0,0.742438,0.471398,0.721567,4
rice_R_8,1,frame_00004.png,frame_00005.png,0,0.748100,0.463941,0.744970,4
rice_R_8,1,frame_00005.png,frame_00006.png,0,0.741768,0.465374,0.723644,4
rice_R_8,1,frame_00006.png,frame_00007.png,0,0.747914,0.482238,0.730807,4
rice_R_8,1,frame_00007.png,frame_00008.png,0,0.734927,0.479666,0.694610,4
rice_R_8,1,frame_00008.png,frame_00009.png,0,0.750031,0.464225,0.751168,4
rice_R_8,1,frame_00009.png,frame_00010.png,0,0.755085,0.467826,0.765338,4
rice_R_8,1,frame_00010.png,frame_00011.png,0,0.725865,0.473768,0.673200,4
rice_R_8,1,frame_00011.png,frame_00012.png,0,0.738547,0.467411,0.712454,4
rice_R_8,1,frame_00012.png,frame_00013.png,0,0.715266,0.424411,0.669122,4
rice_R_8,1,frame_00013.png,frame_00014.png,0,0.743129,0.471991,0.723272,4
rice_R_8,1,frame_00014.png,frame_00015.png,0,0.753792,0.479873,0.751059,4
rice_R_8,1,frame_00015.png,frame_00016.png,0,0.743698,0.451005,0.740522,4
rice_R_8,1,frame_00016.png,frame_00017.png,0,0.747907,0.449408,0.756287,4
rice_R_8,1,frame_00017.png,frame_00018.png,0,0.726147,0.477426,0.672153,4
rice_R_8,1,frame_00018.png,frame_00019.png,0,0.707053,0.495173,0.620160,4
rice_R_8,1,frame_00019.png,frame_00020.png,0,0.750710,0.481205,0.740211,4
rice_R_8,1,frame_00099.png,frame_00100.png,0,0.748551,0.455914,0.752997,4
rice_R_8,1,frame_00100.png,frame_00101.png,0,0.701186,0.472170,0.614294,4
rice_R_8,1,frame_00101.png,frame_00102.png,0,0.749918,0.456609,0.757121,4
rice_R_8,1,frame_00102.png,frame_00103.png,0,0.752778,0.461040,0.763240,4
rice_R_8,1,frame_00103.png,frame_00104.png,0,0.719187,0.470070,0.657641,4
rice_R_8,1,frame_00104.png,frame_00105.png,0,0.747367,0.458294,0.747024,4
rice_R_8,1,frame_00105.png,frame_00106.png,0,0.706304,0.464901,0.628260,4
rice_R_8,1,frame_00106.png,frame_00107.png,0,0.705439,0.436844,0.636564,4
rice_R_8,1,frame_00107.png,frame_00108.png,0,0.751933,0.480066,0.744935,4
rice_R_8,1,frame_00108.png,frame_00109.png,0,0.749843,0.447796,0.764591,4
rice_R_8,1,frame_00109.png,frame_00110.png,0,0.731030,0.476774,0.685494,4
rice_R_8,1,frame_00110.png,frame_00111.png,0,0.742109,0.438997,0.744816,4
rice_R_8,1,frame_00111.png,frame_00112.png,0,0.752626,0.461146,0.762617,4
rice_R_8,1,frame_00112.png,frame_00113.png,0,0.752348,0.492688,0.736961,4
rice_R_8,1,frame_00113.png,frame_00114.png,0,0.741136,0.456368,0.728059,4
rice_R_8,1,frame_00114.png,frame_00115.png,0,0.750444,0.473729,0.745005,4
rice_R_8,1,frame_00115.png,frame_00116.png,0,0.747801,0.459577,0.747447,4
rice_R_8,1,frame_00116.png,frame_00117.png,0,0.742240,0.441898,0.742882,4
rice_R_8,1,frame_00117.png,frame_00118.png,0,0.744524,0.453375,0.741416,4
rice_R_8,1,frame_00118.png,frame_00119.png,0,0.741658,0.456836,0.729390,4
rice_R_12,2,frame_00000.png,frame_00001.png,0,0.878386,0.791477,0.861767,8
rice_R_12,2,frame_00001.png,frame_00002.png,0,0.880127,0.792805,0.865235,8
rice_R_12,2,frame_00002.png,frame_00003.png,0,0.879845,0.797708,0.860645,8
rice_R_12,2,frame_00003.png,frame_00004.png,0,0.881388,0.799393,0.863290,8
rice_R_12,2,frame_00004.png,frame_00005.png,0,0.881787,0.795503,0.867408,8
rice_R_12,2,frame_00005.png,frame_00006.png,0,0.880198,0.792795,0.865430,8
rice_R_12,2,frame_00006.png,frame_00007.png,0,0.875539,0.790435,0.855261,8
rice_R_12,2,frame_00007.png,frame_00008.png,0,0.878839,0.796603,0.858929,8
