folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note
ex_X_4,frame_00000.png,frame_00001.png,ex_X_4\rgb_max_diff_maps_th8\00000-00001-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.032483,0.546710,0.639505,0.022193,
ex_X_4,frame_00002.png,frame_00003.png,ex_X_4\rgb_max_diff_maps_th8\00002-00003-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.020112,0.511665,0.637825,0.015561,
ex_X_4,frame_00004.png,frame_00005.png,ex_X_4\rgb_max_diff_maps_th8\00004-00005-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.022584,0.548728,0.638947,0.016870,
ex_X_4,frame_00001.png,frame_00002.png,ex_X_4\rgb_max_diff_maps_th8\00001-00002-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.023713,0.519400,0.638135,0.017404,
ex_X_4,frame_00003.png,frame_00004.png,ex_X_4\rgb_max_diff_maps_th8\00003-00004-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.020156,0.533265,0.638404,0.016650,
ex_X_4,frame_00005.png,frame_00006.png,ex_X_4\rgb_max_diff_maps_th8\00005-00006-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.018804,0.521902,0.638065,0.016383,
ex_X_4,frame_00007.png,frame_00008.png,ex_X_4\rgb_max_diff_maps_th8\00007-00008-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.034867,0.518779,0.638408,0.025917,
ex_X_4,frame_00006.png,frame_00007.png,ex_X_4\rgb_max_diff_maps_th8\00006-00007-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.027811,0.474864,0.636425,0.023415,
ex_X_4,frame_00017.png,frame_00018.png,ex_X_4\rgb_max_diff_maps_th8\00017-00018-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.025513,0.572078,0.639823,0.016870,
ex_X_4,frame_00013.png,frame_00014.png,ex_X_4\rgb_max_diff_maps_th8\00013-00014-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.023090,0.507694,0.637746,0.018320,
ex_X_4,frame_00016.png,frame_00017.png,ex_X_4\rgb_max_diff_maps_th8\00016-00017-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.024669,0.549806,0.639113,0.018022,
ex_X_4,frame_00008.png,frame_00009.png,ex_X_4\rgb_max_diff_maps_th8\00008-00009-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.033516,0.524036,0.638607,0.023212,
ex_X_4,frame_00009.png,frame_00010.png,ex_X_4\rgb_max_diff_maps_th8\00009-00010-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.028124,0.561584,0.639729,0.018305,
ex_X_4,frame_00010.png,frame_00011.png,ex_X_4\rgb_max_diff_maps_th8\00010-00011-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.030649,0.533345,0.638882,0.021674,
ex_X_4,frame_00019.png,frame_00020.png,ex_X_4\rgb_max_diff_maps_th8\00019-00020-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.026286,0.600242,0.640675,0.016662,
ex_X_4,frame_00018.png,frame_00019.png,ex_X_4\rgb_max_diff_maps_th8\00018-00019-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.023882,0.551616,0.639113,0.016596,
ex_X_4,frame_00011.png,frame_00012.png,ex_X_4\rgb_max_diff_maps_th8\00011-00012-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.021444,0.510631,0.637816,0.017679,
ex_X_4,frame_00015.png,frame_00016.png,ex_X_4\rgb_max_diff_maps_th8\00015-00016-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.029206,0.558777,0.639720,0.018543,
ex_X_4,frame_00099.png,frame_00100.png,ex_X_4\rgb_max_diff_maps_th8\00099-00100-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.021198,0.500399,0.637505,0.017002,
ex_X_4,frame_00012.png,frame_00013.png,ex_X_4\rgb_max_diff_maps_th8\00012-00013-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.027067,0.454973,0.635551,0.025096,
ex_X_4,frame_00100.png,frame_00101.png,ex_X_4\rgb_max_diff_maps_th8\00100-00101-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.023776,0.539776,0.638763,0.017150,
ex_X_4,frame_00014.png,frame_00015.png,ex_X_4\rgb_max_diff_maps_th8\00014-00015-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.044984,0.487703,0.636670,0.029919,
ex_X_4,frame_00101.png,frame_00102.png,ex_X_4\rgb_max_diff_maps_th8\00101-00102-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.030769,0.542415,0.639237,0.022077,
ex_X_4,frame_00109.png,frame_00110.png,ex_X_4\rgb_max_diff_maps_th8\00109-00110-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.029848,0.579569,0.640464,0.018833,
ex_X_4,frame_00102.png,frame_00103.png,ex_X_4\rgb_max_diff_maps_th8\00102-00103-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.029186,0.517545,0.638210,0.023638,
ex_X_4,frame_00103.png,frame_00104.png,ex_X_4\rgb_max_diff_maps_th8\00103-00104-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.032082,0.529515,0.638789,0.022859,
ex_X_4,frame_00110.png,frame_00111.png,ex_X_4\rgb_max_diff_maps_th8\00110-00111-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.025653,0.471481,0.636368,0.022832,
ex_X_4,frame_00106.png,frame_00107.png,ex_X_4\rgb_max_diff_maps_th8\00106-00107-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.029254,0.501323,0.637549,0.024745,
ex_X_4,frame_00104.png,frame_00105.png,ex_X_4\rgb_max_diff_maps_th8\00104-00105-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.029886,0.495717,0.637305,0.023617,
ex_X_4,frame_00107.png,frame_00108.png,ex_X_4\rgb_max_diff_maps_th8\00107-00108-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.023052,0.563673,0.639381,0.017539,
