folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,fourier,,,28.843330,12,0.631748,,0.631748,frame_00000.png,frame_00116.png,r120_e60_f1.mp4,120 Hz,1/60,蛍光灯あり,58.843 fps,0,rice,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988331
rice_R_8,QR未検出,,fourier,,,28.843330,12,0.612933,,0.612933,frame_00000.png,frame_00116.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988331
rice_R_12,QR未検出,,fourier,,,28.843330,12,0.624652,,0.624652,frame_00000.png,frame_00116.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988331
nagaoka_fireworks_R_4,QR未検出,,fourier,,,28.843330,12,0.570367,,0.570367,frame_00000.png,frame_00116.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988331
nagaoka_fireworks_R_8,QR未検出,,fourier,,,28.843330,12,0.565406,,0.565406,frame_00000.png,frame_00116.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988331
nagaoka_fireworks_R_12,QR未検出,,fourier,,,28.843330,12,0.559384,,0.559384,frame_00000.png,frame_00116.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988331
hocho_R_4,QR未検出,,fourier,,,28.843330,4,0.602167,,0.602167,frame_00000.png,frame_00116.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988331
hocho_R_8,QR未検出,,fourier,,,28.843330,4,0.598202,,0.598202,frame_00000.png,frame_00116.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988331
hocho_R_12,QR未検出,,fourier,,,28.843330,4,0.605134,,0.605134,frame_00000.png,frame_00116.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988331
ex_R_4,QR未検出,,fourier,,,14.421665,4,0.603210,,0.603210,frame_00000.png,frame_00116.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.988331
ex_R_8,QR未検出,,fourier,,,14.421665,4,0.613272,,0.613272,frame_00000.png,frame_00116.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.988331
ex_R_12,QR未検出,,fourier,,,14.421665,4,0.599149,,0.599149,frame_00000.png,frame_00116.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.988331
rice_G_4,QR未検出,,fourier,,,14.421665,12,0.616497,,0.616497,frame_00000.png,frame_00116.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.988331
rice_G_8,QR未検出,,fourier,,,28.843330,12,0.619037,,0.619037,frame_00000.png,frame_00116.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.988331
rice_G_12,QR未検出,,fourier,,,28.843330,12,0.611309,,0.611309,frame_00000.png,frame_00116.png,,,,,,14,rice,G,G,12,,,frame_00000.png,frame_00116.png,,117,1.988331
nagaoka_fireworks_G_4,QR未検出,,fourier,,,14.421665,4,0.564269,,0.564269,frame_00000.png,frame_00116.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.988331
