folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000005,0.000553,0.634840,0.012386,,accum:accum::3:None:12:0,accum,3,,,12
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000082,0.004621,0.631621,0.022059,,accum:accum::3:None:16:0,accum,3,,,16
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.001073,0.025130,0.623319,0.046581,,accum:accum::3:None:24:0,accum,3,,,24
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.003548,0.044222,0.611526,0.077523,,accum:accum::3:None:32:0,accum,3,,,32
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000005,0.000552,0.634831,0.012716,,accum:accum::5:None:12:0,accum,5,,,12
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000092,0.005130,0.631584,0.022603,,accum:accum::5:None:16:0,accum,5,,,16
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.001092,0.025189,0.623091,0.047499,,accum:accum::5:None:24:0,accum,5,,,24
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.003673,0.044851,0.611010,0.078856,,accum:accum::5:None:32:0,accum,5,,,32
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.636746,0.013733,,accum:accum::3:None:12:0,accum,3,,,12
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.635071,0.023604,,accum:accum::3:None:16:0,accum,3,,,16
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.628424,0.053014,,accum:accum::3:None:24:0,accum,3,,,24
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.619634,0.087130,,accum:accum::3:None:32:0,accum,3,,,32
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.636735,0.014269,,accum:accum::5:None:12:0,accum,5,,,12
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.634947,0.024232,,accum:accum::5:None:16:0,accum,5,,,16
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.628214,0.054231,,accum:accum::5:None:24:0,accum,5,,,24
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.619261,0.088962,,accum:accum::5:None:32:0,accum,5,,,32
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.637491,0.018574,,accum:accum::3:None:12:0,accum,3,,,12
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.636522,0.031317,,accum:accum::3:None:16:0,accum,3,,,16
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.632011,0.064019,,accum:accum::3:None:24:0,accum,3,,,24
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.625525,0.098873,,accum:accum::3:None:32:0,accum,3,,,32
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.637440,0.019057,,accum:accum::5:None:12:0,accum,5,,,12
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.636488,0.031994,,accum:accum::5:None:16:0,accum,5,,,16
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.631857,0.064952,,accum:accum::5:None:24:0,accum,5,,,24
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.625303,0.100283,,accum:accum::5:None:32:0,accum,5,,,32
