folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.619429,0.708235,0.769857,0.125431,,pair:pair::None:None:4:1,pair,,,,4
rice_R_4,frame_00000.png,frame_00001.png,,,,0,decode失敗,QR未検出,0.401620,0.653589,0.706328,0.111317,,pair:pair::None:None:4:0,pair,,,,4
rice_R_4,frame_00002.png,frame_00003.png,,,,0,decode失敗,QR未検出,0.542874,0.692699,0.747337,0.121088,,pair:pair::None:None:4:2,pair,,,,4
rice_R_4,frame_00003.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.201733,0.485021,0.633488,0.117410,,pair:pair::None:None:4:3,pair,,,,4
rice_R_4,frame_00005.png,frame_00006.png,,,,0,decode失敗,QR未検出,0.632880,0.710844,0.773908,0.123429,,pair:pair::None:None:4:5,pair,,,,4
rice_R_4,frame_00004.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.434090,0.641666,0.707385,0.121648,,pair:pair::None:None:4:4,pair,,,,4
rice_R_4,frame_00006.png,frame_00007.png,,,,0,decode失敗,QR未検出,0.541989,0.689966,0.746037,0.123496,,pair:pair::None:None:4:6,pair,,,,4
rice_R_4,frame_00008.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.415472,0.641091,0.704199,0.117230,,pair:pair::None:None:4:8,pair,,,,4
rice_R_4,frame_00007.png,frame_00008.png,,,,0,decode失敗,QR未検出,0.192395,0.485445,0.633822,0.112082,,pair:pair::None:None:4:7,pair,,,,4
rice_R_4,frame_00009.png,frame_00010.png,,,,0,decode失敗,QR未検出,0.618931,0.701787,0.766844,0.126567,,pair:pair::None:None:4:9,pair,,,,4
rice_R_4,frame_00011.png,frame_00012.png,,,,0,decode失敗,QR未検出,0.278825,0.462874,0.621807,0.142584,,pair:pair::None:None:4:11,pair,,,,4
rice_R_4,frame_00015.png,frame_00016.png,,,,0,decode失敗,QR未検出,0.175343,0.473875,0.631000,0.102526,,pair:pair::None:None:4:15,pair,,,,4
rice_R_4,frame_00010.png,frame_00011.png,,,,0,decode失敗,QR未検出,0.569080,0.638529,0.727386,0.143953,,pair:pair::None:None:4:10,pair,,,,4
rice_R_4,frame_00012.png,frame_00013.png,,,,0,decode失敗,QR未検出,0.422925,0.621861,0.698002,0.128591,,pair:pair::None:None:4:12,pair,,,,4
rice_R_4,frame_00014.png,frame_00015.png,,,,0,decode失敗,QR未検出,0.590850,0.662205,0.742781,0.130151,,pair:pair::None:None:4:14,pair,,,,4
rice_R_4,frame_00013.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.639052,0.731132,0.784264,0.112131,,pair:pair::None:None:4:13,pair,,,,4
rice_R_4,frame_00016.png,frame_00017.png,,,,0,decode失敗,QR未検出,0.421920,0.664895,0.713756,0.109124,,pair:pair::None:None:4:16,pair,,,,4
rice_R_4,frame_00017.png,frame_00018.png,,,,0,decode失敗,QR未検出,0.635268,0.733172,0.784273,0.111122,,pair:pair::None:None:4:17,pair,,,,4
rice_R_4,frame_00018.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.555958,0.715674,0.759300,0.109915,,pair:pair::None:None:4:18,pair,,,,4
rice_R_4,frame_00019.png,frame_00020.png,,,,0,decode失敗,QR未検出,0.173782,0.488293,0.634982,0.101723,,pair:pair::None:None:4:19,pair,,,,4
rice_R_4,frame_00099.png,frame_00100.png,,,,0,decode失敗,QR未検出,0.232831,0.445901,0.617546,0.133517,,pair:pair::None:None:4:20,pair,,,,4
rice_R_4,frame_00101.png,frame_00102.png,,,,0,decode失敗,QR未検出,0.643257,0.727921,0.783821,0.112819,,pair:pair::None:None:4:22,pair,,,,4
rice_R_4,frame_00102.png,frame_00103.png,,,,0,decode失敗,QR未検出,0.551004,0.711035,0.756400,0.110888,,pair:pair::None:None:4:23,pair,,,,4
rice_R_4,frame_00103.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.171046,0.449527,0.624094,0.111558,,pair:pair::None:None:4:24,pair,,,,4
rice_R_4,frame_00100.png,frame_00101.png,,,,0,decode失敗,QR未検出,0.449195,0.673071,0.721624,0.110028,,pair:pair::None:None:4:21,pair,,,,4
rice_R_4,frame_00104.png,frame_00105.png,,,,0,decode失敗,QR未検出,0.441737,0.674709,0.720812,0.109630,,pair:pair::None:None:4:25,pair,,,,4
rice_R_4,frame_00106.png,frame_00107.png,,,,0,decode失敗,QR未検出,0.527910,0.700201,0.747279,0.111475,,pair:pair::None:None:4:27,pair,,,,4
rice_R_4,frame_00105.png,frame_00106.png,,,,0,decode失敗,QR未検出,0.617916,0.727115,0.777736,0.111157,,pair:pair::None:None:4:26,pair,,,,4
rice_R_4,frame_00107.png,frame_00108.png,,,,0,decode失敗,QR未検出,0.157963,0.449602,0.625178,0.102633,,pair:pair::None:None:4:28,pair,,,,4
rice_R_4,frame_00108.png,frame_00109.png,,,,0,decode失敗,QR未検出,0.380455,0.650140,0.701609,0.111166,,pair:pair::None:None:4:29,pair,,,,4
rice_R_4,frame_00109.png,frame_00110.png,,,,0,decode失敗,QR未検出,0.648695,0.719822,0.781424,0.116137,,pair:pair::None:None:4:30,pair,,,,4
rice_R_4,frame_00110.png,frame_00111.png,,,,0,decode失敗,QR未検出,0.541593,0.707961,0.753181,0.110851,,pair:pair::None:None:4:31,pair,,,,4
rice_R_4,frame_00111.png,frame_00112.png,,,,0,decode失敗,QR未検出,0.166184,0.465831,0.629173,0.104304,,pair:pair::None:None:4:32,pair,,,,4
rice_R_4,frame_00112.png,frame_00113.png,,,,0,decode失敗,QR未検出,0.459238,0.668202,0.721694,0.113148,,pair:pair::None:None:4:33,pair,,,,4
rice_R_4,frame_00113.png,frame_00114.png,,,,0,decode失敗,QR未検出,0.632716,0.642179,0.739420,0.140158,,pair:pair::None:None:4:34,pair,,,,4
rice_R_4,frame_00114.png,frame_00115.png,,,,0,decode失敗,QR未検出,0.552521,0.686202,0.746546,0.116282,,pair:pair::None:None:4:35,pair,,,,4
rice_R_4,frame_00115.png,frame_00116.png,,,,0,decode失敗,QR未検出,0.156624,0.477415,0.632634,0.091377,,pair:pair::None:None:4:36,pair,,,,4
rice_R_4,frame_00116.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.483231,0.684736,0.732388,0.108444,,pair:pair::None:None:4:37,pair,,,,4
rice_R_4,frame_00117.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.645273,0.726242,0.783536,0.113515,,pair:pair::None:None:4:38,pair,,,,4
rice_R_4,frame_00118.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.582725,0.700070,0.758570,0.115441,,pair:pair::None:None:4:39,pair,,,,4
rice_R_4,frame_00000.png,frame_00001.png,,,,0,decode失敗,QR未検出,0.070156,0.627404,0.648313,0.021984,,pair:pair::None:None:8:0,pair,,,,8
rice_R_4,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.140539,0.736611,0.670682,0.024790,,pair:pair::None:None:8:1,pair,,,,8
rice_R_4,frame_00002.png,frame_00003.png,,,,0,decode失敗,QR未検出,0.107870,0.698026,0.660154,0.024189,,pair:pair::None:None:8:2,pair,,,,8
rice_R_4,frame_00003.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.035481,0.441670,0.634606,0.024639,,pair:pair::None:None:8:3,pair,,,,8
rice_R_4,frame_00004.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.077879,0.607213,0.647954,0.025219,,pair:pair::None:None:8:4,pair,,,,8
rice_R_4,frame_00005.png,frame_00006.png,,,,0,decode失敗,QR未検出,0.155962,0.744205,0.675051,0.024912,,pair:pair::None:None:8:5,pair,,,,8
rice_R_4,frame_00006.png,frame_00007.png,,,,0,decode失敗,QR未検出,0.106265,0.689216,0.659120,0.025620,,pair:pair::None:None:8:6,pair,,,,8
rice_R_4,frame_00007.png,frame_00008.png,,,,0,decode失敗,QR未検出,0.034901,0.450187,0.635202,0.023879,,pair:pair::None:None:8:7,pair,,,,8
rice_R_4,frame_00008.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.072558,0.607921,0.647324,0.024204,,pair:pair::None:None:8:8,pair,,,,8
rice_R_4,frame_00009.png,frame_00010.png,,,,0,decode失敗,QR未検出,0.133931,0.718881,0.667522,0.025883,,pair:pair::None:None:8:9,pair,,,,8
rice_R_4,frame_00010.png,frame_00011.png,,,,0,decode失敗,QR未検出,0.132979,0.654401,0.660714,0.029639,,pair:pair::None:None:8:10,pair,,,,8
