folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,stat,,std,,4,0.813448,,0.813448,frame_00000.png,frame_00119.png,r45_e250_f0.mp4,45 Hz,1/250,蛍光灯なし,59.988 fps,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_R_8,QR未検出,,stat,,std,,8,0.915538,,0.915538,frame_00000.png,frame_00119.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_R_12,,zxing_gray,stat,,std,,12,0.972478,0.972478,0.972478,frame_00000.png,frame_00119.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k5_i1,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_4,QR未検出,,stat,,std,,4,0.732972,,0.732972,frame_00000.png,frame_00119.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_8,QR未検出,,stat,,std,,8,0.844603,,0.844603,frame_00000.png,frame_00119.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_R_12,QR未検出,,stat,,std,,12,0.911383,,0.911383,frame_00000.png,frame_00119.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_R_4,QR未検出,,stat,,std,,4,0.729331,,0.729331,frame_00000.png,frame_00119.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_R_8,QR未検出,,stat,,std,,4,0.827103,,0.827103,frame_00000.png,frame_00119.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_R_12,QR未検出,,stat,,std,,8,0.882847,,0.882847,frame_00000.png,frame_00119.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_R_4,QR未検出,,stat,,std,,8,0.778978,,0.778978,frame_00000.png,frame_00119.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_R_8,QR未検出,,stat,,std,,8,0.917311,,0.917311,frame_00000.png,frame_00119.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_R_12,QR未検出,,stat,,std,,12,0.936791,,0.936791,frame_00000.png,frame_00119.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_G_4,QR未検出,,stat,,std,,4,0.805043,,0.805043,frame_00000.png,frame_00119.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_G_8,QR未検出,,stat,,std,,8,0.906711,,0.906711,frame_00000.png,frame_00119.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_G_12,,zxing_gray,stat,,std,,12,0.975753,0.975753,0.975753,frame_00000.png,frame_00119.png,,,,,,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k5_i1,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_G_4,QR未検出,,stat,,std,,4,0.725228,,0.725228,frame_00000.png,frame_00119.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_G_8,QR未検出,,stat,,std,,8,0.831535,,0.831535,frame_00000.png,frame_00119.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_G_12,QR未検出,,stat,,std,,12,0.913573,,0.913573,frame_00000.png,frame_00119.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_G_4,QR未検出,,stat,,std,,8,0.674234,,0.674234,frame_00000.png,frame_00119.png,,,,,,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_G_8,QR未検出,,stat,,std,,4,0.743428,,0.743428,frame_00000.png,frame_00119.png,,,,,,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_G_12,QR未検出,,stat,,std,,8,0.902690,,0.902690,frame_00000.png,frame_00119.png,,,,,,20,hocho,G,G,12,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_G_4,QR未検出,,stat,,std,,4,0.765805,,0.765805,frame_00000.png,frame_00119.png,,,,,,21,ex,G,G,4,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_G_8,QR未検出,,stat,,std,,8,0.924437,,0.924437,frame_00000.png,frame_00119.png,,,,,,22,ex,G,G,8,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_G_12,,zxing_gray,stat,,std,,12,0.954176,0.954176,0.954176,frame_00000.png,frame_00119.png,,,,,,23,ex,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k5_i1,frame_00000.png,frame_00119.png,,120,0.000000
rice_B_4,QR未検出,,stat,,std,,4,0.797526,,0.797526,frame_00000.png,frame_00119.png,,,,,,24,rice,B,B,4,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_B_8,QR未検出,,stat,,std,,8,0.888574,,0.888574,frame_00000.png,frame_00119.png,,,,,,25,rice,B,B,8,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_B_12,QR未検出,,stat,,std,,12,0.934652,,0.934652,frame_00000.png,frame_00119.png,,,,,,26,rice,B,B,12,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_B_4,QR未検出,,stat,,std,,4,0.745262,,0.745262,frame_00000.png,frame_00119.png,,,,,,27,nagaoka_fireworks,B,B,4,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_B_8,QR未検出,,stat,,std,,8,0.868614,,0.868614,frame_00000.png,frame_00119.png,,,,,,28,nagaoka_fireworks,B,B,8,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_B_12,QR未検出,,stat,,std,,12,0.931922,,0.931922,frame_00000.png,frame_00119.png,,,,,,29,nagaoka_fireworks,B,B,12,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_B_4,QR未検出,,stat,,std,,12,0.639568,,0.639568,frame_00000.png,frame_00119.png,,,,,,30,hocho,B,B,4,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_B_8,QR未検出,,stat,,std,,8,0.668065,,0.668065,frame_00000.png,frame_00119.png,,,,,,31,hocho,B,B,8,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_B_12,QR未検出,,stat,,std,,4,0.841326,,0.841326,frame_00000.png,frame_00119.png,,,,,,32,hocho,B,B,12,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_B_4,QR未検出,,stat,,std,,4,0.801638,,0.801638,frame_00000.png,frame_00119.png,,,,,,33,ex,B,B,4,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_B_8,,zxing_gray,stat,,std,,8,0.945263,0.945263,0.945263,frame_00000.png,frame_00119.png,,,,,,34,ex,B,B,8,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k5_i1,frame_00000.png,frame_00119.png,,120,0.000000
ex_B_12,,zxing_gray,stat,,std,,12,0.959955,0.959955,0.959955,frame_00000.png,frame_00119.png,,,,,,35,ex,B,B,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k5_i1,frame_00000.png,frame_00119.png,,120,0.000000
rice_I_4,QR未検出,,stat,,std,,4,0.799463,,0.799463,frame_00000.png,frame_00119.png,,,,,,36,rice,min,I,4,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_I_8,QR未検出,,stat,,std,,8,0.889346,,0.889346,frame_00000.png,frame_00119.png,,,,,,37,rice,min,I,8,,,frame_00000.png,frame_00119.png,,120,0.000000
rice_I_12,QR未検出,,stat,,std,,12,0.933549,,0.933549,frame_00000.png,frame_00119.png,,,,,,38,rice,min,I,12,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_I_4,QR未検出,,stat,,std,,4,0.703576,,0.703576,frame_00000.png,frame_00119.png,,,,,,39,nagaoka_fireworks,min,I,4,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_I_8,QR未検出,,stat,,std,,8,0.789670,,0.789670,frame_00000.png,frame_00119.png,,,,,,40,nagaoka_fireworks,min,I,8,,,frame_00000.png,frame_00119.png,,120,0.000000
nagaoka_fireworks_I_12,QR未検出,,stat,,std,,8,0.899032,,0.899032,frame_00000.png,frame_00119.png,,,,,,41,nagaoka_fireworks,min,I,12,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_I_4,QR未検出,,stat,,std,,12,0.639293,,0.639293,frame_00000.png,frame_00119.png,,,,,,42,hocho,min,I,4,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_I_8,QR未検出,,stat,,std,,8,0.669678,,0.669678,frame_00000.png,frame_00119.png,,,,,,43,hocho,min,I,8,,,frame_00000.png,frame_00119.png,,120,0.000000
hocho_I_12,QR未検出,,stat,,std,,4,0.846900,,0.846900,frame_00000.png,frame_00119.png,,,,,,44,hocho,min,I,12,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_I_4,QR未検出,,stat,,std,,4,0.782197,,0.782197,frame_00000.png,frame_00119.png,,,,,,45,ex,min,I,4,,,frame_00000.png,frame_00119.png,,120,0.000000
ex_I_8,QR未検出,,stat,,std,,8,0.908599,,0.908599,frame_00000.png,frame_00119.png,,,,,,46,ex,min,I,8,,,frame_00000.png,frame_00119.png,,120,0.000000
