folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.990617,0.437342,0.531746,0.651535,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.974604,0.555633,0.706456,0.374251,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f225_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.952771,0.660772,0.804375,0.223081,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.110125,0.200894,0.515672,0.302200,,lockin:lockin::None:11.25:4:8:binary:0,lockin,,,11.250000,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.666205,0.466061,0.599885,0.406971,,lockin:lockin::None:11.25:8:8:binary:0,lockin,,,11.250000,8
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4/rgb_max_lockin_f225_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.451078,0.521055,0.648570,0.232903,,lockin:lockin::None:11.25:12:8:binary:0,lockin,,,11.250000,12
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.999352,0.573610,0.728822,0.303252,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.997990,0.710366,0.850858,0.123740,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.995481,0.778627,0.895125,0.071805,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.021506,0.125705,0.588563,0.136669,,lockin:lockin::None:11.25:4:8:binary:0,lockin,,,11.250000,4
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.082148,0.158245,0.505861,0.335925,,lockin:lockin::None:11.25:8:8:binary:0,lockin,,,11.250000,8
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.829881,0.450974,0.569465,0.497172,,lockin:lockin::None:11.25:12:8:binary:0,lockin,,,11.250000,12
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.999962,0.697326,0.841683,0.112701,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
rice_R_12,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k5_i1,,0.999712,0.800801,0.909196,0.051219,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
rice_R_12,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k5_i1,,0.999261,0.841303,0.930982,0.036423,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.015687,0.084448,0.578966,0.169339,,lockin:lockin::None:11.25:4:8:binary:0,lockin,,,11.250000,4
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.940462,0.429408,0.522497,0.599220,,lockin:lockin::None:11.25:8:8:binary:0,lockin,,,11.250000,8
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.870422,0.477727,0.605671,0.426104,,lockin:lockin::None:11.25:12:8:binary:0,lockin,,,11.250000,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.818588,0.496083,0.630559,0.324366,,lockin:lockin::None:22.5:4:8:binary:0,lockin,,,22.500000,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f225_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.749993,0.644721,0.758078,0.143395,,lockin:lockin::None:22.5:8:8:binary:0,lockin,,,22.500000,8
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f225_ps8_th12/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.699512,0.760310,0.809973,0.066559,,lockin:lockin::None:22.5:12:8:binary:0,lockin,,,22.500000,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.121053,0.243574,0.542312,0.334954,,lockin:lockin::None:11.25:4:8:binary:0,lockin,,,11.250000,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4/rgb_max_lockin_f225_ps8_th8/00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.764917,0.420975,0.530532,0.453842,,lockin:lockin::None:11.25:8:8:binary:0,lockin,,,11.250000,8
