folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.536214,0.416622,0.556996,0.381589,,stat,,std,,4
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.269503,0.408076,0.590990,0.182517,,stat,,std,,8
rice_R_4,frame_00000.png,frame_00119.png,rice_R_4\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.157325,0.419717,0.613323,0.108442,,stat,,std,,12
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.800484,0.510647,0.647448,0.378400,,stat,,std,,4
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.453299,0.547469,0.663944,0.171396,,stat,,std,,8
rice_R_8,frame_00000.png,frame_00119.png,rice_R_8\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.268093,0.558867,0.655873,0.101979,,stat,,std,,12
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.989302,0.533569,0.680676,0.392014,,stat,,std,,4
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.857268,0.655444,0.783578,0.185420,,stat,,std,,8
rice_R_12,frame_00000.png,frame_00119.png,rice_R_12\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.770443,0.743290,0.819226,0.112376,,stat,,std,,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.534593,0.434417,0.576403,0.349457,,stat,,std,,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.245901,0.429470,0.605817,0.146791,,stat,,std,,8
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_4\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.166550,0.431596,0.616019,0.096619,,stat,,std,,12
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.861567,0.525669,0.665963,0.372127,,stat,,std,,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.411880,0.533273,0.654020,0.153510,,stat,,std,,8
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_8\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.286385,0.544064,0.652193,0.100440,,stat,,std,,12
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_12\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.998623,0.513180,0.653983,0.393398,,stat,,std,,4
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_12\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.890230,0.663530,0.795316,0.170267,,stat,,std,,8
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_R_12\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.724942,0.710420,0.791903,0.110917,,stat,,std,,12
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.538210,0.383354,0.515815,0.519244,,stat,,std,,4
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.138174,0.287596,0.560834,0.238571,,stat,,std,,8
hocho_R_4,frame_00000.png,frame_00119.png,hocho_R_4\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.062925,0.271759,0.596724,0.137610,,stat,,std,,12
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.869693,0.498133,0.632896,0.505066,,stat,,std,,4
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.363567,0.519962,0.645455,0.233265,,stat,,std,,8
hocho_R_8,frame_00000.png,frame_00119.png,hocho_R_8\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.077552,0.318153,0.602940,0.135274,,stat,,std,,12
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.950282,0.483290,0.611307,0.543983,,stat,,std,,4
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.766399,0.647563,0.762668,0.253883,,stat,,std,,8
hocho_R_12,frame_00000.png,frame_00119.png,hocho_R_12\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.624843,0.756978,0.790006,0.145422,,stat,,std,,12
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.459392,0.436470,0.586498,0.280865,,stat,,std,,4
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.247417,0.417000,0.599352,0.183872,,stat,,std,,8
ex_R_4,frame_00000.png,frame_00119.png,ex_R_4\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.211466,0.410136,0.601476,0.169123,,stat,,std,,12
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.922415,0.594559,0.742286,0.282904,,stat,,std,,4
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.397757,0.524288,0.648715,0.184263,,stat,,std,,8
ex_R_8,frame_00000.png,frame_00119.png,ex_R_8\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.354865,0.528009,0.649005,0.169879,,stat,,std,,12
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.997410,0.600219,0.756755,0.279806,,stat,,std,,4
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.966971,0.720275,0.850988,0.181067,,stat,,std,,8
ex_R_12,frame_00000.png,frame_00119.png,ex_R_12\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.925878,0.741205,0.855059,0.165291,,stat,,std,,12
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.532568,0.423208,0.564783,0.367787,,stat,,std,,4
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.290198,0.436710,0.604595,0.172402,,stat,,std,,8
rice_G_4,frame_00000.png,frame_00119.png,rice_G_4\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.183901,0.460763,0.623850,0.102204,,stat,,std,,12
rice_G_8,frame_00000.png,frame_00119.png,rice_G_8\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.765373,0.502521,0.638075,0.367568,,stat,,std,,4
rice_G_8,frame_00000.png,frame_00119.png,rice_G_8\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.508400,0.564930,0.677898,0.169458,,stat,,std,,8
rice_G_8,frame_00000.png,frame_00119.png,rice_G_8\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.357551,0.614032,0.683710,0.100518,,stat,,std,,12
rice_G_12,frame_00000.png,frame_00119.png,rice_G_12\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.984452,0.531696,0.678083,0.389120,,stat,,std,,4
rice_G_12,frame_00000.png,frame_00119.png,rice_G_12\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.956849,0.662503,0.806478,0.188078,,stat,,std,,8
rice_G_12,frame_00000.png,frame_00119.png,rice_G_12\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.920971,0.759051,0.864549,0.113113,,stat,,std,,12
nagaoka_fireworks_G_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_G_4\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.636006,0.474865,0.610717,0.357164,,stat,,std,,4
nagaoka_fireworks_G_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_G_4\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.226319,0.413844,0.600905,0.148034,,stat,,std,,8
nagaoka_fireworks_G_4,frame_00000.png,frame_00119.png,nagaoka_fireworks_G_4\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.150167,0.410198,0.611293,0.097315,,stat,,std,,12
nagaoka_fireworks_G_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_G_8\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.839931,0.506465,0.643095,0.383938,,stat,,std,,4
nagaoka_fireworks_G_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_G_8\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.517836,0.589828,0.692802,0.156585,,stat,,std,,8
nagaoka_fireworks_G_8,frame_00000.png,frame_00119.png,nagaoka_fireworks_G_8\rgb_max_stat_std_th12\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.219847,0.484578,0.630170,0.100475,,stat,,std,,12
nagaoka_fireworks_G_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_G_12\rgb_max_stat_std_th4\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.991327,0.500022,0.635306,0.420282,,stat,,std,,4
nagaoka_fireworks_G_12,frame_00000.png,frame_00119.png,nagaoka_fireworks_G_12\rgb_max_stat_std_th8\00000-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.931198,0.650952,0.792792,0.187967,,stat,,std,,8
