folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,accum,5,,,12,0.746964,,0.759634,frame_00115.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.935 fps,0,rice,R,R,4,,,frame_00115.png,frame_00119.png,,120,2.002157
rice_R_8,QR未検出,,accum,5,,,16,0.900722,,0.904141,frame_00020.png,frame_00024.png,,,,,,1,rice,R,R,8,,,frame_00105.png,frame_00109.png,,120,2.002157
rice_R_12,,zxing_gray,accum,5,,,32,0.952925,0.952925,0.956165,frame_00040.png,frame_00044.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k5_i1,frame_00000.png,frame_00004.png,,120,2.002157
nagaoka_fireworks_R_4,QR未検出,,accum,5,,,12,0.730741,,0.738652,frame_00010.png,frame_00014.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00115.png,frame_00119.png,,120,2.002157
nagaoka_fireworks_R_8,QR未検出,,accum,5,,,24,0.847090,,0.854601,frame_00025.png,frame_00029.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00110.png,frame_00114.png,,120,2.002157
nagaoka_fireworks_R_12,,zxing_gray,accum,5,,,32,0.913149,0.923263,0.930724,frame_00020.png,frame_00024.png,,,,,,5,nagaoka_fireworks,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k5_i1,frame_00115.png,frame_00119.png,,120,2.002157
hocho_R_4,QR未検出,,accum,5,,,12,0.679254,,0.694051,frame_00055.png,frame_00059.png,,,,,,6,hocho,R,R,4,,,frame_00115.png,frame_00119.png,,120,2.002157
hocho_R_8,QR未検出,,accum,5,,,24,0.815667,,0.820445,frame_00115.png,frame_00119.png,,,,,,7,hocho,R,R,8,,,frame_00115.png,frame_00119.png,,120,2.002157
hocho_R_12,QR未検出,,accum,5,,,32,0.872471,,0.881119,frame_00115.png,frame_00119.png,,,,,,8,hocho,R,R,12,,,frame_00110.png,frame_00114.png,,120,2.002157
ex_R_4,QR未検出,,accum,5,,,16,0.855843,,0.868783,frame_00115.png,frame_00119.png,,,,,,9,ex,R,R,4,,,frame_00115.png,frame_00119.png,,120,2.002157
