folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note
rice_G_4,frame_00000.png,frame_00001.png,rice_G_4\rgb_max_diff_maps_th4\00000-00001-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.435528,0.826561,0.762337,0.043246,
rice_G_4,frame_00001.png,frame_00002.png,rice_G_4\rgb_max_diff_maps_th4\00001-00002-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.078496,0.598652,0.647006,0.032651,
rice_G_4,frame_00002.png,frame_00003.png,rice_G_4\rgb_max_diff_maps_th4\00002-00003-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.102319,0.605890,0.650591,0.037071,
rice_G_4,frame_00003.png,frame_00004.png,rice_G_4\rgb_max_diff_maps_th4\00003-00004-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.411666,0.844450,0.759327,0.036745,
rice_G_4,frame_00004.png,frame_00005.png,rice_G_4\rgb_max_diff_maps_th4\00004-00005-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.490968,0.851488,0.784512,0.039393,
rice_G_4,frame_00006.png,frame_00007.png,rice_G_4\rgb_max_diff_maps_th4\00006-00007-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.070365,0.488896,0.636473,0.042216,
rice_G_4,frame_00005.png,frame_00006.png,rice_G_4\rgb_max_diff_maps_th4\00005-00006-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.125945,0.694721,0.663215,0.032889,
rice_G_4,frame_00007.png,frame_00008.png,rice_G_4\rgb_max_diff_maps_th4\00007-00008-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.355739,0.740016,0.721251,0.055599,
rice_G_4,frame_00008.png,frame_00009.png,rice_G_4\rgb_max_diff_maps_th4\00008-00009-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.532705,0.831546,0.791562,0.045464,
rice_G_4,frame_00010.png,frame_00011.png,rice_G_4\rgb_max_diff_maps_th4\00010-00011-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.041925,0.492150,0.637146,0.029608,
rice_G_4,frame_00009.png,frame_00010.png,rice_G_4\rgb_max_diff_maps_th4\00009-00010-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.252893,0.777161,0.702995,0.038269,
rice_G_4,frame_00011.png,frame_00012.png,rice_G_4\rgb_max_diff_maps_th4\00011-00012-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.256283,0.803701,0.707817,0.034942,
rice_G_4,frame_00012.png,frame_00013.png,rice_G_4\rgb_max_diff_maps_th4\00012-00013-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.504169,0.851807,0.788542,0.037727,
rice_G_4,frame_00014.png,frame_00015.png,rice_G_4\rgb_max_diff_maps_th4\00014-00015-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.049767,0.495386,0.637295,0.031830,
rice_G_4,frame_00013.png,frame_00014.png,rice_G_4\rgb_max_diff_maps_th4\00013-00014-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.323050,0.812765,0.727727,0.039257,
rice_G_4,frame_00015.png,frame_00016.png,rice_G_4\rgb_max_diff_maps_th4\00015-00016-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.149227,0.733900,0.672099,0.033393,
rice_G_4,frame_00016.png,frame_00017.png,rice_G_4\rgb_max_diff_maps_th4\00016-00017-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.465358,0.851856,0.776936,0.036211,
rice_G_4,frame_00017.png,frame_00018.png,rice_G_4\rgb_max_diff_maps_th4\00017-00018-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.424037,0.849300,0.764024,0.037033,
rice_G_4,frame_00018.png,frame_00019.png,rice_G_4\rgb_max_diff_maps_th4\00018-00019-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.066367,0.573401,0.643788,0.032989,
rice_G_4,frame_00019.png,frame_00020.png,rice_G_4\rgb_max_diff_maps_th4\00019-00020-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.100441,0.660109,0.655287,0.031591,
rice_G_4,frame_00096.png,frame_00097.png,rice_G_4\rgb_max_diff_maps_th4\00096-00097-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.277485,0.757686,0.706026,0.044446,
rice_G_4,frame_00097.png,frame_00098.png,rice_G_4\rgb_max_diff_maps_th4\00097-00098-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.530021,0.852067,0.796349,0.041309,
rice_G_4,frame_00098.png,frame_00099.png,rice_G_4\rgb_max_diff_maps_th4\00098-00099-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.348525,0.819254,0.736062,0.039110,
