folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00116.png,rice_R_4\rgb_max_stat_var_th1\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.087930,0.391955,0.620064,0.073620,,stat,,var,,1
rice_R_4,frame_00000.png,frame_00116.png,rice_R_4\rgb_max_stat_var_th2\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.053755,0.474492,0.635537,0.041136,,stat,,var,,2
rice_R_4,frame_00000.png,frame_00116.png,rice_R_4\rgb_max_stat_var_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.030660,0.546378,0.639517,0.019387,,stat,,var,,4
rice_R_8,frame_00000.png,frame_00116.png,rice_R_8\rgb_max_stat_var_th1\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.147190,0.485422,0.634427,0.081349,,stat,,var,,1
rice_R_8,frame_00000.png,frame_00116.png,rice_R_8\rgb_max_stat_var_th2\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.087766,0.553755,0.643805,0.044871,,stat,,var,,2
rice_R_8,frame_00000.png,frame_00116.png,rice_R_8\rgb_max_stat_var_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.053822,0.625814,0.645473,0.021536,,stat,,var,,4
rice_R_12,frame_00000.png,frame_00116.png,rice_R_12\rgb_max_stat_var_th1\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.454688,0.750261,0.747550,0.075481,,stat,,var,,1
rice_R_12,frame_00000.png,frame_00116.png,rice_R_12\rgb_max_stat_var_th2\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.271188,0.784307,0.708876,0.043306,,stat,,var,,2
rice_R_12,frame_00000.png,frame_00116.png,rice_R_12\rgb_max_stat_var_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.166972,0.817827,0.684659,0.022135,,stat,,var,,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_4\rgb_max_stat_var_th1\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.129556,0.436847,0.624057,0.075278,,stat,,var,,1
nagaoka_fireworks_R_4,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_4\rgb_max_stat_var_th2\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.088408,0.459461,0.631978,0.041753,,stat,,var,,2
nagaoka_fireworks_R_4,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_4\rgb_max_stat_var_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.059539,0.460352,0.633915,0.025624,,stat,,var,,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_8\rgb_max_stat_var_th1\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.180216,0.498664,0.637281,0.077276,,stat,,var,,1
nagaoka_fireworks_R_8,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_8\rgb_max_stat_var_th2\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.129600,0.534383,0.643674,0.043612,,stat,,var,,2
nagaoka_fireworks_R_8,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_8\rgb_max_stat_var_th4\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.090538,0.546629,0.643228,0.026223,,stat,,var,,4
nagaoka_fireworks_R_12,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_12\rgb_max_stat_var_th1\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.371253,0.644690,0.698017,0.081328,,stat,,var,,1
nagaoka_fireworks_R_12,frame_00000.png,frame_00116.png,nagaoka_fireworks_R_12\rgb_max_stat_var_th2\00000-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.268847,0.675179,0.688184,0.046539,,stat,,var,,2
