folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,pair,,,,12,0.638323,,0.647072,frame_00009.png,frame_00010.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,58.592 fps,0,rice,R,R,4,,,frame_00115.png,frame_00116.png,,117,1.996868
rice_R_8,QR未検出,,pair,,,,12,0.690745,,0.797175,frame_00016.png,frame_00017.png,,,,,,1,rice,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.996868
rice_R_12,,gray,pair,,,,12,0.859811,0.961404,0.964429,frame_00004.png,frame_00005.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00000.png,frame_00001.png,,117,1.996868
nagaoka_fireworks_R_4,QR未検出,,pair,,,,12,0.638569,,0.642124,frame_00109.png,frame_00110.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00115.png,frame_00116.png,,117,1.996868
nagaoka_fireworks_R_8,QR未検出,,pair,,,,12,0.697714,,0.786743,frame_00114.png,frame_00115.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.996868
nagaoka_fireworks_R_12,QR未検出,,pair,,,,12,0.809441,,0.886383,frame_00007.png,frame_00008.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00115.png,frame_00116.png,,117,1.996868
hocho_R_4,QR未検出,,pair,,,,12,0.638567,,0.641347,frame_00007.png,frame_00008.png,,,,,,6,hocho,R,R,4,,,frame_00115.png,frame_00116.png,,117,1.996868
hocho_R_8,QR未検出,,pair,,,,12,0.680498,,0.748033,frame_00006.png,frame_00007.png,,,,,,7,hocho,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.996868
hocho_R_12,QR未検出,,pair,,,,12,0.785788,,0.855138,frame_00016.png,frame_00017.png,,,,,,8,hocho,R,R,12,,,frame_00115.png,frame_00116.png,,117,1.996868
ex_R_4,QR未検出,,pair,,,,12,0.646397,,0.675049,frame_00014.png,frame_00015.png,,,,,,9,ex,R,R,4,,,frame_00114.png,frame_00115.png,,117,1.996868
ex_R_8,QR未検出,,pair,,,,12,0.763730,,0.887375,frame_00103.png,frame_00104.png,,,,,,10,ex,R,R,8,,,frame_00115.png,frame_00116.png,,117,1.996868
ex_R_12,QR未検出,,pair,,,,12,0.870069,,0.932317,frame_00002.png,frame_00003.png,,,,,,11,ex,R,R,12,,,frame_00115.png,frame_00116.png,,117,1.996868
rice_G_4,QR未検出,,pair,,,,12,0.637722,,0.638660,frame_00004.png,frame_00005.png,,,,,,12,rice,G,G,4,,,frame_00113.png,frame_00114.png,,117,1.996868
rice_G_8,QR未検出,,pair,,,,12,0.682802,,0.778388,frame_00102.png,frame_00103.png,,,,,,13,rice,G,G,8,,,frame_00115.png,frame_00116.png,,117,1.996868
rice_G_12,,gray,pair,,,,12,0.863714,0.965537,0.966870,frame_00107.png,frame_00108.png,,,,,,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00005.png,frame_00006.png,,117,1.996868
nagaoka_fireworks_G_4,QR未検出,,pair,,,,12,0.638751,,0.642670,frame_00004.png,frame_00005.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00115.png,frame_00116.png,,117,1.996868
nagaoka_fireworks_G_8,QR未検出,,pair,,,,12,0.696831,,0.793527,frame_00003.png,frame_00004.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00115.png,frame_00116.png,,117,1.996868
nagaoka_fireworks_G_12,QR未検出,,pair,,,,12,0.810476,,0.894798,frame_00115.png,frame_00116.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00115.png,frame_00116.png,,117,1.996868
hocho_G_4,QR未検出,,pair,,,,12,0.640152,,0.648421,frame_00100.png,frame_00101.png,,,,,,18,hocho,G,G,4,,,frame_00115.png,frame_00116.png,,117,1.996868
hocho_G_8,QR未検出,,pair,,,,12,0.669085,,0.701357,frame_00101.png,frame_00102.png,,,,,,19,hocho,G,G,8,,,frame_00115.png,frame_00116.png,,117,1.996868
hocho_G_12,QR未検出,,pair,,,,12,0.740941,,0.820284,frame_00018.png,frame_00019.png,,,,,,20,hocho,G,G,12,,,frame_00115.png,frame_00116.png,,117,1.996868
ex_G_4,QR未検出,,pair,,,,12,0.637384,,0.639157,frame_00014.png,frame_00015.png,,,,,,21,ex,G,G,4,,,frame_00115.png,frame_00116.png,,117,1.996868
ex_G_8,QR未検出,,pair,,,,12,0.714636,,0.829932,frame_00014.png,frame_00015.png,,,,,,22,ex,G,G,8,,,frame_00115.png,frame_00116.png,,117,1.996868
ex_G_12,QR未検出,,pair,,,,12,0.866905,,0.949055,frame_00015.png,frame_00016.png,,,,,,23,ex,G,G,12,,,frame_00112.png,frame_00113.png,,117,1.996868
