folder,cond,frame_1,frame_2,success,accuracy,recall,precision,diff_threshold
rice_R_4,0,frame_00000.png,frame_00001.png,0,0.770389,0.441601,0.857167,4
rice_R_4,0,frame_00001.png,frame_00002.png,0,0.673595,0.159548,0.733565,4
rice_R_4,0,frame_00002.png,frame_00003.png,0,0.632874,0.025630,0.415100,4
rice_R_4,0,frame_00003.png,frame_00004.png,0,0.693169,0.210018,0.793833,4
rice_R_4,0,frame_00004.png,frame_00005.png,0,0.765642,0.415249,0.873201,4
rice_R_4,0,frame_00005.png,frame_00006.png,0,0.677835,0.226714,0.666492,4
rice_R_4,0,frame_00006.png,frame_00007.png,0,0.635580,0.023501,0.469682,4
rice_R_4,0,frame_00007.png,frame_00008.png,0,0.672633,0.149647,0.746953,4
rice_R_4,0,frame_00008.png,frame_00009.png,0,0.745367,0.384307,0.818598,4
rice_R_4,0,frame_00009.png,frame_00010.png,0,0.720077,0.312600,0.790066,4
rice_R_4,0,frame_00010.png,frame_00011.png,0,0.631068,0.033533,0.406361,4
rice_R_4,0,frame_00011.png,frame_00012.png,0,0.652186,0.091510,0.652026,4
rice_R_4,0,frame_00012.png,frame_00013.png,0,0.754806,0.407438,0.831930,4
rice_R_4,0,frame_00013.png,frame_00014.png,0,0.731725,0.381081,0.761300,4
rice_R_4,0,frame_00014.png,frame_00015.png,0,0.647342,0.069656,0.633386,4
rice_R_4,0,frame_00015.png,frame_00016.png,0,0.646874,0.070961,0.623176,4
rice_R_4,0,frame_00016.png,frame_00017.png,0,0.700803,0.264533,0.750277,4
rice_R_4,0,frame_00017.png,frame_00018.png,0,0.762864,0.417743,0.855708,4
rice_R_4,0,frame_00018.png,frame_00019.png,0,0.668479,0.128375,0.758573,4
rice_R_4,0,frame_00019.png,frame_00020.png,0,0.636418,0.040015,0.495498,4
rice_R_4,0,frame_00096.png,frame_00097.png,0,0.651194,0.089324,0.643983,4
rice_R_4,0,frame_00097.png,frame_00098.png,0,0.742546,0.364981,0.832186,4
rice_R_4,0,frame_00098.png,frame_00099.png,0,0.761674,0.419607,0.847372,4
rice_R_4,0,frame_00099.png,frame_00100.png,0,0.651408,0.088101,0.649368,4
rice_R_4,0,frame_00100.png,frame_00101.png,0,0.642208,0.061002,0.571203,4
rice_R_4,0,frame_00101.png,frame_00102.png,0,0.714685,0.277319,0.815779,4
rice_R_4,0,frame_00102.png,frame_00103.png,0,0.770347,0.446094,0.850856,4
rice_R_4,0,frame_00103.png,frame_00104.png,0,0.672026,0.160776,0.716878,4
rice_R_4,0,frame_00104.png,frame_00105.png,0,0.632992,0.039966,0.443631,4
rice_R_4,0,frame_00105.png,frame_00106.png,0,0.695508,0.216712,0.798170,4
rice_R_4,0,frame_00106.png,frame_00107.png,0,0.772980,0.455870,0.849564,4
rice_R_4,0,frame_00107.png,frame_00108.png,0,0.696857,0.225698,0.789788,4
rice_R_4,0,frame_00108.png,frame_00109.png,0,0.631507,0.038907,0.422630,4
rice_R_4,0,frame_00109.png,frame_00110.png,0,0.665095,0.135233,0.703379,4
rice_R_4,0,frame_00110.png,frame_00111.png,0,0.769668,0.439545,0.856715,4
rice_R_4,0,frame_00111.png,frame_00112.png,0,0.727230,0.325670,0.809890,4
rice_R_4,0,frame_00112.png,frame_00113.png,0,0.638999,0.048264,0.535363,4
rice_R_4,0,frame_00113.png,frame_00114.png,0,0.651908,0.085370,0.662642,4
rice_R_4,0,frame_00114.png,frame_00115.png,0,0.666688,0.598240,0.537071,4
rice_R_4,0,frame_00115.png,frame_00116.png,0,0.786841,0.526287,0.823255,4
rice_R_8,1,frame_00000.png,frame_00001.png,1,0.907770,0.928008,0.836139,4
rice_R_8,1,frame_00001.png,frame_00002.png,0,0.671440,0.613940,0.542247,4
rice_R_8,1,frame_00002.png,frame_00003.png,0,0.667232,0.160656,0.677223,4
rice_R_8,1,frame_00003.png,frame_00004.png,0,0.906638,0.905668,0.847759,4
rice_R_8,1,frame_00004.png,frame_00005.png,0,0.903616,0.954977,0.812578,4
rice_R_8,1,frame_00005.png,frame_00006.png,0,0.837419,0.688619,0.834964,4
rice_R_8,1,frame_00006.png,frame_00007.png,0,0.657360,0.108515,0.677725,4
rice_R_8,1,frame_00007.png,frame_00008.png,0,0.870234,0.774706,0.854535,4
rice_R_8,1,frame_00008.png,frame_00009.png,1,0.906223,0.946434,0.822285,4
rice_R_8,1,frame_00009.png,frame_00010.png,0,0.886264,0.852414,0.837444,4
