folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,fourier,,,11.250000,12,0.635598,,0.635598,frame_00000.png,frame_00116.png,r45_e60_f1.mp4,45 Hz,1/60,蛍光灯あり,58.752 fps,0,rice,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.991420
rice_R_8,QR未検出,,fourier,,,11.250000,12,0.636362,,0.636362,frame_00000.png,frame_00116.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.991420
rice_R_12,QR未検出,,fourier,,,11.250000,12,0.637302,,0.637302,frame_00000.png,frame_00116.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_R_4,QR未検出,,fourier,,,11.250000,12,0.630079,,0.630079,frame_00000.png,frame_00116.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_R_8,QR未検出,,fourier,,,11.250000,12,0.633075,,0.633075,frame_00000.png,frame_00116.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_R_12,QR未検出,,fourier,,,11.250000,12,0.635360,,0.635360,frame_00000.png,frame_00116.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.991420
hocho_R_4,QR未検出,,fourier,,,11.250000,12,0.636207,,0.636207,frame_00000.png,frame_00116.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.991420
hocho_R_8,QR未検出,,fourier,,,11.250000,12,0.636823,,0.636823,frame_00000.png,frame_00116.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.991420
hocho_R_12,QR未検出,,fourier,,,11.250000,12,0.639463,,0.639463,frame_00000.png,frame_00116.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.991420
ex_R_4,QR未検出,,fourier,,,11.250000,12,0.633528,,0.633528,frame_00000.png,frame_00116.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00116.png,,117,1.991420
ex_R_8,QR未検出,,fourier,,,11.250000,12,0.636399,,0.636399,frame_00000.png,frame_00116.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00116.png,,117,1.991420
ex_R_12,QR未検出,,fourier,,,11.250000,12,0.637078,,0.637078,frame_00000.png,frame_00116.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00116.png,,117,1.991420
rice_G_4,QR未検出,,fourier,,,11.250000,12,0.636245,,0.636245,frame_00000.png,frame_00116.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.991420
rice_G_8,QR未検出,,fourier,,,11.250000,12,0.636539,,0.636539,frame_00000.png,frame_00116.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.991420
rice_G_12,QR未検出,,fourier,,,11.250000,12,0.636716,,0.636716,frame_00000.png,frame_00116.png,,,,,,14,rice,G,G,12,,,frame_00000.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_G_4,QR未検出,,fourier,,,11.250000,12,0.628627,,0.628627,frame_00000.png,frame_00116.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_G_8,QR未検出,,fourier,,,11.250000,12,0.633160,,0.633160,frame_00000.png,frame_00116.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_G_12,QR未検出,,fourier,,,11.250000,12,0.638541,,0.638541,frame_00000.png,frame_00116.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00116.png,,117,1.991420
hocho_G_4,QR未検出,,fourier,,,11.250000,12,0.635745,,0.635745,frame_00000.png,frame_00116.png,,,,,,18,hocho,G,G,4,,,frame_00000.png,frame_00116.png,,117,1.991420
hocho_G_8,QR未検出,,fourier,,,11.250000,12,0.636429,,0.636429,frame_00000.png,frame_00116.png,,,,,,19,hocho,G,G,8,,,frame_00000.png,frame_00116.png,,117,1.991420
hocho_G_12,QR未検出,,fourier,,,11.250000,12,0.636789,,0.636789,frame_00000.png,frame_00116.png,,,,,,20,hocho,G,G,12,,,frame_00000.png,frame_00116.png,,117,1.991420
