folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.557219,0.152398,0.543002,0.756405,,fourier:fourier::None:29.959324474413428:4:0,fourier,,,29.959324,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.341958,0.104296,0.536176,0.169790,,fourier:fourier::None:29.959324474413428:8:0,fourier,,,29.959324,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.294835,0.101487,0.572218,0.147605,,fourier:fourier::None:29.959324474413428:12:0,fourier,,,29.959324,12
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.066406,0.183925,0.841525,0.120968,,fourier:fourier::None:14.979662237206714:4:0,fourier,,,14.979662,4
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.205850,0.182463,0.778530,0.309160,,fourier:fourier::None:14.979662237206714:8:0,fourier,,,14.979662,8
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.358637,0.173591,0.696955,0.462479,,fourier:fourier::None:14.979662237206714:12:0,fourier,,,14.979662,12
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.206284,0.135601,0.727924,0.404216,,fourier:fourier::None:29.959324474413428:4:0,fourier,,,29.959324,4
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.551917,0.151686,0.543929,0.716864,,fourier:fourier::None:29.959324474413428:8:0,fourier,,,29.959324,8
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.322797,0.103198,0.550688,0.167072,,fourier:fourier::None:29.959324474413428:12:0,fourier,,,29.959324,12
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.002075,0.210454,0.870237,0.028908,,fourier:fourier::None:14.979662237206714:4:0,fourier,,,14.979662,4
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.010523,0.233665,0.867879,0.086134,,fourier:fourier::None:14.979662237206714:8:0,fourier,,,14.979662,8
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.026321,0.242262,0.863748,0.136772,,fourier:fourier::None:14.979662237206714:12:0,fourier,,,14.979662,12
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.487694,0.159119,0.601364,0.700376,,fourier:fourier::None:29.959324474413428:4:0,fourier,,,29.959324,4
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.594823,0.155011,0.529358,0.794536,,fourier:fourier::None:29.959324474413428:8:0,fourier,,,29.959324,8
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.372754,0.103126,0.500793,0.183506,,fourier:fourier::None:29.959324474413428:12:0,fourier,,,29.959324,12
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.049157,0.124660,0.832780,0.137748,,fourier:fourier::None:14.979662237206714:4:0,fourier,,,14.979662,4
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.147350,0.131771,0.764718,0.296968,,fourier:fourier::None:14.979662237206714:8:0,fourier,,,14.979662,8
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.265368,0.133029,0.682071,0.433677,,fourier:fourier::None:14.979662237206714:12:0,fourier,,,14.979662,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.564474,0.158671,0.557625,0.782590,,fourier:fourier::None:29.959324474413428:4:0,fourier,,,29.959324,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.611244,0.152746,0.512384,0.811080,,fourier:fourier::None:29.959324474413428:8:0,fourier,,,29.959324,8
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k5_i1,,0.369255,0.104357,0.509718,0.178085,,fourier:fourier::None:29.959324474413428:12:0,fourier,,,29.959324,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.057090,0.135187,0.831218,0.158941,,fourier:fourier::None:14.979662237206714:4:0,fourier,,,14.979662,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.170457,0.140626,0.758565,0.332464,,fourier:fourier::None:14.979662237206714:8:0,fourier,,,14.979662,8
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.303107,0.140184,0.670210,0.479588,,fourier:fourier::None:14.979662237206714:12:0,fourier,,,14.979662,12
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.463949,0.160371,0.617427,0.611982,,fourier:fourier::None:29.959324474413428:4:0,fourier,,,29.959324,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k5_i1,,0.382328,0.105643,0.502680,0.186070,,fourier:fourier::None:29.959324474413428:8:0,fourier,,,29.959324,8
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k5_i1,,0.360292,0.106708,0.528303,0.169491,,fourier:fourier::None:29.959324474413428:12:0,fourier,,,29.959324,12
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.004312,0.153697,0.868467,0.045161,,fourier:fourier::None:14.979662237206714:4:0,fourier,,,14.979662,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.014944,0.144033,0.861444,0.116354,,fourier:fourier::None:14.979662237206714:8:0,fourier,,,14.979662,8
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.031705,0.144562,0.850858,0.165611,,fourier:fourier::None:14.979662237206714:12:0,fourier,,,14.979662,12
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.486514,0.169620,0.626440,0.622681,,fourier:fourier::None:29.959324474413428:4:0,fourier,,,29.959324,4
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.612112,0.158739,0.531394,0.756715,,fourier:fourier::None:29.959324474413428:8:0,fourier,,,29.959324,8
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.329604,0.096742,0.516433,0.193438,,fourier:fourier::None:29.959324474413428:12:0,fourier,,,29.959324,12
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.254790,0.204522,0.775984,0.285620,,fourier:fourier::None:14.979662237206714:4:0,fourier,,,14.979662,4
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.497634,0.161104,0.600842,0.547850,,fourier:fourier::None:14.979662237206714:8:0,fourier,,,14.979662,8
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.343517,0.108522,0.551199,0.287652,,fourier:fourier::None:14.979662237206714:12:0,fourier,,,14.979662,12
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.523128,0.152658,0.563823,0.753618,,fourier:fourier::None:29.959324474413428:4:0,fourier,,,29.959324,4
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.384945,0.106109,0.502224,0.187578,,fourier:fourier::None:29.959324474413428:8:0,fourier,,,29.959324,8
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.343883,0.104192,0.533865,0.167321,,fourier:fourier::None:29.959324474413428:12:0,fourier,,,29.959324,12
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.185658,0.190651,0.793236,0.279731,,fourier:fourier::None:14.979662237206714:4:0,fourier,,,14.979662,4
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.374571,0.155814,0.657460,0.518023,,fourier:fourier::None:14.979662237206714:8:0,fourier,,,14.979662,8
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.515547,0.141976,0.535490,0.666572,,fourier:fourier::None:14.979662237206714:12:0,fourier,,,14.979662,12
hocho_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.558277,0.151381,0.539203,0.747292,,fourier:fourier::None:29.959324474413428:4:0,fourier,,,29.959324,4
hocho_R_8,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k5_i1,,0.356169,0.107276,0.534504,0.171388,,fourier:fourier::None:29.959324474413428:8:0,fourier,,,29.959324,8
hocho_R_8,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,zxing_gray_x1.0_k5_i1,,0.330920,0.105885,0.553127,0.157347,,fourier:fourier::None:29.959324474413428:12:0,fourier,,,29.959324,12
hocho_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.051910,0.152613,0.840482,0.157598,,fourier:fourier::None:14.979662237206714:4:0,fourier,,,14.979662,4
hocho_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.189496,0.154646,0.761772,0.344798,,fourier:fourier::None:14.979662237206714:8:0,fourier,,,14.979662,8
hocho_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.358556,0.162200,0.678277,0.471184,,fourier:fourier::None:14.979662237206714:12:0,fourier,,,14.979662,12
hocho_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.608831,0.166360,0.555886,0.720245,,fourier:fourier::None:29.959324474413428:4:0,fourier,,,29.959324,4
hocho_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.259374,0.087439,0.555171,0.173063,,fourier:fourier::None:29.959324474413428:8:0,fourier,,,29.959324,8
