folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.031520,0.265619,0.616595,0.037719,,lockin:lockin::None:9.872563944231644:2:4:binary:0,lockin,,,9.872564,2
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.031520,0.265619,0.616595,0.037719,,lockin:lockin::None:9.872563944231644:2:8:binary:0,lockin,,,9.872564,2
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.031520,0.265619,0.616595,0.037719,,lockin:lockin::None:9.872563944231644:2:16:binary:0,lockin,,,9.872564,2
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.145696,0.327667,0.581136,0.112412,,lockin:lockin::None:9.872563944231644:4:4:binary:0,lockin,,,9.872564,4
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.145696,0.327667,0.581136,0.112412,,lockin:lockin::None:9.872563944231644:4:8:binary:0,lockin,,,9.872564,4
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.145696,0.327667,0.581136,0.112412,,lockin:lockin::None:9.872563944231644:4:16:binary:0,lockin,,,9.872564,4
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.376013,0.347004,0.516370,0.244247,,lockin:lockin::None:9.872563944231644:6:4:binary:0,lockin,,,9.872564,6
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.376013,0.347004,0.516370,0.244247,,lockin:lockin::None:9.872563944231644:6:8:binary:0,lockin,,,9.872564,6
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.376013,0.347004,0.516370,0.244247,,lockin:lockin::None:9.872563944231644:6:16:binary:0,lockin,,,9.872564,6
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.441929,0.376135,0.531083,0.632629,,lockin:lockin::None:9.872563944231644:8:4:binary:0,lockin,,,9.872564,8
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.441929,0.376135,0.531083,0.632629,,lockin:lockin::None:9.872563944231644:8:8:binary:0,lockin,,,9.872564,8
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.441929,0.376135,0.531083,0.632629,,lockin:lockin::None:9.872563944231644:8:16:binary:0,lockin,,,9.872564,8
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.324704,0.379041,0.561529,0.528037,,lockin:lockin::None:9.872563944231644:10:4:binary:0,lockin,,,9.872564,10
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.324704,0.379041,0.561529,0.528037,,lockin:lockin::None:9.872563944231644:10:8:binary:0,lockin,,,9.872564,10
