folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.326958,0.429016,0.599037,0.262394,,lockin_num:lockin::None:8.660383607890388:0:4:gray:0,lockin,,,8.660384,0
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.326958,0.429016,0.599037,0.262394,,lockin_num:lockin::None:8.660383607890388:0:8:gray:0,lockin,,,8.660384,0
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.326958,0.429016,0.599037,0.262394,,lockin_num:lockin::None:8.660383607890388:0:16:gray:0,lockin,,,8.660384,0
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.232534,0.437894,0.614318,0.190669,,lockin_num:lockin::None:13.660383607890388:0:4:gray:0,lockin,,,13.660384,0
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.232534,0.437894,0.614318,0.190669,,lockin_num:lockin::None:13.660383607890388:0:8:gray:0,lockin,,,13.660384,0
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.232534,0.437894,0.614318,0.190669,,lockin_num:lockin::None:13.660383607890388:0:16:gray:0,lockin,,,13.660384,0
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.218699,0.429601,0.612250,0.190795,,lockin_num:lockin::None:17.679232784219224:0:4:gray:0,lockin,,,17.679233,0
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.218699,0.429601,0.612250,0.190795,,lockin_num:lockin::None:17.679232784219224:0:8:gray:0,lockin,,,17.679233,0
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.218699,0.429601,0.612250,0.190795,,lockin_num:lockin::None:17.679232784219224:0:16:gray:0,lockin,,,17.679233,0
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.361578,0.529968,0.652979,0.200160,,lockin_num:lockin::None:27.320767215780776:0:4:gray:0,lockin,,,27.320767,0
rice_R_4,frame_00000.png,frame_00117.png,rice_R_4/rgb_max_lockin_f273_ps8_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.361578,0.529968,0.652979,0.200160,,lockin_num:lockin::None:27.320767215780776:0:8:gray:0,lockin,,,27.320767,0
