folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00001.png,,,,0,decode失敗,QR未検出,0.097703,0.461226,0.632240,0.079825,,pair:pair::None:None:2:None:binary:0,pair,,,,2
rice_R_4,frame_00007.png,frame_00008.png,,,,0,decode失敗,QR未検出,0.115634,0.474831,0.633748,0.095407,,pair:pair::None:None:2:None:binary:7,pair,,,,2
rice_R_4,frame_00001.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.116891,0.464052,0.631631,0.090102,,pair:pair::None:None:2:None:binary:1,pair,,,,2
rice_R_4,frame_00012.png,frame_00013.png,,,,0,decode失敗,QR未検出,0.111252,0.482286,0.635227,0.084647,,pair:pair::None:None:2:None:binary:12,pair,,,,2
rice_R_4,frame_00009.png,frame_00010.png,,,,0,decode失敗,QR未検出,0.100928,0.423716,0.625035,0.098604,,pair:pair::None:None:2:None:binary:9,pair,,,,2
rice_R_4,frame_00004.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.134643,0.441308,0.625226,0.110123,,pair:pair::None:None:2:None:binary:4,pair,,,,2
rice_R_4,frame_00011.png,frame_00012.png,,,,0,decode失敗,QR未検出,0.110517,0.473217,0.633657,0.081759,,pair:pair::None:None:2:None:binary:11,pair,,,,2
rice_R_4,frame_00015.png,frame_00016.png,,,,0,decode失敗,QR未検出,0.104241,0.420744,0.623975,0.098023,,pair:pair::None:None:2:None:binary:15,pair,,,,2
rice_R_4,frame_00013.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.094472,0.448980,0.630415,0.081657,,pair:pair::None:None:2:None:binary:13,pair,,,,2
rice_R_4,frame_00006.png,frame_00007.png,,,,0,decode失敗,QR未検出,0.117994,0.427898,0.623796,0.110431,,pair:pair::None:None:2:None:binary:6,pair,,,,2
rice_R_4,frame_00008.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.107302,0.449671,0.629493,0.093003,,pair:pair::None:None:2:None:binary:8,pair,,,,2
