folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,accum,6,,,16,0.812546,,0.825726,frame_00042.png,frame_00047.png,r45_e250_f0.mp4,45 Hz,1/250,蛍光灯なし,59.988 fps,0,rice,R,R,4,,,frame_00114.png,frame_00119.png,,120,2.000411
rice_R_8,,opencv_gray,accum,5,,,20,0.928007,0.926264,0.932870,frame_00080.png,frame_00084.png,,,,,,1,rice,R,R,8,https://www.nagaoka-ct.ac.jp,opencv_gray_x1.0_k3_i1,frame_00010.png,frame_00014.png,,120,2.000411
rice_R_12,,zxing_gray,accum,5,,,40,0.964018,0.964018,0.967337,frame_00085.png,frame_00089.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00004.png,,120,2.000411
nagaoka_fireworks_R_4,QR未検出,,accum,5,,,16,0.746878,,0.752927,frame_00065.png,frame_00069.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00115.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_R_8,QR未検出,,accum,6,,,32,0.838611,,0.845364,frame_00072.png,frame_00077.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00096.png,frame_00101.png,,120,2.000411
nagaoka_fireworks_R_12,QR未検出,,accum,6,,,40,0.902178,,0.913449,frame_00096.png,frame_00101.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00114.png,frame_00119.png,,120,2.000411
hocho_R_4,QR未検出,,accum,6,,,12,0.729934,,0.761672,frame_00012.png,frame_00017.png,,,,,,6,hocho,R,R,4,,,frame_00096.png,frame_00101.png,,120,2.000411
hocho_R_8,QR未検出,,accum,6,,,20,0.843075,,0.854445,frame_00084.png,frame_00089.png,,,,,,7,hocho,R,R,8,,,frame_00108.png,frame_00113.png,,120,2.000411
hocho_R_12,,zxing_gray,accum,6,,,32,0.885661,0.873772,0.894586,frame_00072.png,frame_00077.png,,,,,,8,hocho,R,R,12,622514,zxing_gray_x1.0_k3_i1,frame_00108.png,frame_00113.png,,120,2.000411
ex_R_4,QR未検出,,accum,6,,,24,0.849999,,0.860109,frame_00102.png,frame_00107.png,,,,,,9,ex,R,R,4,,,frame_00114.png,frame_00119.png,,120,2.000411
ex_R_8,QR未検出,,accum,6,,,40,0.917397,,0.919274,frame_00000.png,frame_00005.png,,,,,,10,ex,R,R,8,,,frame_00114.png,frame_00119.png,,120,2.000411
ex_R_12,QR未検出,,accum,4,,,40,0.939630,,0.944850,frame_00048.png,frame_00051.png,,,,,,11,ex,R,R,12,,,frame_00116.png,frame_00119.png,,120,2.000411
rice_G_4,QR未検出,,accum,6,,,16,0.805102,,0.824870,frame_00102.png,frame_00107.png,,,,,,12,rice,G,G,4,,,frame_00108.png,frame_00113.png,,120,2.000411
rice_G_8,QR未検出,,accum,5,,,20,0.921505,,0.928983,frame_00025.png,frame_00029.png,,,,,,13,rice,G,G,8,,,frame_00110.png,frame_00114.png,,120,2.000411
rice_G_12,,zxing_gray,accum,5,,,40,0.966463,0.966463,0.969027,frame_00025.png,frame_00029.png,,,,,,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00004.png,,120,2.000411
nagaoka_fireworks_G_4,QR未検出,,accum,6,,,20,0.745324,,0.760199,frame_00030.png,frame_00035.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00096.png,frame_00101.png,,120,2.000411
nagaoka_fireworks_G_8,QR未検出,,accum,5,,,24,0.830099,,0.833893,frame_00010.png,frame_00014.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00080.png,frame_00084.png,,120,2.000411
nagaoka_fireworks_G_12,QR未検出,,accum,5,,,40,0.904553,,0.913878,frame_00060.png,frame_00064.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00110.png,frame_00114.png,,120,2.000411
hocho_G_4,QR未検出,,accum,4,,,16,0.683115,,0.687790,frame_00020.png,frame_00023.png,,,,,,18,hocho,G,G,4,,,frame_00112.png,frame_00115.png,,120,2.000411
hocho_G_8,QR未検出,,accum,6,,,16,0.752821,,0.766737,frame_00102.png,frame_00107.png,,,,,,19,hocho,G,G,8,,,frame_00078.png,frame_00083.png,,120,2.000411
hocho_G_12,QR未検出,,accum,5,,,24,0.893285,,0.915610,frame_00095.png,frame_00099.png,,,,,,20,hocho,G,G,12,,,frame_00090.png,frame_00094.png,,120,2.000411
ex_G_4,QR未検出,,accum,4,,,12,0.813974,,0.836091,frame_00092.png,frame_00095.png,,,,,,21,ex,G,G,4,,,frame_00116.png,frame_00119.png,,120,2.000411
ex_G_8,QR未検出,,accum,6,,,32,0.920228,,0.924537,frame_00096.png,frame_00101.png,,,,,,22,ex,G,G,8,,,frame_00114.png,frame_00119.png,,120,2.000411
ex_G_12,QR未検出,,accum,4,,,40,0.949097,,0.952570,frame_00036.png,frame_00039.png,,,,,,23,ex,G,G,12,,,frame_00116.png,frame_00119.png,,120,2.000411
rice_B_4,QR未検出,,accum,4,,,12,0.812627,,0.825057,frame_00092.png,frame_00095.png,,,,,,24,rice,B,B,4,,,frame_00112.png,frame_00115.png,,120,2.000411
rice_B_8,QR未検出,,accum,5,,,24,0.885654,,0.891778,frame_00020.png,frame_00024.png,,,,,,25,rice,B,B,8,,,frame_00105.png,frame_00109.png,,120,2.000411
rice_B_12,QR未検出,,accum,4,,,40,0.928860,,0.935904,frame_00088.png,frame_00091.png,,,,,,26,rice,B,B,12,,,frame_00116.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_B_4,QR未検出,,accum,6,,,20,0.758474,,0.776245,frame_00036.png,frame_00041.png,,,,,,27,nagaoka_fireworks,B,B,4,,,frame_00048.png,frame_00053.png,,120,2.000411
nagaoka_fireworks_B_8,QR未検出,,accum,6,,,32,0.864664,,0.869303,frame_00072.png,frame_00077.png,,,,,,28,nagaoka_fireworks,B,B,8,,,frame_00114.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_B_12,QR未検出,,accum,4,,,32,0.925242,,0.933605,frame_00000.png,frame_00003.png,,,,,,29,nagaoka_fireworks,B,B,12,,,frame_00108.png,frame_00111.png,,120,2.000411
hocho_B_4,QR未検出,,accum,6,,,40,0.639125,,0.640376,frame_00102.png,frame_00107.png,,,,,,30,hocho,B,B,4,,,frame_00114.png,frame_00119.png,,120,2.000411
hocho_B_8,QR未検出,,accum,5,,,12,0.677018,,0.685792,frame_00000.png,frame_00004.png,,,,,,31,hocho,B,B,8,,,frame_00115.png,frame_00119.png,,120,2.000411
hocho_B_12,QR未検出,,accum,6,,,20,0.855377,,0.892094,frame_00036.png,frame_00041.png,,,,,,32,hocho,B,B,12,,,frame_00108.png,frame_00113.png,,120,2.000411
ex_B_4,QR未検出,,accum,6,,,20,0.827025,,0.842780,frame_00042.png,frame_00047.png,,,,,,33,ex,B,B,4,,,frame_00114.png,frame_00119.png,,120,2.000411
ex_B_8,,zxing_gray,accum,6,,,32,0.929787,0.929787,0.934071,frame_00084.png,frame_00089.png,,,,,,34,ex,B,B,8,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00005.png,,120,2.000411
ex_B_12,,zxing_gray,accum,4,,,40,0.961853,0.962089,0.964553,frame_00040.png,frame_00043.png,,,,,,35,ex,B,B,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00003.png,,120,2.000411
rice_I_4,QR未検出,,accum,5,,,16,0.798244,,0.807876,frame_00080.png,frame_00084.png,,,,,,36,rice,min,I,4,,,frame_00095.png,frame_00099.png,,120,2.000411
rice_I_8,QR未検出,,accum,5,,,24,0.888001,,0.891468,frame_00110.png,frame_00114.png,,,,,,37,rice,min,I,8,,,frame_00100.png,frame_00104.png,,120,2.000411
rice_I_12,QR未検出,,accum,5,,,40,0.925257,,0.930472,frame_00020.png,frame_00024.png,,,,,,38,rice,min,I,12,,,frame_00110.png,frame_00114.png,,120,2.000411
nagaoka_fireworks_I_4,QR未検出,,accum,5,,,16,0.726947,,0.733002,frame_00065.png,frame_00069.png,,,,,,39,nagaoka_fireworks,min,I,4,,,frame_00085.png,frame_00089.png,,120,2.000411
nagaoka_fireworks_I_8,QR未検出,,accum,4,,,16,0.801399,,0.810315,frame_00036.png,frame_00039.png,,,,,,40,nagaoka_fireworks,min,I,8,,,frame_00080.png,frame_00083.png,,120,2.000411
nagaoka_fireworks_I_12,QR未検出,,accum,6,,,40,0.884990,,0.898824,frame_00006.png,frame_00011.png,,,,,,41,nagaoka_fireworks,min,I,12,,,frame_00114.png,frame_00119.png,,120,2.000411
hocho_I_4,QR未検出,,accum,6,,,40,0.639291,,0.640693,frame_00048.png,frame_00053.png,,,,,,42,hocho,min,I,4,,,frame_00102.png,frame_00107.png,,120,2.000411
hocho_I_8,QR未検出,,accum,5,,,16,0.676339,,0.680905,frame_00100.png,frame_00104.png,,,,,,43,hocho,min,I,8,,,frame_00105.png,frame_00109.png,,120,2.000411
hocho_I_12,QR未検出,,accum,6,,,20,0.854331,,0.902895,frame_00102.png,frame_00107.png,,,,,,44,hocho,min,I,12,,,frame_00102.png,frame_00107.png,,120,2.000411
ex_I_4,QR未検出,,accum,6,,,24,0.821996,,0.838815,frame_00060.png,frame_00065.png,,,,,,45,ex,min,I,4,,,frame_00108.png,frame_00113.png,,120,2.000411
ex_I_8,QR未検出,,accum,4,,,24,0.907699,,0.912557,frame_00000.png,frame_00003.png,,,,,,46,ex,min,I,8,,,frame_00092.png,frame_00095.png,,120,2.000411
ex_I_12,QR未検出,,accum,4,,,40,0.932379,,0.935680,frame_00028.png,frame_00031.png,,,,,,47,ex,min,I,12,,,frame_00096.png,frame_00099.png,,120,2.000411
rice_X_4,QR未検出,,accum,5,,,12,0.795325,,0.805778,frame_00025.png,frame_00029.png,,,,,,48,rice,max,X,4,,,frame_00115.png,frame_00119.png,,120,2.000411
rice_X_8,QR未検出,,accum,5,,,24,0.915821,,0.919736,frame_00065.png,frame_00069.png,,,,,,49,rice,max,X,8,,,frame_00045.png,frame_00049.png,,120,2.000411
rice_X_12,,zxing_gray,accum,5,,,40,0.954653,0.956333,0.959313,frame_00055.png,frame_00059.png,,,,,,50,rice,max,X,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00004.png,,120,2.000411
nagaoka_fireworks_X_4,QR未検出,,accum,6,,,20,0.724704,,0.734778,frame_00036.png,frame_00041.png,,,,,,51,nagaoka_fireworks,max,X,4,,,frame_00114.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_X_8,QR未検出,,accum,6,,,32,0.845476,,0.850223,frame_00078.png,frame_00083.png,,,,,,52,nagaoka_fireworks,max,X,8,,,frame_00114.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_X_12,QR未検出,,accum,5,,,40,0.909245,,0.916912,frame_00100.png,frame_00104.png,,,,,,53,nagaoka_fireworks,max,X,12,,,frame_00095.png,frame_00099.png,,120,2.000411
hocho_X_4,QR未検出,,accum,6,,,12,0.726584,,0.754203,frame_00006.png,frame_00011.png,,,,,,54,hocho,max,X,4,,,frame_00114.png,frame_00119.png,,120,2.000411
hocho_X_8,QR未検出,,accum,5,,,16,0.831433,,0.841679,frame_00090.png,frame_00094.png,,,,,,55,hocho,max,X,8,,,frame_00115.png,frame_00119.png,,120,2.000411
hocho_X_12,QR未検出,,accum,6,,,32,0.877820,,0.884833,frame_00048.png,frame_00053.png,,,,,,56,hocho,max,X,12,,,frame_00114.png,frame_00119.png,,120,2.000411
ex_X_4,QR未検出,,accum,4,,,12,0.824687,,0.838442,frame_00008.png,frame_00011.png,,,,,,57,ex,max,X,4,,,frame_00112.png,frame_00115.png,,120,2.000411
ex_X_8,,zxing_gray,accum,6,,,32,0.929522,0.928744,0.934296,frame_00042.png,frame_00047.png,,,,,,58,ex,max,X,8,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00005.png,,120,2.000411
ex_X_12,,zxing_gray,accum,4,,,40,0.955149,0.954681,0.958916,frame_00020.png,frame_00023.png,,,,,,59,ex,max,X,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00004.png,frame_00007.png,,120,2.000411
