folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,fourier,,,9.987673,2,0.637998,,0.637998,frame_00000.png,frame_00119.png,r45_e250_f0.mp4,45 Hz,1/250,蛍光灯なし,59.988 fps,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_R_8,QR未検出,,fourier,,,9.987673,16,0.638049,,0.638049,frame_00000.png,frame_00119.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_R_12,QR未検出,,fourier,,,11.250000,16,0.666490,,0.666490,frame_00000.png,frame_00119.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_R_4,QR未検出,,fourier,,,0.012327,8,0.637486,,0.637486,frame_00000.png,frame_00119.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_R_8,QR未検出,,fourier,,,0.012327,16,0.637445,,0.637445,frame_00000.png,frame_00119.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_R_12,QR未検出,,fourier,,,9.987673,16,0.661460,,0.661460,frame_00000.png,frame_00119.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_R_4,QR未検出,,fourier,,,0.012327,6,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_R_8,QR未検出,,fourier,,,9.987673,16,0.638401,,0.638401,frame_00000.png,frame_00119.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_R_12,QR未検出,,fourier,,,9.987673,16,0.659477,,0.659477,frame_00000.png,frame_00119.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_R_4,QR未検出,,fourier,,,0.012327,8,0.637942,,0.637942,frame_00000.png,frame_00119.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_R_8,QR未検出,,fourier,,,0.012327,6,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_R_12,QR未検出,,fourier,,,9.987673,16,0.685973,,0.685973,frame_00000.png,frame_00119.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_G_4,QR未検出,,fourier,,,9.987673,2,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_G_8,QR未検出,,fourier,,,9.987673,2,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_G_12,QR未検出,,fourier,,,9.987673,16,0.663496,,0.663496,frame_00000.png,frame_00119.png,,,,,,14,rice,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_G_4,QR未検出,,fourier,,,0.012327,16,0.637463,,0.637463,frame_00000.png,frame_00119.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_G_8,QR未検出,,fourier,,,0.012327,16,0.636662,,0.636662,frame_00000.png,frame_00119.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_G_12,QR未検出,,fourier,,,26.237673,16,0.640269,,0.640269,frame_00000.png,frame_00119.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_G_4,QR未検出,,fourier,,,9.987673,2,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_G_8,QR未検出,,fourier,,,0.012327,12,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_G_12,QR未検出,,fourier,,,9.987673,16,0.640821,,0.640821,frame_00000.png,frame_00119.png,,,,,,20,hocho,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_G_4,QR未検出,,fourier,,,0.012327,6,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,21,ex,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_G_8,QR未検出,,fourier,,,0.012327,10,0.637876,,0.637876,frame_00000.png,frame_00119.png,,,,,,22,ex,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_G_12,QR未検出,,fourier,,,9.987673,16,0.683925,,0.683925,frame_00000.png,frame_00119.png,,,,,,23,ex,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_B_4,QR未検出,,fourier,,,9.987673,2,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,24,rice,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_B_8,QR未検出,,fourier,,,9.987673,2,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,25,rice,B,B,8,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_B_12,QR未検出,,fourier,,,9.987673,16,0.655917,,0.655917,frame_00000.png,frame_00119.png,,,,,,26,rice,B,B,12,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_B_4,QR未検出,,fourier,,,0.012327,16,0.636576,,0.636576,frame_00000.png,frame_00119.png,,,,,,27,nagaoka_fireworks,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_B_8,QR未検出,,fourier,,,0.012327,16,0.636529,,0.636529,frame_00000.png,frame_00119.png,,,,,,28,nagaoka_fireworks,B,B,8,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_B_12,QR未検出,,fourier,,,11.250000,16,0.653269,,0.653269,frame_00000.png,frame_00119.png,,,,,,29,nagaoka_fireworks,B,B,12,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_B_4,QR未検出,,fourier,,,0.012327,16,0.637969,,0.637969,frame_00000.png,frame_00119.png,,,,,,30,hocho,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_B_8,QR未検出,,fourier,,,0.012327,6,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,31,hocho,B,B,8,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_B_12,QR未検出,,fourier,,,9.987673,16,0.638441,,0.638441,frame_00000.png,frame_00119.png,,,,,,32,hocho,B,B,12,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_B_4,QR未検出,,fourier,,,0.012327,6,0.637998,,0.637998,frame_00000.png,frame_00119.png,,,,,,33,ex,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.000411
