folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,lockin,,,22.500000,0,0.895650,,0.895650,frame_00000.png,frame_00119.png,r45_e250_f0.mp4,45 Hz,1/250,蛍光灯なし,59.988 fps,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_R_8,QR未検出,,lockin,,,26.237673,0,0.788218,,0.788218,frame_00000.png,frame_00119.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_R_12,QR未検出,,lockin,,,26.237673,0,0.914891,,0.914891,frame_00000.png,frame_00119.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_R_4,QR未検出,,lockin,,,22.500000,0,0.806653,,0.806653,frame_00000.png,frame_00119.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_R_8,QR未検出,,lockin,,,22.500000,0,0.849446,,0.849446,frame_00000.png,frame_00119.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_R_12,QR未検出,,lockin,,,22.500000,0,0.877205,,0.877205,frame_00000.png,frame_00119.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_R_4,QR未検出,,lockin,,,22.500000,0,0.786367,,0.786367,frame_00000.png,frame_00119.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_R_8,QR未検出,,lockin,,,22.500000,0,0.836467,,0.836467,frame_00000.png,frame_00119.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_R_12,QR未検出,,lockin,,,22.500000,0,0.851330,,0.851330,frame_00000.png,frame_00119.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_R_4,QR未検出,,lockin,,,22.500000,0,0.897728,,0.897728,frame_00000.png,frame_00119.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_R_8,QR未検出,,lockin,,,22.500000,0,0.926313,,0.926313,frame_00000.png,frame_00119.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_R_12,QR未検出,,lockin,,,22.500000,0,0.933941,,0.933941,frame_00000.png,frame_00119.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_G_4,QR未検出,,lockin,,,22.500000,0,0.905192,,0.905192,frame_00000.png,frame_00119.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_G_8,QR未検出,,lockin,,,0.012327,0,0.768688,,0.768688,frame_00000.png,frame_00119.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_G_12,,zxing_gray,lockin,,,22.500000,0,0.857682,0.857682,0.857682,frame_00000.png,frame_00119.png,,,,,,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_G_4,QR未検出,,lockin,,,22.500000,0,0.764356,,0.764356,frame_00000.png,frame_00119.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_G_8,QR未検出,,lockin,,,22.500000,0,0.822086,,0.822086,frame_00000.png,frame_00119.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000411
nagaoka_fireworks_G_12,QR未検出,,lockin,,,22.500000,0,0.852954,,0.852954,frame_00000.png,frame_00119.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_G_4,QR未検出,,lockin,,,22.500000,0,0.698735,,0.698735,frame_00000.png,frame_00119.png,,,,,,18,hocho,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_G_8,QR未検出,,lockin,,,0.012327,0,0.732486,,0.732486,frame_00000.png,frame_00119.png,,,,,,19,hocho,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000411
hocho_G_12,QR未検出,,lockin,,,0.012327,0,0.817495,,0.817495,frame_00000.png,frame_00119.png,,,,,,20,hocho,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_G_4,QR未検出,,lockin,,,22.500000,0,0.902528,,0.902528,frame_00000.png,frame_00119.png,,,,,,21,ex,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_G_8,QR未検出,,lockin,,,22.500000,0,0.939545,,0.939545,frame_00000.png,frame_00119.png,,,,,,22,ex,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.000411
ex_G_12,QR未検出,,lockin,,,22.500000,0,0.951651,,0.951651,frame_00000.png,frame_00119.png,,,,,,23,ex,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.000411
rice_B_4,QR未検出,,lockin,,,22.500000,0,0.877261,,0.877261,frame_00000.png,frame_00119.png,,,,,,24,rice,B,B,4,,,frame_00000.png,frame_00119.png,,120,2.000411
