folder,cond,frame_1,frame_2,success,accuracy,recall,precision,diff_threshold
rice_R_4,0,frame_00000.png,frame_00001.png,0,0.740676,0.627731,0.649507,2
rice_R_4,0,frame_00001.png,frame_00002.png,0,0.795750,0.750257,0.707441,2
rice_R_4,0,frame_00002.png,frame_00003.png,0,0.768440,0.697809,0.677152,2
rice_R_4,0,frame_00003.png,frame_00004.png,0,0.659944,0.301424,0.563191,2
rice_R_4,0,frame_00004.png,frame_00005.png,0,0.736074,0.565204,0.661804,2
rice_R_4,0,frame_00005.png,frame_00006.png,0,0.788395,0.751470,0.693804,2
rice_R_4,0,frame_00006.png,frame_00007.png,0,0.771976,0.692244,0.685607,2
rice_R_4,0,frame_00007.png,frame_00008.png,0,0.654645,0.297413,0.549020,2
rice_R_4,0,frame_00008.png,frame_00009.png,0,0.728547,0.686151,0.614518,2
rice_R_4,0,frame_00009.png,frame_00010.png,0,0.770825,0.782830,0.655631,2
rice_R_4,0,frame_00010.png,frame_00011.png,0,0.762062,0.719550,0.659246,2
rice_R_4,0,frame_00011.png,frame_00012.png,0,0.623049,0.450771,0.482077,2
rice_R_4,0,frame_00012.png,frame_00013.png,0,0.736814,0.609828,0.647889,2
rice_R_4,0,frame_00013.png,frame_00014.png,0,0.794793,0.773331,0.697138,2
rice_R_4,0,frame_00014.png,frame_00015.png,0,0.772125,0.692915,0.685637,2
rice_R_4,0,frame_00015.png,frame_00016.png,0,0.565966,0.135891,0.294258,2
rice_R_4,0,frame_00016.png,frame_00017.png,0,0.687400,0.598732,0.567763,2
rice_R_4,0,frame_00017.png,frame_00018.png,0,0.771482,0.765574,0.661292,2
rice_R_4,0,frame_00018.png,frame_00019.png,0,0.763929,0.725810,0.660502,2
rice_R_4,0,frame_00019.png,frame_00020.png,0,0.645074,0.342675,0.520402,2
rice_R_4,0,frame_00099.png,frame_00100.png,0,0.655862,0.336799,0.545734,2
rice_R_4,0,frame_00100.png,frame_00101.png,0,0.739715,0.621485,0.649672,2
rice_R_4,0,frame_00101.png,frame_00102.png,0,0.754330,0.806163,0.626925,2
rice_R_4,0,frame_00102.png,frame_00103.png,0,0.775974,0.712248,0.685693,2
rice_R_4,0,frame_00103.png,frame_00104.png,0,0.654043,0.312136,0.544919,2
rice_R_4,0,frame_00104.png,frame_00105.png,0,0.750206,0.657181,0.657679,2
rice_R_4,0,frame_00105.png,frame_00106.png,0,0.790024,0.751087,0.696816,2
rice_R_4,0,frame_00106.png,frame_00107.png,0,0.760729,0.692383,0.665244,2
rice_R_4,0,frame_00107.png,frame_00108.png,0,0.652251,0.282748,0.544848,2
rice_R_4,0,frame_00108.png,frame_00109.png,0,0.740436,0.597681,0.658943,2
rice_R_4,0,frame_00109.png,frame_00110.png,0,0.793667,0.768975,0.696742,2
rice_R_4,0,frame_00110.png,frame_00111.png,0,0.774228,0.702313,0.686090,2
rice_R_4,0,frame_00111.png,frame_00112.png,0,0.654043,0.283521,0.549905,2
rice_R_4,0,frame_00112.png,frame_00113.png,0,0.763221,0.648009,0.685567,2
rice_R_4,0,frame_00113.png,frame_00114.png,0,0.793890,0.756599,0.701655,2
rice_R_4,0,frame_00114.png,frame_00115.png,0,0.766020,0.694959,0.673775,2
rice_R_4,0,frame_00115.png,frame_00116.png,0,0.658219,0.364253,0.547259,2
rice_R_4,0,frame_00116.png,frame_00117.png,0,0.755569,0.642880,0.672513,2
rice_R_4,0,frame_00117.png,frame_00118.png,0,0.790734,0.795115,0.683093,2
rice_R_4,0,frame_00118.png,frame_00119.png,0,0.775454,0.713179,0.684424,2
rice_R_8,1,frame_00000.png,frame_00001.png,0,0.898171,0.945719,0.807871,4
rice_R_8,1,frame_00001.png,frame_00002.png,0,0.901908,0.933976,0.821512,4
rice_R_8,1,frame_00002.png,frame_00003.png,0,0.743915,0.390403,0.808394,4
rice_R_8,1,frame_00003.png,frame_00004.png,0,0.850403,0.749758,0.824201,4
rice_R_8,1,frame_00004.png,frame_00005.png,0,0.895471,0.944424,0.803462,4
rice_R_8,1,frame_00005.png,frame_00006.png,0,0.889290,0.945729,0.791404,4
rice_R_8,1,frame_00006.png,frame_00007.png,0,0.720144,0.335494,0.765455,4
rice_R_8,1,frame_00007.png,frame_00008.png,0,0.882457,0.837019,0.840114,4
rice_R_8,1,frame_00008.png,frame_00009.png,0,0.900776,0.944635,0.813414,4
rice_R_8,1,frame_00009.png,frame_00010.png,0,0.899695,0.930997,0.818812,4
rice_R_8,1,frame_00010.png,frame_00011.png,0,0.730376,0.361221,0.782382,4
rice_R_8,1,frame_00011.png,frame_00012.png,0,0.858980,0.775989,0.826730,4
rice_R_8,1,frame_00012.png,frame_00013.png,0,0.901165,0.940395,0.816475,4
rice_R_8,1,frame_00013.png,frame_00014.png,0,0.889116,0.940606,0.793606,4
rice_R_8,1,frame_00014.png,frame_00015.png,0,0.613933,0.645442,0.478319,4
rice_R_8,1,frame_00015.png,frame_00016.png,0,0.848178,0.786562,0.794998,4
rice_R_8,1,frame_00016.png,frame_00017.png,0,0.895697,0.947091,0.802511,4
rice_R_8,1,frame_00017.png,frame_00018.png,0,0.900461,0.931160,0.820236,4
rice_R_8,1,frame_00018.png,frame_00019.png,0,0.736129,0.364239,0.805916,4
rice_R_8,1,frame_00019.png,frame_00020.png,0,0.851663,0.774775,0.810215,4
rice_R_8,1,frame_00099.png,frame_00100.png,0,0.844619,0.822815,0.767801,4
rice_R_8,1,frame_00100.png,frame_00101.png,0,0.892670,0.953170,0.793901,4
rice_R_8,1,frame_00101.png,frame_00102.png,0,0.898694,0.948521,0.807389,4
rice_R_8,1,frame_00102.png,frame_00103.png,0,0.705403,0.279203,0.762582,4
rice_R_8,1,frame_00103.png,frame_00104.png,0,0.886012,0.856563,0.835137,4
rice_R_8,1,frame_00104.png,frame_00105.png,0,0.896836,0.939584,0.808577,4
rice_R_8,1,frame_00105.png,frame_00106.png,0,0.894078,0.934528,0.805996,4
rice_R_8,1,frame_00106.png,frame_00107.png,0,0.724724,0.331953,0.792907,4
