folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.635274,0.000108,,fourier_num:fourier::None:0.06464665870466035:0:None:gray:0,fourier,,,0.064647,0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.775903,0.549532,0.686289,0.349880,,fourier_num:fourier::None:9.93535334129534:0:None:gray:0,fourier,,,9.935353,0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.819461,0.523813,0.662448,0.377256,,fourier_num:fourier::None:11.25:0:None:gray:0,fourier,,,11.250000,0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.520192,0.954240,0.815903,0.004719,,fourier_num:fourier::None:22.5:0:None:gray:0,fourier,,,22.500000,0
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.670896,0.472628,0.606931,0.425925,,fourier_num:fourier::None:26.18535334129534:0:None:gray:0,fourier,,,26.185353,0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.996987,0.423737,0.504385,0.725039,,fourier_num:fourier::None:0.06464665870466035:0:None:gray:0,fourier,,,0.064647,0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.947667,0.786906,0.887314,0.119574,,fourier_num:fourier::None:9.93535334129534:0:None:gray:0,fourier,,,9.935353,0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.945638,0.802970,0.895543,0.113094,,fourier_num:fourier::None:11.25:0:None:gray:0,fourier,,,11.250000,0
rice_R_8,frame_00000.png,frame_00119.png,,,https://www.nagaoka-ct.ac.jp,1,opencv_gray_x1.0_k3_i1,,0.554866,0.986406,0.834859,0.001447,,fourier_num:fourier::None:22.5:0:None:gray:0,fourier,,,22.500000,0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.900726,0.699071,0.822375,0.240482,,fourier_num:fourier::None:26.18535334129534:0:None:gray:0,fourier,,,26.185353,0
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.999444,0.485713,0.613830,0.536115,,fourier_num:fourier::None:0.06464665870466035:0:None:gray:0,fourier,,,0.064647,0
