folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,stat,,var,,0,0.692453,,0.692453,frame_00000.png,frame_00119.png,r45_e250_f1.mp4,45 Hz,1/250,蛍光灯あり,59.935 fps,0,rice,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.002157
rice_R_8,QR未検出,,stat,,var,,0,0.867119,,0.867119,frame_00000.png,frame_00119.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.002157
rice_R_12,QR未検出,,stat,,var,,0,0.856541,,0.856541,frame_00000.png,frame_00119.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.002157
nagaoka_fireworks_R_4,QR未検出,,stat,,var,,0,0.767540,,0.767540,frame_00000.png,frame_00119.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.002157
nagaoka_fireworks_R_8,QR未検出,,stat,,var,,0,0.817418,,0.817418,frame_00000.png,frame_00119.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.002157
nagaoka_fireworks_R_12,QR未検出,,stat,,var,,0,0.827845,,0.827845,frame_00000.png,frame_00119.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.002157
hocho_R_4,QR未検出,,stat,,var,,0,0.672778,,0.672778,frame_00000.png,frame_00119.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.002157
hocho_R_8,QR未検出,,stat,,var,,0,0.791002,,0.791002,frame_00000.png,frame_00119.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.002157
hocho_R_12,QR未検出,,stat,,var,,0,0.794970,,0.794970,frame_00000.png,frame_00119.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.002157
ex_R_4,QR未検出,,stat,,var,,0,0.874697,,0.874697,frame_00000.png,frame_00119.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00119.png,,120,2.002157
ex_R_8,QR未検出,,stat,,var,,0,0.918014,,0.918014,frame_00000.png,frame_00119.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00119.png,,120,2.002157
ex_R_12,QR未検出,,stat,,var,,0,0.925114,,0.925114,frame_00000.png,frame_00119.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00119.png,,120,2.002157
rice_G_4,QR未検出,,stat,,var,,0,0.676295,,0.676295,frame_00000.png,frame_00119.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.002157
rice_G_8,QR未検出,,stat,,var,,0,0.862637,,0.862637,frame_00000.png,frame_00119.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.002157
rice_G_12,QR未検出,,stat,,var,,0,0.892561,,0.892561,frame_00000.png,frame_00119.png,,,,,,14,rice,G,G,12,,,frame_00000.png,frame_00119.png,,120,2.002157
nagaoka_fireworks_G_4,QR未検出,,stat,,var,,0,0.771813,,0.771813,frame_00000.png,frame_00119.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00119.png,,120,2.002157
nagaoka_fireworks_G_8,QR未検出,,stat,,var,,0,0.789558,,0.789558,frame_00000.png,frame_00119.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00119.png,,120,2.002157
