folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,pair,,,,2,0.768402,,0.856929,frame_00067.png,frame_00068.png,r45_e60_f0.mp4,45 Hz,1/60,蛍光灯なし,58.592 fps,0,rice,R,R,4,,,frame_00110.png,frame_00111.png,,117,1.996868
rice_R_8,,zxing_gray,pair,,,,4,0.836827,0.911999,0.923972,frame_00037.png,frame_00038.png,,,,,,1,rice,R,R,8,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00011.png,frame_00012.png,,117,1.996868
rice_R_12,,zxing_gray,pair,,,,6,0.887608,0.932917,0.947972,frame_00101.png,frame_00102.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00000.png,frame_00001.png,,117,1.996868
nagaoka_fireworks_R_4,QR未検出,,pair,,,,2,0.695561,,0.755277,frame_00113.png,frame_00114.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00111.png,frame_00112.png,,117,1.996868
nagaoka_fireworks_R_8,QR未検出,,pair,,,,4,0.761920,,0.820234,frame_00054.png,frame_00055.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00109.png,frame_00110.png,,117,1.996868
nagaoka_fireworks_R_12,QR未検出,,pair,,,,6,0.839613,,0.895818,frame_00041.png,frame_00042.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00113.png,frame_00114.png,,117,1.996868
hocho_R_4,QR未検出,,pair,,,,2,0.696951,,0.771645,frame_00037.png,frame_00038.png,,,,,,6,hocho,R,R,4,,,frame_00111.png,frame_00112.png,,117,1.996868
hocho_R_8,QR未検出,,pair,,,,4,0.762843,,0.833862,frame_00074.png,frame_00075.png,,,,,,7,hocho,R,R,8,,,frame_00112.png,frame_00113.png,,117,1.996868
hocho_R_12,QR未検出,,pair,,,,4,0.820474,,0.869314,frame_00105.png,frame_00106.png,,,,,,8,hocho,R,R,12,,,frame_00109.png,frame_00110.png,,117,1.996868
ex_R_4,QR未検出,,pair,,,,2,0.756522,,0.820617,frame_00051.png,frame_00052.png,,,,,,9,ex,R,R,4,,,frame_00110.png,frame_00111.png,,117,1.996868
ex_R_8,QR未検出,,pair,,,,6,0.827932,,0.906792,frame_00056.png,frame_00057.png,,,,,,10,ex,R,R,8,,,frame_00103.png,frame_00104.png,,117,1.996868
