folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00001.png,,,,0,decode失敗,QR未検出,0.669359,0.698657,0.774611,0.155182,,accum_num:accum::2:None:0:None:gray:0,accum,2,,,0
rice_R_4,frame_00004.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.524343,0.615879,0.707891,0.182894,,accum_num:accum::2:None:0:None:gray:2,accum,2,,,0
rice_R_4,frame_00002.png,frame_00003.png,,,,0,decode失敗,QR未検出,0.604654,0.650599,0.737955,0.178138,,accum_num:accum::2:None:0:None:gray:1,accum,2,,,0
rice_R_4,frame_00014.png,frame_00015.png,,,,0,decode失敗,QR未検出,0.186355,0.483195,0.631369,0.134959,,accum_num:accum::2:None:0:None:gray:7,accum,2,,,0
rice_R_4,frame_00008.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.515558,0.492604,0.630452,0.212035,,accum_num:accum::2:None:0:None:gray:4,accum,2,,,0
rice_R_4,frame_00020.png,frame_00021.png,,,,0,decode失敗,QR未検出,0.206294,0.504136,0.637318,0.140907,,accum_num:accum::2:None:0:None:gray:10,accum,2,,,0
rice_R_4,frame_00012.png,frame_00013.png,,,,0,decode失敗,QR未検出,0.249459,0.542203,0.650218,0.140573,,accum_num:accum::2:None:0:None:gray:6,accum,2,,,0
rice_R_4,frame_00018.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.168561,0.448715,0.622064,0.144544,,accum_num:accum::2:None:0:None:gray:9,accum,2,,,0
rice_R_4,frame_00024.png,frame_00025.png,,,,0,decode失敗,QR未検出,0.369527,0.602378,0.681796,0.151525,,accum_num:accum::2:None:0:None:gray:12,accum,2,,,0
rice_R_4,frame_00006.png,frame_00007.png,,,,0,decode失敗,QR未検出,0.458570,0.628036,0.704129,0.164870,,accum_num:accum::2:None:0:None:gray:3,accum,2,,,0
rice_R_4,frame_00022.png,frame_00023.png,,,,0,decode失敗,QR未検出,0.272340,0.574139,0.661682,0.139948,,accum_num:accum::2:None:0:None:gray:11,accum,2,,,0
rice_R_4,frame_00010.png,frame_00011.png,,,,0,decode失敗,QR未検出,0.350055,0.581710,0.671874,0.150073,,accum_num:accum::2:None:0:None:gray:5,accum,2,,,0
rice_R_4,frame_00030.png,frame_00031.png,,,,0,decode失敗,QR未検出,0.615030,0.668901,0.749116,0.157201,,accum_num:accum::2:None:0:None:gray:15,accum,2,,,0
rice_R_4,frame_00016.png,frame_00017.png,,,,0,decode失敗,QR未検出,0.165734,0.463688,0.626639,0.145577,,accum_num:accum::2:None:0:None:gray:8,accum,2,,,0
rice_R_4,frame_00028.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.528328,0.633187,0.716970,0.166812,,accum_num:accum::2:None:0:None:gray:14,accum,2,,,0
rice_R_4,frame_00026.png,frame_00027.png,,,,0,decode失敗,QR未検出,0.461248,0.591863,0.688191,0.171499,,accum_num:accum::2:None:0:None:gray:13,accum,2,,,0
rice_R_4,frame_00034.png,frame_00035.png,,,,0,decode失敗,QR未検出,0.779917,0.626250,0.750521,0.218956,,accum_num:accum::2:None:0:None:gray:17,accum,2,,,0
rice_R_4,frame_00038.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.686187,0.695805,0.776628,0.147359,,accum_num:accum::2:None:0:None:gray:19,accum,2,,,0
rice_R_4,frame_00032.png,frame_00033.png,,,,0,decode失敗,QR未検出,0.726852,0.602935,0.726402,0.225900,,accum_num:accum::2:None:0:None:gray:16,accum,2,,,0
rice_R_4,frame_00036.png,frame_00037.png,,,,0,decode失敗,QR未検出,0.825141,0.637752,0.765805,0.216754,,accum_num:accum::2:None:0:None:gray:18,accum,2,,,0
rice_R_4,frame_00040.png,frame_00041.png,,,,0,decode失敗,QR未検出,0.712505,0.704867,0.786810,0.146400,,accum_num:accum::2:None:0:None:gray:20,accum,2,,,0
rice_R_4,frame_00044.png,frame_00045.png,,,,0,decode失敗,QR未検出,0.842940,0.652573,0.779527,0.207212,,accum_num:accum::2:None:0:None:gray:22,accum,2,,,0
rice_R_4,frame_00048.png,frame_00049.png,,,,0,decode失敗,QR未検出,0.769157,0.680597,0.784633,0.174156,,accum_num:accum::2:None:0:None:gray:24,accum,2,,,0
rice_R_4,frame_00058.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.441584,0.609925,0.694011,0.163762,,accum_num:accum::2:None:0:None:gray:29,accum,2,,,0
rice_R_4,frame_00060.png,frame_00061.png,,,,0,decode失敗,QR未検出,0.358738,0.535297,0.653303,0.177064,,accum_num:accum::2:None:0:None:gray:30,accum,2,,,0
rice_R_4,frame_00050.png,frame_00051.png,,,,0,decode失敗,QR未検出,0.723621,0.658033,0.762571,0.180897,,accum_num:accum::2:None:0:None:gray:25,accum,2,,,0
rice_R_4,frame_00062.png,frame_00063.png,,,,0,decode失敗,QR未検出,0.299106,0.518611,0.643898,0.167087,,accum_num:accum::2:None:0:None:gray:31,accum,2,,,0
rice_R_4,frame_00054.png,frame_00055.png,,,,0,decode失敗,QR未検出,0.596658,0.630818,0.726143,0.181314,,accum_num:accum::2:None:0:None:gray:27,accum,2,,,0
rice_R_4,frame_00056.png,frame_00057.png,,,,0,decode失敗,QR未検出,0.608236,0.602839,0.711605,0.203160,,accum_num:accum::2:None:0:None:gray:28,accum,2,,,0
rice_R_4,frame_00042.png,frame_00043.png,,,,0,decode失敗,QR未検出,0.858589,0.647893,0.778731,0.199331,,accum_num:accum::2:None:0:None:gray:21,accum,2,,,0
rice_R_4,frame_00046.png,frame_00047.png,,,,0,decode失敗,QR未検出,0.822814,0.611971,0.745659,0.237382,,accum_num:accum::2:None:0:None:gray:23,accum,2,,,0
rice_R_4,frame_00052.png,frame_00053.png,,,,0,decode失敗,QR未検出,0.659868,0.665548,0.755548,0.174671,,accum_num:accum::2:None:0:None:gray:26,accum,2,,,0
rice_R_4,frame_00070.png,frame_00071.png,,,,0,decode失敗,QR未検出,0.263825,0.442446,0.611108,0.171386,,accum_num:accum::2:None:0:None:gray:35,accum,2,,,0
rice_R_4,frame_00064.png,frame_00065.png,,,,0,decode失敗,QR未検出,0.208818,0.506484,0.638032,0.140675,,accum_num:accum::2:None:0:None:gray:32,accum,2,,,0
rice_R_4,frame_00066.png,frame_00067.png,,,,0,decode失敗,QR未検出,0.187764,0.475954,0.629182,0.146614,,accum_num:accum::2:None:0:None:gray:33,accum,2,,,0
rice_R_4,frame_00076.png,frame_00077.png,,,,0,decode失敗,QR未検出,0.449031,0.618626,0.698756,0.160095,,accum_num:accum::2:None:0:None:gray:38,accum,2,,,0
rice_R_4,frame_00072.png,frame_00073.png,,,,0,decode失敗,QR未検出,0.363301,0.560644,0.664688,0.172778,,accum_num:accum::2:None:0:None:gray:36,accum,2,,,0
