folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,accum,6,,,0,0.740349,,0.833591,frame_00090.png,frame_00095.png,r60_e60_f1.mp4,60 Hz,1/60,蛍光灯あり,58.830 fps,0,rice,R,R,4,,,frame_00090.png,frame_00095.png,,117,1.988774
rice_R_8,,zxing_median_otsu,accum,6,,,0,0.827147,0.928711,0.928711,frame_00042.png,frame_00047.png,,,,,,1,rice,R,R,8,https://www.nagaoka-ct.ac.jp,zxing_median_otsu_x1.0_k5_i1,frame_00042.png,frame_00047.png,,117,1.988774
rice_R_12,,zxing_gray,accum,2,,,0,0.835598,0.778077,0.953009,frame_00096.png,frame_00097.png,,,,,,2,rice,R,R,12,https://www.nagaoka-ct.ac.jp,zxing_gray_x1.0_k3_i1,frame_00040.png,frame_00041.png,,117,1.988774
nagaoka_fireworks_R_4,QR未検出,,accum,6,,,0,0.688961,,0.753015,frame_00096.png,frame_00101.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00108.png,frame_00113.png,,117,1.988774
nagaoka_fireworks_R_8,QR未検出,,accum,6,,,0,0.776029,,0.850072,frame_00000.png,frame_00005.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00108.png,frame_00113.png,,117,1.988774
nagaoka_fireworks_R_12,QR未検出,,accum,6,,,0,0.845209,,0.901721,frame_00108.png,frame_00113.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00108.png,frame_00113.png,,117,1.988774
hocho_R_4,QR未検出,,accum,5,,,0,0.678657,,0.744903,frame_00110.png,frame_00114.png,,,,,,6,hocho,R,R,4,,,frame_00105.png,frame_00109.png,,117,1.988774
hocho_R_8,QR未検出,,accum,6,,,0,0.741542,,0.804303,frame_00018.png,frame_00023.png,,,,,,7,hocho,R,R,8,,,frame_00108.png,frame_00113.png,,117,1.988774
hocho_R_12,QR未検出,,accum,3,,,0,0.786582,,0.828581,frame_00009.png,frame_00011.png,,,,,,8,hocho,R,R,12,,,frame_00108.png,frame_00110.png,,117,1.988774
ex_R_4,QR未検出,,accum,6,,,0,0.785656,,0.900676,frame_00072.png,frame_00077.png,,,,,,9,ex,R,R,4,,,frame_00108.png,frame_00113.png,,117,1.988774
ex_R_8,QR未検出,,accum,6,,,0,0.841215,,0.941946,frame_00024.png,frame_00029.png,,,,,,10,ex,R,R,8,,,frame_00072.png,frame_00077.png,,117,1.988774
ex_R_12,QR未検出,,accum,5,,,0,0.879690,,0.958172,frame_00025.png,frame_00029.png,,,,,,11,ex,R,R,12,,,frame_00110.png,frame_00114.png,,117,1.988774
rice_G_4,QR未検出,,accum,6,,,0,0.723187,,0.829554,frame_00030.png,frame_00035.png,,,,,,12,rice,G,G,4,,,frame_00102.png,frame_00107.png,,117,1.988774
rice_G_8,,zxing_median_otsu,accum,6,,,0,0.806069,0.921604,0.924202,frame_00036.png,frame_00041.png,,,,,,13,rice,G,G,8,https://www.nagaoka-ct.ac.jp,zxing_median_otsu_x1.0_k5_i1,frame_00084.png,frame_00089.png,,117,1.988774
rice_G_12,,opencv_gray,accum,3,,,0,0.830802,0.789947,0.958930,frame_00087.png,frame_00089.png,,,,,,14,rice,G,G,12,https://www.nagaoka-ct.ac.jp,opencv_gray_x1.0_k3_i1,frame_00036.png,frame_00038.png,,117,1.988774
nagaoka_fireworks_G_4,QR未検出,,accum,5,,,0,0.686380,,0.751639,frame_00045.png,frame_00049.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00110.png,frame_00114.png,,117,1.988774
nagaoka_fireworks_G_8,QR未検出,,accum,6,,,0,0.760896,,0.832588,frame_00096.png,frame_00101.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00084.png,frame_00089.png,,117,1.988774
nagaoka_fireworks_G_12,QR未検出,,accum,6,,,0,0.825087,,0.872403,frame_00102.png,frame_00107.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00108.png,frame_00113.png,,117,1.988774
hocho_G_4,QR未検出,,accum,6,,,0,0.647263,,0.693213,frame_00054.png,frame_00059.png,,,,,,18,hocho,G,G,4,,,frame_00108.png,frame_00113.png,,117,1.988774
hocho_G_8,QR未検出,,accum,6,,,0,0.696503,,0.747638,frame_00096.png,frame_00101.png,,,,,,19,hocho,G,G,8,,,frame_00108.png,frame_00113.png,,117,1.988774
