folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00006.png,frame_00008.png,,,,0,decode失敗,QR未検出,0.161769,0.623215,0.659782,0.055418,,accum:accum::3:None:8:None:binary:2,accum,3,,,8
rice_R_4,frame_00012.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.270354,0.653540,0.682704,0.062409,,accum:accum::3:None:8:None:binary:4,accum,3,,,8
rice_R_4,frame_00027.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.228840,0.719390,0.687264,0.047680,,accum:accum::3:None:8:None:binary:9,accum,3,,,8
rice_R_4,frame_00003.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.228825,0.709456,0.685642,0.053606,,accum:accum::3:None:8:None:binary:1,accum,3,,,8
rice_R_4,frame_00021.png,frame_00023.png,,,,0,decode失敗,QR未検出,0.178145,0.688682,0.672012,0.051291,,accum:accum::3:None:8:None:binary:7,accum,3,,,8
rice_R_4,frame_00045.png,frame_00047.png,,,,0,decode失敗,QR未検出,0.183604,0.697161,0.674278,0.050681,,accum:accum::3:None:8:None:binary:15,accum,3,,,8
rice_R_4,frame_00015.png,frame_00017.png,,,,0,decode失敗,QR未検出,0.251623,0.727704,0.693767,0.065836,,accum:accum::3:None:8:None:binary:5,accum,3,,,8
rice_R_4,frame_00039.png,frame_00041.png,,,,0,decode失敗,QR未検出,0.240542,0.730894,0.691771,0.051819,,accum:accum::3:None:8:None:binary:13,accum,3,,,8
rice_R_4,frame_00009.png,frame_00011.png,,,,0,decode失敗,QR未検出,0.170660,0.668817,0.667846,0.050196,,accum:accum::3:None:8:None:binary:3,accum,3,,,8
rice_R_4,frame_00033.png,frame_00035.png,,,,0,decode失敗,QR未検出,0.163964,0.635502,0.661946,0.054177,,accum:accum::3:None:8:None:binary:11,accum,3,,,8
rice_R_4,frame_00018.png,frame_00020.png,,,,0,decode失敗,QR未検出,0.199649,0.600811,0.660884,0.062550,,accum:accum::3:None:8:None:binary:6,accum,3,,,8
rice_R_4,frame_00024.png,frame_00026.png,,,,0,decode失敗,QR未検出,0.211057,0.723510,0.683929,0.050103,,accum:accum::3:None:8:None:binary:8,accum,3,,,8
rice_R_4,frame_00042.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.158120,0.633256,0.660720,0.052949,,accum:accum::3:None:8:None:binary:14,accum,3,,,8
rice_R_4,frame_00030.png,frame_00032.png,,,,0,decode失敗,QR未検出,0.144294,0.661116,0.662095,0.049183,,accum:accum::3:None:8:None:binary:10,accum,3,,,8
rice_R_4,frame_00036.png,frame_00038.png,,,,0,decode失敗,QR未検出,0.228570,0.717240,0.686858,0.049798,,accum:accum::3:None:8:None:binary:12,accum,3,,,8
rice_R_4,frame_00000.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.210403,0.712913,0.682211,0.050987,,accum:accum::3:None:8:None:binary:0,accum,3,,,8
rice_R_4,frame_00048.png,frame_00050.png,,,,0,decode失敗,QR未検出,0.220858,0.719754,0.685551,0.053353,,accum:accum::3:None:8:None:binary:16,accum,3,,,8
rice_R_4,frame_00051.png,frame_00053.png,,,,0,decode失敗,QR未検出,0.240162,0.723379,0.690443,0.051373,,accum:accum::3:None:8:None:binary:17,accum,3,,,8
rice_R_4,frame_00066.png,frame_00068.png,,,,0,decode失敗,QR未検出,0.145917,0.638403,0.659528,0.052949,,accum:accum::3:None:8:None:binary:22,accum,3,,,8
rice_R_4,frame_00057.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.260601,0.607205,0.669979,0.067001,,accum:accum::3:None:8:None:binary:19,accum,3,,,8
rice_R_4,frame_00063.png,frame_00065.png,,,,0,decode失敗,QR未検出,0.230399,0.728881,0.689125,0.050179,,accum:accum::3:None:8:None:binary:21,accum,3,,,8
rice_R_4,frame_00078.png,frame_00080.png,,,,0,decode失敗,QR未検出,0.129598,0.649646,0.658233,0.046018,,accum:accum::3:None:8:None:binary:26,accum,3,,,8
rice_R_4,frame_00072.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.219246,0.702768,0.682517,0.051860,,accum:accum::3:None:8:None:binary:24,accum,3,,,8
rice_R_4,frame_00081.png,frame_00083.png,,,,0,decode失敗,QR未検出,0.177009,0.670796,0.669295,0.052374,,accum:accum::3:None:8:None:binary:27,accum,3,,,8
rice_R_4,frame_00069.png,frame_00071.png,,,,0,decode失敗,QR未検出,0.174910,0.662854,0.667771,0.050193,,accum:accum::3:None:8:None:binary:23,accum,3,,,8
rice_R_4,frame_00054.png,frame_00056.png,,,,0,decode失敗,QR未検出,0.140520,0.651134,0.660242,0.049704,,accum:accum::3:None:8:None:binary:18,accum,3,,,8
rice_R_4,frame_00060.png,frame_00062.png,,,,0,decode失敗,QR未検出,0.229456,0.720302,0.687547,0.048185,,accum:accum::3:None:8:None:binary:20,accum,3,,,8
