folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.154495,0.599171,0.655121,0.057603,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
rice_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.786839,0.874815,0.881598,0.050866,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
rice_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.674027,0.993811,0.879994,0.000872,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.380952,0.779560,0.735842,0.059412,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
nagaoka_fireworks_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.478518,0.956903,0.802625,0.006345,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
nagaoka_fireworks_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.552146,0.991931,0.835587,0.000849,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
hocho_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.206263,0.472628,0.627848,0.071536,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
hocho_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.531985,0.833430,0.791247,0.027419,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
hocho_R_12,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.451956,0.995546,0.800069,0.000421,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
ex_R_4,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.725044,0.863679,0.858467,0.094687,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
ex_R_8,frame_00000.png,frame_00119.png,,,,0,decode失敗,QR未検出,0.755747,0.976890,0.904723,0.003542,,stat_var_num:stat:var:None:None:0:None:gray:0,stat,,var,,0
