folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.214171,0.462114,0.622997,0.170224,,stat_std:stat:std:None:None:2:None:binary:0,stat,,std,,2
rice_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.012106,0.352546,0.632098,0.023276,,stat_std:stat:std:None:None:4:None:binary:0,stat,,std,,4
rice_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.003603,0.398724,0.635120,0.002760,,stat_std:stat:std:None:None:6:None:binary:0,stat,,std,,6
rice_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.001648,0.465400,0.635697,0.000915,,stat_std:stat:std:None:None:8:None:binary:0,stat,,std,,8
rice_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.001033,0.534826,0.635836,0.000544,,stat_std:stat:std:None:None:10:None:binary:0,stat,,std,,10
rice_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.000509,0.519608,0.635801,0.000338,,stat_std:stat:std:None:None:12:None:binary:0,stat,,std,,12
rice_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.000149,0.455882,0.635776,0.000207,,stat_std:stat:std:None:None:16:None:binary:0,stat,,std,,16
rice_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.693050,0.662555,0.759646,0.197400,,stat_std:stat:std:None:None:2:None:binary:0,stat,,std,,2
rice_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.027719,0.503095,0.635911,0.025275,,stat_std:stat:std:None:None:4:None:binary:0,stat,,std,,4
rice_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.004521,0.419527,0.635155,0.003074,,stat_std:stat:std:None:None:6:None:binary:0,stat,,std,,6
rice_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.000922,0.292237,0.635309,0.001142,,stat_std:stat:std:None:None:8:None:binary:0,stat,,std,,8
rice_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.000552,0.312500,0.635545,0.000659,,stat_std:stat:std:None:None:10:None:binary:0,stat,,std,,10
rice_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.000303,0.272727,0.635603,0.000406,,stat_std:stat:std:None:None:12:None:binary:0,stat,,std,,12
rice_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.000038,0.065041,0.635600,0.000212,,stat_std:stat:std:None:None:16:None:binary:0,stat,,std,,16
rice_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.997963,0.622202,0.778560,0.233715,,stat_std:stat:std:None:None:2:None:binary:0,stat,,std,,2
rice_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.875318,0.897744,0.918276,0.037579,,stat_std:stat:std:None:None:4:None:binary:0,stat,,std,,4
rice_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.593151,0.970554,0.845266,0.005175,,stat_std:stat:std:None:None:6:None:binary:0,stat,,std,,6
rice_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.263849,0.984830,0.730404,0.001433,,stat_std:stat:std:None:None:8:None:binary:0,stat,,std,,8
rice_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.071176,0.978794,0.661148,0.000758,,stat_std:stat:std:None:None:10:None:binary:0,stat,,std,,10
rice_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.007936,0.916759,0.638415,0.000520,,stat_std:stat:std:None:None:12:None:binary:0,stat,,std,,12
rice_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.000000,0.000000,0.635704,0.000169,,stat_std:stat:std:None:None:16:None:binary:0,stat,,std,,16
nagaoka_fireworks_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.380989,0.434537,0.593978,0.225549,,stat_std:stat:std:None:None:2:None:binary:0,stat,,std,,2
nagaoka_fireworks_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.048746,0.409417,0.627931,0.031960,,stat_std:stat:std:None:None:4:None:binary:0,stat,,std,,4
nagaoka_fireworks_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.012923,0.430331,0.634263,0.007392,,stat_std:stat:std:None:None:6:None:binary:0,stat,,std,,6
nagaoka_fireworks_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.005731,0.471355,0.635533,0.002659,,stat_std:stat:std:None:None:8:None:binary:0,stat,,std,,8
nagaoka_fireworks_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.003084,0.511146,0.635836,0.001150,,stat_std:stat:std:None:None:10:None:binary:0,stat,,std,,10
nagaoka_fireworks_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.001648,0.534268,0.635864,0.000420,,stat_std:stat:std:None:None:12:None:binary:0,stat,,std,,12
nagaoka_fireworks_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.000557,0.555024,0.635827,0.000084,,stat_std:stat:std:None:None:16:None:binary:0,stat,,std,,16
nagaoka_fireworks_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.654988,0.543279,0.673795,0.231956,,stat_std:stat:std:None:None:2:None:binary:0,stat,,std,,2
nagaoka_fireworks_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.104333,0.537561,0.641097,0.036172,,stat_std:stat:std:None:None:4:None:binary:0,stat,,std,,4
nagaoka_fireworks_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.021733,0.508029,0.636037,0.008641,,stat_std:stat:std:None:None:6:None:binary:0,stat,,std,,6
nagaoka_fireworks_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.007648,0.556254,0.636350,0.002565,,stat_std:stat:std:None:None:8:None:binary:0,stat,,std,,8
nagaoka_fireworks_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.003689,0.666667,0.636459,0.000847,,stat_std:stat:std:None:None:10:None:binary:0,stat,,std,,10
