folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.216044,0.461768,0.622757,0.171760,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.752639,0.643208,0.757851,0.233785,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.867007,0.901497,0.917059,0.035591,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.490793,0.437389,0.584611,0.287454,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
nagaoka_fireworks_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.658048,0.541868,0.672824,0.234689,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
nagaoka_fireworks_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.800135,0.794343,0.851757,0.057266,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
hocho_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.268667,0.378623,0.573049,0.250752,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
hocho_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.614664,0.548081,0.675065,0.266216,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
hocho_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.562089,0.902392,0.818363,0.020746,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
ex_R_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.777859,0.500354,0.636187,0.446953,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
ex_R_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.887289,0.748757,0.850513,0.133253,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
ex_R_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.904761,0.952770,0.948978,0.009132,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_G_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.193028,0.426025,0.611372,0.173481,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_G_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.706660,0.633032,0.743962,0.220424,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_G_12,frame_00000.png,frame_00117.png,rice_G_12/rgb_max_stat_std_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.903094,0.912807,0.933287,0.023734,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
nagaoka_fireworks_G_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.489948,0.445598,0.592215,0.266647,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
nagaoka_fireworks_G_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.677072,0.516853,0.651868,0.259195,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
nagaoka_fireworks_G_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.733596,0.818514,0.843730,0.044016,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
hocho_G_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.339516,0.405673,0.578282,0.255660,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
hocho_G_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.370463,0.467010,0.616724,0.208315,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
hocho_G_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.317019,0.885595,0.736333,0.013457,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
ex_G_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.659528,0.485424,0.621361,0.415956,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
ex_G_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.894692,0.640213,0.778520,0.267816,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
ex_G_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.911737,0.938276,0.946009,0.012825,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_B_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.234578,0.487048,0.631243,0.155485,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_B_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.656746,0.673022,0.758773,0.172916,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_B_12,frame_00000.png,frame_00117.png,rice_B_12/rgb_max_stat_std_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.802634,0.911251,0.899646,0.017003,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
nagaoka_fireworks_B_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.522629,0.467476,0.609300,0.265979,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
nagaoka_fireworks_B_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.677596,0.547174,0.678340,0.227161,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
nagaoka_fireworks_B_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.780655,0.848300,0.869266,0.033145,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
hocho_B_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.305120,0.383157,0.568010,0.281080,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
hocho_B_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.406820,0.430504,0.587949,0.305665,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
hocho_B_12,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.829786,0.696513,0.806322,0.132524,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
ex_B_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.658596,0.483483,0.619398,0.431912,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
ex_B_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.832092,0.612776,0.747337,0.293798,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
ex_B_12,frame_00000.png,frame_00117.png,ex_B_12/rgb_max_stat_std_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.721773,0.933663,0.879988,0.010285,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_I_4,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.326757,0.485486,0.628671,0.195422,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_I_8,frame_00000.png,frame_00117.png,,,,0,decode失敗,QR未検出,0.672379,0.669891,0.759999,0.176647,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
rice_I_12,frame_00000.png,frame_00117.png,rice_I_12/rgb_max_stat_std_gray/00000-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.808658,0.907880,0.900426,0.018249,,stat_std_num:stat:std:None:None:0:None:gray:0,stat,,std,,0
