image,region,channel,mean,std,p05,p50,p95,frac_near_low,frac_near_high
ex,qr_black,B,171.654,53.809,57.000,187.000,237.000,0.0002,0.0318
ex,qr_black,G,140.595,50.248,44.000,146.000,216.000,0.0024,0.0079
ex,qr_black,R,129.448,44.288,46.000,131.000,202.000,0.0040,0.0032
ex,qr_black,max_is_B,0.8814,,,,,,
ex,qr_black,max_is_G,0.0000,,,,,,
ex,qr_black,max_is_R,0.1186,,,,,,
ex,qr_black,min_is_B,0.0075,,,,,,
ex,qr_black,min_is_G,0.1943,,,,,,
ex,qr_black,min_is_R,0.7982,,,,,,
ex,roi_all,B,169.561,57.156,52.000,185.000,243.000,0.0016,0.0576
ex,roi_all,G,137.489,54.433,36.000,142.000,225.000,0.0111,0.0187
ex,roi_all,R,124.372,49.036,34.000,124.000,210.000,0.0151,0.0025
ex,roi_all,max_is_B,0.9036,,,,,,
ex,roi_all,max_is_G,0.0001,,,,,,
ex,roi_all,max_is_R,0.0963,,,,,,
ex,roi_all,min_is_B,0.0059,,,,,,
ex,roi_all,min_is_G,0.1688,,,,,,
ex,roi_all,min_is_R,0.8254,,,,,,
rice,qr_black,B,111.162,59.550,25.000,105.000,220.000,0.0044,0.0111
rice,qr_black,G,161.122,52.526,55.000,168.000,238.000,0.0001,0.0386
rice,qr_black,R,186.916,48.994,83.000,200.000,243.000,0.0000,0.0919
rice,qr_black,max_is_B,0.0105,,,,,,
rice,qr_black,max_is_G,0.0257,,,,,,
rice,qr_black,max_is_R,0.9638,,,,,,
rice,qr_black,min_is_B,0.9995,,,,,,
rice,qr_black,min_is_G,0.0003,,,,,,
rice,qr_black,min_is_R,0.0003,,,,,,
rice,roi_all,B,119.933,68.234,17.000,111.000,243.000,0.0347,0.0533
rice,roi_all,G,161.789,61.183,43.000,171.000,243.000,0.0001,0.1092
rice,roi_all,R,184.690,56.721,65.000,200.000,243.000,0.0000,0.1753
rice,roi_all,max_is_B,0.0523,,,,,,
rice,roi_all,max_is_G,0.0536,,,,,,
rice,roi_all,max_is_R,0.8941,,,,,,
rice,roi_all,min_is_B,0.9990,,,,,,
rice,roi_all,min_is_G,0.0004,,,,,,
rice,roi_all,min_is_R,0.0006,,,,,,
hocho,qr_black,B,29.508,43.574,12.000,12.000,159.000,0.7030,0.0000
hocho,qr_black,G,62.951,60.733,12.000,37.000,219.000,0.0802,0.0013
hocho,qr_black,R,163.428,71.134,35.000,168.000,243.000,0.0138,0.2262
hocho,qr_black,max_is_B,0.0124,,,,,,
hocho,qr_black,max_is_G,0.0045,,,,,,
hocho,qr_black,max_is_R,0.9831,,,,,,
hocho,qr_black,min_is_B,0.9988,,,,,,
hocho,qr_black,min_is_G,0.0003,,,,,,
hocho,qr_black,min_is_R,0.0008,,,,,,
hocho,roi_all,B,42.151,56.202,12.000,12.000,167.000,0.6298,0.0000
hocho,roi_all,G,72.756,74.212,12.000,35.000,224.000,0.1126,0.0028
hocho,roi_all,R,155.688,74.469,27.000,156.000,243.000,0.0190,0.2069
hocho,roi_all,max_is_B,0.0169,,,,,,
hocho,roi_all,max_is_G,0.0043,,,,,,
hocho,roi_all,max_is_R,0.9788,,,,,,
hocho,roi_all,min_is_B,0.9993,,,,,,
hocho,roi_all,min_is_G,0.0003,,,,,,
hocho,roi_all,min_is_R,0.0004,,,,,,
nagaoka_fireworks,qr_black,B,111.173,71.063,12.000,114.000,243.000,0.0918,0.1060
nagaoka_fireworks,qr_black,G,89.854,70.296,12.000,79.000,243.000,0.1252,0.1069
nagaoka_fireworks,qr_black,R,112.133,74.715,12.000,116.000,243.000,0.1041,0.1092
nagaoka_fireworks,qr_black,max_is_B,0.5627,,,,,,
nagaoka_fireworks,qr_black,max_is_G,0.0112,,,,,,
nagaoka_fireworks,qr_black,max_is_R,0.4261,,,,,,
nagaoka_fireworks,qr_black,min_is_B,0.2678,,,,,,
nagaoka_fireworks,qr_black,min_is_G,0.6578,,,,,,
nagaoka_fireworks,qr_black,min_is_R,0.0744,,,,,,
nagaoka_fireworks,roi_all,B,93.702,73.336,12.000,85.000,243.000,0.2084,0.0807
nagaoka_fireworks,roi_all,G,77.864,69.688,12.000,61.000,243.000,0.2495,0.0811
nagaoka_fireworks,roi_all,R,96.843,77.265,12.000,85.000,243.000,0.2289,0.0848
nagaoka_fireworks,roi_all,max_is_B,0.5908,,,,,,
nagaoka_fireworks,roi_all,max_is_G,0.0100,,,,,,
nagaoka_fireworks,roi_all,max_is_R,0.3992,,,,,,
nagaoka_fireworks,roi_all,min_is_B,0.3860,,,,,,
nagaoka_fireworks,roi_all,min_is_G,0.5375,,,,,,
nagaoka_fireworks,roi_all,min_is_R,0.0766,,,,,,
