pass,image,channel,channel_token,n_ok,n,decode_rate,pixel_acc_best_mean
accum,ex,R,R,4,21,0.1905,0.8866
accum,ex,G,G,10,21,0.4762,0.8716
accum,ex,B,B,4,21,0.1905,0.8434
accum,ex,max,X,3,21,0.1429,0.8380
accum,ex,min,I,4,21,0.1905,0.8726
accum,rice,R,R,9,21,0.4286,0.8606
accum,rice,G,G,8,21,0.3810,0.8523
accum,rice,B,B,0,21,0.0000,0.8395
accum,rice,max,X,3,21,0.1429,0.8476
accum,rice,min,I,0,21,0.0000,0.8386
accum,hocho,R,R,0,21,0.0000,0.7817
accum,hocho,G,G,0,21,0.0000,0.7625
accum,hocho,B,B,2,21,0.0952,0.7236
accum,hocho,max,X,0,21,0.0000,0.7784
accum,hocho,min,I,1,21,0.0476,0.7213
accum,nagaoka_fireworks,R,R,2,21,0.0952,0.8092
accum,nagaoka_fireworks,G,G,3,21,0.1429,0.8061
accum,nagaoka_fireworks,B,B,0,21,0.0000,0.8171
accum,nagaoka_fireworks,max,X,0,21,0.0000,0.7904
accum,nagaoka_fireworks,min,I,0,21,0.0000,0.7724
