pass,image,channel,intensity,n_ok,n,decode_rate
pair,ex,R,4,0,7,0.0000
pair,ex,R,8,1,7,0.1429
pair,ex,R,12,5,7,0.7143
pair,ex,G,4,0,7,0.0000
pair,ex,G,8,1,7,0.1429
pair,ex,G,12,4,7,0.5714
pair,ex,B,4,0,7,0.0000
pair,ex,B,8,1,7,0.1429
pair,ex,B,12,2,7,0.2857
pair,ex,max,4,0,7,0.0000
pair,ex,max,8,2,7,0.2857
pair,ex,max,12,2,7,0.2857
pair,ex,min,4,0,7,0.0000
pair,ex,min,8,0,7,0.0000
pair,ex,min,12,4,7,0.5714
pair,rice,R,4,0,7,0.0000
pair,rice,R,8,2,7,0.2857
pair,rice,R,12,5,7,0.7143
pair,rice,G,4,0,7,0.0000
pair,rice,G,8,2,7,0.2857
pair,rice,G,12,5,7,0.7143
pair,rice,B,4,0,7,0.0000
pair,rice,B,8,0,7,0.0000
pair,rice,B,12,0,7,0.0000
pair,rice,max,4,0,7,0.0000
pair,rice,max,8,0,7,0.0000
pair,rice,max,12,1,7,0.1429
pair,rice,min,4,0,7,0.0000
pair,rice,min,8,0,7,0.0000
pair,rice,min,12,0,7,0.0000
pair,hocho,R,4,0,7,0.0000
pair,hocho,R,8,0,7,0.0000
pair,hocho,R,12,1,7,0.1429
pair,hocho,G,4,0,7,0.0000
pair,hocho,G,8,0,7,0.0000
pair,hocho,G,12,0,7,0.0000
pair,hocho,B,4,0,7,0.0000
pair,hocho,B,8,0,7,0.0000
pair,hocho,B,12,2,7,0.2857
pair,hocho,max,4,0,7,0.0000
pair,hocho,max,8,0,7,0.0000
pair,hocho,max,12,1,7,0.1429
pair,hocho,min,4,0,7,0.0000
pair,hocho,min,8,0,7,0.0000
pair,hocho,min,12,0,7,0.0000
pair,nagaoka_fireworks,R,4,0,7,0.0000
pair,nagaoka_fireworks,R,8,0,7,0.0000
pair,nagaoka_fireworks,R,12,0,7,0.0000
pair,nagaoka_fireworks,G,4,0,7,0.0000
pair,nagaoka_fireworks,G,8,0,7,0.0000
pair,nagaoka_fireworks,G,12,0,7,0.0000
pair,nagaoka_fireworks,B,4,0,7,0.0000
pair,nagaoka_fireworks,B,8,0,7,0.0000
pair,nagaoka_fireworks,B,12,0,7,0.0000
pair,nagaoka_fireworks,max,4,0,7,0.0000
pair,nagaoka_fireworks,max,8,0,7,0.0000
pair,nagaoka_fireworks,max,12,0,7,0.0000
pair,nagaoka_fireworks,min,4,0,7,0.0000
pair,nagaoka_fireworks,min,8,0,7,0.0000
pair,nagaoka_fireworks,min,12,0,7,0.0000
accum,ex,R,4,0,7,0.0000
accum,ex,R,8,0,7,0.0000
accum,ex,R,12,4,7,0.5714
accum,ex,G,4,0,7,0.0000
accum,ex,G,8,3,7,0.4286
accum,ex,G,12,7,7,1.0000
accum,ex,B,4,0,7,0.0000
accum,ex,B,8,2,7,0.2857
accum,ex,B,12,2,7,0.2857
accum,ex,max,4,0,7,0.0000
accum,ex,max,8,1,7,0.1429
accum,ex,max,12,2,7,0.2857
accum,ex,min,4,0,7,0.0000
accum,ex,min,8,0,7,0.0000
accum,ex,min,12,4,7,0.5714
accum,rice,R,4,0,7,0.0000
accum,rice,R,8,3,7,0.4286
accum,rice,R,12,6,7,0.8571
accum,rice,G,4,0,7,0.0000
accum,rice,G,8,2,7,0.2857
accum,rice,G,12,6,7,0.8571
accum,rice,B,4,0,7,0.0000
accum,rice,B,8,0,7,0.0000
accum,rice,B,12,0,7,0.0000
accum,rice,max,4,0,7,0.0000
accum,rice,max,8,0,7,0.0000
accum,rice,max,12,3,7,0.4286
accum,rice,min,4,0,7,0.0000
accum,rice,min,8,0,7,0.0000
accum,rice,min,12,0,7,0.0000
accum,hocho,R,4,0,7,0.0000
accum,hocho,R,8,0,7,0.0000
accum,hocho,R,12,0,7,0.0000
accum,hocho,G,4,0,7,0.0000
accum,hocho,G,8,0,7,0.0000
accum,hocho,G,12,0,7,0.0000
accum,hocho,B,4,0,7,0.0000
accum,hocho,B,8,0,7,0.0000
accum,hocho,B,12,2,7,0.2857
accum,hocho,max,4,0,7,0.0000
accum,hocho,max,8,0,7,0.0000
accum,hocho,max,12,0,7,0.0000
accum,hocho,min,4,0,7,0.0000
accum,hocho,min,8,0,7,0.0000
accum,hocho,min,12,1,7,0.1429
accum,nagaoka_fireworks,R,4,0,7,0.0000
accum,nagaoka_fireworks,R,8,0,7,0.0000
accum,nagaoka_fireworks,R,12,2,7,0.2857
accum,nagaoka_fireworks,G,4,0,7,0.0000
accum,nagaoka_fireworks,G,8,0,7,0.0000
accum,nagaoka_fireworks,G,12,3,7,0.4286
accum,nagaoka_fireworks,B,4,0,7,0.0000
accum,nagaoka_fireworks,B,8,0,7,0.0000
accum,nagaoka_fireworks,B,12,0,7,0.0000
accum,nagaoka_fireworks,max,4,0,7,0.0000
accum,nagaoka_fireworks,max,8,0,7,0.0000
accum,nagaoka_fireworks,max,12,0,7,0.0000
accum,nagaoka_fireworks,min,4,0,7,0.0000
accum,nagaoka_fireworks,min,8,0,7,0.0000
accum,nagaoka_fireworks,min,12,0,7,0.0000
lockin,ex,R,4,0,7,0.0000
lockin,ex,R,8,0,7,0.0000
lockin,ex,R,12,4,7,0.5714
lockin,ex,G,4,0,7,0.0000
lockin,ex,G,8,0,7,0.0000
lockin,ex,G,12,1,7,0.1429
lockin,ex,B,4,0,7,0.0000
lockin,ex,B,8,0,7,0.0000
lockin,ex,B,12,0,7,0.0000
lockin,ex,max,4,0,7,0.0000
lockin,ex,max,8,0,7,0.0000
lockin,ex,max,12,1,7,0.1429
lockin,ex,min,4,0,7,0.0000
lockin,ex,min,8,0,7,0.0000
lockin,ex,min,12,5,7,0.7143
lockin,rice,R,4,0,7,0.0000
lockin,rice,R,8,0,7,0.0000
lockin,rice,R,12,6,7,0.8571
lockin,rice,G,4,0,7,0.0000
lockin,rice,G,8,0,7,0.0000
lockin,rice,G,12,2,7,0.2857
lockin,rice,B,4,0,7,0.0000
lockin,rice,B,8,0,7,0.0000
lockin,rice,B,12,0,7,0.0000
lockin,rice,max,4,0,7,0.0000
lockin,rice,max,8,0,7,0.0000
lockin,rice,max,12,5,7,0.7143
lockin,rice,min,4,0,7,0.0000
lockin,rice,min,8,0,7,0.0000
lockin,rice,min,12,0,7,0.0000
lockin,hocho,R,4,0,7,0.0000
lockin,hocho,R,8,0,7,0.0000
lockin,hocho,R,12,1,7,0.1429
lockin,hocho,G,4,0,7,0.0000
lockin,hocho,G,8,0,7,0.0000
lockin,hocho,G,12,6,7,0.8571
lockin,hocho,B,4,0,7,0.0000
lockin,hocho,B,8,0,7,0.0000
lockin,hocho,B,12,7,7,1.0000
lockin,hocho,max,4,0,7,0.0000
lockin,hocho,max,8,0,7,0.0000
lockin,hocho,max,12,2,7,0.2857
lockin,hocho,min,4,0,7,0.0000
lockin,hocho,min,8,0,7,0.0000
lockin,hocho,min,12,6,7,0.8571
lockin,nagaoka_fireworks,R,4,0,7,0.0000
lockin,nagaoka_fireworks,R,8,0,7,0.0000
lockin,nagaoka_fireworks,R,12,1,7,0.1429
lockin,nagaoka_fireworks,G,4,0,7,0.0000
lockin,nagaoka_fireworks,G,8,0,7,0.0000
lockin,nagaoka_fireworks,G,12,0,7,0.0000
lockin,nagaoka_fireworks,B,4,0,7,0.0000
lockin,nagaoka_fireworks,B,8,0,7,0.0000
lockin,nagaoka_fireworks,B,12,0,7,0.0000
lockin,nagaoka_fireworks,max,4,0,7,0.0000
lockin,nagaoka_fireworks,max,8,0,7,0.0000
lockin,nagaoka_fireworks,max,12,0,7,0.0000
lockin,nagaoka_fireworks,min,4,0,7,0.0000
lockin,nagaoka_fireworks,min,8,0,7,0.0000
lockin,nagaoka_fireworks,min,12,1,7,0.1429
