pass,image,channel,channel_token,n_ok,n,decode_rate,pixel_acc_best_mean
fourier,ex,R,R,0,21,0.0000,0.6508
fourier,ex,G,G,0,21,0.0000,0.6422
fourier,ex,B,B,0,21,0.0000,0.6445
fourier,ex,max,X,0,21,0.0000,0.6429
fourier,ex,min,I,0,21,0.0000,0.6440
fourier,rice,R,R,0,21,0.0000,0.6448
fourier,rice,G,G,0,21,0.0000,0.6427
fourier,rice,B,B,0,21,0.0000,0.6439
fourier,rice,max,X,0,21,0.0000,0.6448
fourier,rice,min,I,0,21,0.0000,0.6441
fourier,hocho,R,R,0,21,0.0000,0.6411
fourier,hocho,G,G,0,21,0.0000,0.6387
fourier,hocho,B,B,0,21,0.0000,0.6369
fourier,hocho,max,X,0,21,0.0000,0.6420
fourier,hocho,min,I,0,21,0.0000,0.6368
fourier,nagaoka_fireworks,R,R,0,21,0.0000,0.6350
fourier,nagaoka_fireworks,G,G,0,21,0.0000,0.6323
fourier,nagaoka_fireworks,B,B,0,21,0.0000,0.6371
fourier,nagaoka_fireworks,max,X,0,21,0.0000,0.6315
fourier,nagaoka_fireworks,min,I,0,21,0.0000,0.6315
