pass,image,channel,channel_token,n_ok,n,decode_rate,pixel_acc_best_mean
lockin,ex,R,R,4,21,0.1905,0.8836
lockin,ex,G,G,1,21,0.0476,0.8301
lockin,ex,B,B,0,21,0.0000,0.8259
lockin,ex,max,X,1,21,0.0476,0.8351
lockin,ex,min,I,5,21,0.2381,0.8856
lockin,rice,R,R,6,21,0.2857,0.8686
lockin,rice,G,G,2,21,0.0952,0.8471
lockin,rice,B,B,0,21,0.0000,0.8269
lockin,rice,max,X,5,21,0.2381,0.8625
lockin,rice,min,I,0,21,0.0000,0.8236
lockin,hocho,R,R,1,21,0.0476,0.8352
lockin,hocho,G,G,6,21,0.2857,0.8138
lockin,hocho,B,B,7,21,0.3333,0.7621
lockin,hocho,max,X,2,21,0.0952,0.8352
lockin,hocho,min,I,6,21,0.2857,0.7536
lockin,nagaoka_fireworks,R,R,1,21,0.0476,0.8309
lockin,nagaoka_fireworks,G,G,0,21,0.0000,0.7936
lockin,nagaoka_fireworks,B,B,0,21,0.0000,0.8222
lockin,nagaoka_fireworks,max,X,0,21,0.0000,0.8298
lockin,nagaoka_fireworks,min,I,1,21,0.0476,0.7707
