pass,image,channel,channel_token,n_ok,n,decode_rate,pixel_acc_best_mean
pair,ex,R,R,6,21,0.2857,0.8705
pair,ex,G,G,5,21,0.2381,0.8542
pair,ex,B,B,3,21,0.1429,0.8271
pair,ex,max,X,4,21,0.1905,0.8258
pair,ex,min,I,4,21,0.1905,0.8567
pair,rice,R,R,7,21,0.3333,0.8394
pair,rice,G,G,7,21,0.3333,0.8300
pair,rice,B,B,0,21,0.0000,0.8254
pair,rice,max,X,1,21,0.0476,0.8334
pair,rice,min,I,0,21,0.0000,0.8293
pair,hocho,R,R,1,21,0.0476,0.7686
pair,hocho,G,G,0,21,0.0000,0.7586
pair,hocho,B,B,2,21,0.0952,0.7189
pair,hocho,max,X,1,21,0.0476,0.7705
pair,hocho,min,I,0,21,0.0000,0.7181
pair,nagaoka_fireworks,R,R,0,21,0.0000,0.8022
pair,nagaoka_fireworks,G,G,0,21,0.0000,0.8015
pair,nagaoka_fireworks,B,B,0,21,0.0000,0.7999
pair,nagaoka_fireworks,max,X,0,21,0.0000,0.7826
pair,nagaoka_fireworks,min,I,0,21,0.0000,0.7679
