pass,image,channel,channel_token,n_ok,n,decode_rate,pixel_acc_best_mean
stat_std,ex,R,R,2,21,0.0952,0.8853
stat_std,ex,G,G,4,21,0.1905,0.8681
stat_std,ex,B,B,3,21,0.1429,0.8430
stat_std,ex,max,X,2,21,0.0952,0.8372
stat_std,ex,min,I,0,21,0.0000,0.8719
stat_std,rice,R,R,9,21,0.4286,0.8493
stat_std,rice,G,G,7,21,0.3333,0.8434
stat_std,rice,B,B,0,21,0.0000,0.8354
stat_std,rice,max,X,1,21,0.0476,0.8374
stat_std,rice,min,I,0,21,0.0000,0.8352
stat_std,hocho,R,R,0,21,0.0000,0.7773
stat_std,hocho,G,G,0,21,0.0000,0.7567
stat_std,hocho,B,B,0,21,0.0000,0.7214
stat_std,hocho,max,X,0,21,0.0000,0.7751
stat_std,hocho,min,I,0,21,0.0000,0.7179
stat_std,nagaoka_fireworks,R,R,1,21,0.0476,0.8075
stat_std,nagaoka_fireworks,G,G,1,21,0.0476,0.8030
stat_std,nagaoka_fireworks,B,B,0,21,0.0000,0.8184
stat_std,nagaoka_fireworks,max,X,0,21,0.0000,0.7890
stat_std,nagaoka_fireworks,min,I,0,21,0.0000,0.7721
