image,channel,intensity,mean_abs_signal,median_abs_signal,ideal_2i_over_255,frac_of_ideal
ex,R,4,0.031373,0.031373,0.031373,1.0000
ex,R,8,0.062745,0.062745,0.062745,1.0000
ex,R,12,0.094118,0.094118,0.094118,1.0000
ex,G,4,0.031373,0.031373,0.031373,1.0000
ex,G,8,0.062745,0.062745,0.062745,1.0000
ex,G,12,0.094118,0.094118,0.094118,1.0000
ex,B,4,0.031373,0.031373,0.031373,1.0000
ex,B,8,0.062745,0.062745,0.062745,1.0000
ex,B,12,0.094118,0.094118,0.094118,1.0000
ex,max,4,0.031373,0.031373,0.031373,1.0000
ex,max,8,0.062745,0.062745,0.062745,1.0000
ex,max,12,0.094118,0.094118,0.094118,1.0000
ex,min,4,0.031373,0.031373,0.031373,1.0000
ex,min,8,0.062745,0.062745,0.062745,1.0000
ex,min,12,0.094118,0.094118,0.094118,1.0000
rice,R,4,0.031373,0.031373,0.031373,1.0000
rice,R,8,0.062745,0.062745,0.062745,1.0000
rice,R,12,0.094118,0.094118,0.094118,1.0000
rice,G,4,0.031373,0.031373,0.031373,1.0000
rice,G,8,0.062745,0.062745,0.062745,1.0000
rice,G,12,0.094118,0.094118,0.094118,1.0000
rice,B,4,0.031373,0.031373,0.031373,1.0000
rice,B,8,0.062745,0.062745,0.062745,1.0000
rice,B,12,0.094118,0.094118,0.094118,1.0000
rice,max,4,0.031373,0.031373,0.031373,1.0000
rice,max,8,0.062745,0.062745,0.062745,1.0000
rice,max,12,0.094118,0.094118,0.094118,1.0000
rice,min,4,0.031373,0.031373,0.031373,1.0000
rice,min,8,0.062745,0.062745,0.062745,1.0000
rice,min,12,0.094118,0.094118,0.094118,1.0000
hocho,R,4,0.031373,0.031373,0.031373,1.0000
hocho,R,8,0.062745,0.062745,0.062745,1.0000
hocho,R,12,0.094118,0.094118,0.094118,1.0000
hocho,G,4,0.031373,0.031373,0.031373,1.0000
hocho,G,8,0.062745,0.062745,0.062745,1.0000
hocho,G,12,0.094118,0.094118,0.094118,1.0000
hocho,B,4,0.031373,0.031373,0.031373,1.0000
hocho,B,8,0.062745,0.062745,0.062745,1.0000
hocho,B,12,0.094118,0.094118,0.094118,1.0000
hocho,max,4,0.031373,0.031373,0.031373,1.0000
hocho,max,8,0.062745,0.062745,0.062745,1.0000
hocho,max,12,0.094118,0.094118,0.094118,1.0000
hocho,min,4,0.031373,0.031373,0.031373,1.0000
hocho,min,8,0.062745,0.062745,0.062745,1.0000
hocho,min,12,0.094118,0.094118,0.094118,1.0000
nagaoka_fireworks,R,4,0.031373,0.031373,0.031373,1.0000
nagaoka_fireworks,R,8,0.062745,0.062745,0.062745,1.0000
nagaoka_fireworks,R,12,0.094118,0.094118,0.094118,1.0000
nagaoka_fireworks,G,4,0.031373,0.031373,0.031373,1.0000
nagaoka_fireworks,G,8,0.062745,0.062745,0.062745,1.0000
nagaoka_fireworks,G,12,0.094118,0.094118,0.094118,1.0000
nagaoka_fireworks,B,4,0.031373,0.031373,0.031373,1.0000
nagaoka_fireworks,B,8,0.062745,0.062745,0.062745,1.0000
nagaoka_fireworks,B,12,0.094118,0.094118,0.094118,1.0000
nagaoka_fireworks,max,4,0.031373,0.031373,0.031373,1.0000
nagaoka_fireworks,max,8,0.062745,0.062745,0.062745,1.0000
nagaoka_fireworks,max,12,0.094118,0.094118,0.094118,1.0000
nagaoka_fireworks,min,4,0.031373,0.031373,0.031373,1.0000
nagaoka_fireworks,min,8,0.062745,0.062745,0.062745,1.0000
nagaoka_fireworks,min,12,0.094118,0.094118,0.094118,1.0000
