image,channel,intensity,mean_room_down,mean_room_up,frac_clip_darken,frac_clip_brighten,frac_insufficient_headroom
ex,R,4,129.448,125.552,0.0000,0.0000,0.0000
ex,R,8,129.448,125.552,0.0000,0.0000,0.0000
ex,R,12,129.448,125.552,0.0000,0.0000,0.0000
ex,G,4,140.595,114.405,0.0000,0.0000,0.0000
ex,G,8,140.595,114.405,0.0000,0.0000,0.0000
ex,G,12,140.595,114.405,0.0000,0.0000,0.0000
ex,B,4,171.654,83.346,0.0000,0.0000,0.0000
ex,B,8,171.654,83.346,0.0000,0.0000,0.0000
ex,B,12,171.654,83.346,0.0000,0.0000,0.0000
rice,R,4,186.916,68.084,0.0000,0.0000,0.0000
rice,R,8,186.916,68.084,0.0000,0.0000,0.0000
rice,R,12,186.916,68.084,0.0000,0.0000,0.0000
rice,G,4,161.122,93.878,0.0000,0.0000,0.0000
rice,G,8,161.122,93.878,0.0000,0.0000,0.0000
rice,G,12,161.122,93.878,0.0000,0.0000,0.0000
rice,B,4,111.162,143.838,0.0000,0.0000,0.0000
rice,B,8,111.162,143.838,0.0000,0.0000,0.0000
rice,B,12,111.162,143.838,0.0000,0.0000,0.0000
hocho,R,4,163.428,91.572,0.0000,0.0000,0.0000
hocho,R,8,163.428,91.572,0.0000,0.0000,0.0000
hocho,R,12,163.428,91.572,0.0000,0.0000,0.0000
hocho,G,4,62.951,192.049,0.0000,0.0000,0.0000
hocho,G,8,62.951,192.049,0.0000,0.0000,0.0000
hocho,G,12,62.951,192.049,0.0000,0.0000,0.0000
hocho,B,4,29.508,225.492,0.0000,0.0000,0.0000
hocho,B,8,29.508,225.492,0.0000,0.0000,0.0000
hocho,B,12,29.508,225.492,0.0000,0.0000,0.0000
nagaoka_fireworks,R,4,112.133,142.867,0.0000,0.0000,0.0000
nagaoka_fireworks,R,8,112.133,142.867,0.0000,0.0000,0.0000
nagaoka_fireworks,R,12,112.133,142.867,0.0000,0.0000,0.0000
nagaoka_fireworks,G,4,89.854,165.146,0.0000,0.0000,0.0000
nagaoka_fireworks,G,8,89.854,165.146,0.0000,0.0000,0.0000
nagaoka_fireworks,G,12,89.854,165.146,0.0000,0.0000,0.0000
nagaoka_fireworks,B,4,111.173,143.827,0.0000,0.0000,0.0000
nagaoka_fireworks,B,8,111.173,143.827,0.0000,0.0000,0.0000
nagaoka_fireworks,B,12,111.173,143.827,0.0000,0.0000,0.0000
