image,image_jp,channel,sobel_mean,sobel_std,sobel_p95,lap_abs_mean,lap_var
ex,実験,R,35.01013946533203,43.31019592285156,121.82774353027344,21.751873016357422,1523.6492919921875
ex,実験,G,36.14413070678711,46.576698303222656,130.9809112548828,22.567829132080078,1718.179443359375
ex,実験,B,32.00541687011719,45.04497528076172,116.0,20.04181671142578,1493.861572265625
ex,実験,gray,34.68352508544922,44.3061408996582,124.42668151855469,21.696443557739258,1565.1995849609375
rice,自然,R,19.458438873291016,43.73351287841797,55.44366455078125,12.409489631652832,1210.26708984375
rice,自然,G,21.207834243774414,43.07654571533203,65.6201171875,13.28109359741211,1187.05517578125
rice,自然,B,23.281835556030273,43.574119567871094,79.12016296386719,14.7747163772583,1225.5826416015625
rice,自然,gray,20.554946899414062,42.90439224243164,63.19810104370117,12.982133865356445,1172.6348876953125
hocho,工事,R,67.39051055908203,126.42263793945312,307.4780578613281,39.52295684814453,7739.45068359375
hocho,工事,G,57.081668853759766,122.0527572631836,260.0692138671875,40.41389083862305,7914.35498046875
hocho,工事,B,34.785030364990234,97.75709533691406,162.806640625,27.46830177307129,6109.80419921875
hocho,工事,gray,55.82755661010742,118.7266616821289,252.0714111328125,38.271915435791016,7515.96826171875
nagaoka_fireworks,花火,R,68.83943176269531,107.67593383789062,284.97894287109375,40.237060546875,6747.83984375
nagaoka_fireworks,花火,G,71.44080352783203,111.23950958251953,301.0494079589844,43.232303619384766,7530.5029296875
nagaoka_fireworks,花火,B,69.5862808227539,112.27177429199219,316.0719909667969,42.4976692199707,7800.41162109375
nagaoka_fireworks,花火,gray,69.84540557861328,108.51409149169922,290.133056640625,41.97040557861328,7113.087890625
