image,channel,grad_mean,grad_std,grad_p95
ex,B,32.0054,45.0450,116.0000
ex,G,36.1441,46.5767,130.9809
ex,R,35.0101,43.3102,121.8277
ex,gray,34.6835,44.3061,124.4267
rice,B,23.2818,43.5741,79.1202
rice,G,21.2078,43.0765,65.6201
rice,R,19.4584,43.7335,55.4437
rice,gray,20.5549,42.9044,63.1981
hocho,B,34.7850,97.7571,162.8066
hocho,G,57.0817,122.0528,260.0692
hocho,R,67.3905,126.4226,307.4781
hocho,gray,55.8276,118.7267,252.0714
nagaoka_fireworks,B,69.5863,112.2718,316.0720
nagaoka_fireworks,G,71.4408,111.2395,301.0494
nagaoka_fireworks,R,68.8394,107.6759,284.9789
nagaoka_fireworks,gray,69.8454,108.5141,290.1331
