image,image_jp,channel,mean,pixel_var,pixel_std,sobel,lap_var,pair_ok,pair_n,pair_pct,accum_ok,accum_n,accum_pct,lockin_ok,lockin_n,lockin_pct,fourier_ok,fourier_n,fourier_pct
ex,実験,R,129.448,1961.4269439999998,44.288,35.01013946533203,1523.6492919921875,15,54,27.77777777777778,16,54,29.62962962962963,5,54,9.25925925925926,18,54,33.333333333333336
ex,実験,G,140.595,2524.861504,50.248,36.14413070678711,1718.179443359375,17,54,31.48148148148148,21,54,38.888888888888886,15,54,27.77777777777778,15,54,27.77777777777778
ex,実験,B,171.654,2895.408481,53.809,32.00541687011719,1493.861572265625,13,54,24.074074074074073,18,54,33.333333333333336,17,54,31.48148148148148,16,54,29.62962962962963
rice,自然,R,186.916,2400.412036,48.994,19.458438873291016,1210.26708984375,18,54,33.333333333333336,23,54,42.592592592592595,27,54,50.0,22,54,40.74074074074074
rice,自然,G,161.122,2758.980676,52.526,21.207834243774414,1187.05517578125,18,54,33.333333333333336,26,54,48.148148148148145,23,54,42.592592592592595,22,54,40.74074074074074
rice,自然,B,111.162,3546.2025,59.55,23.281835556030273,1225.5826416015625,1,54,1.8518518518518519,0,54,0.0,0,54,0.0,3,54,5.555555555555555
hocho,工事,R,163.428,5060.045956,71.134,67.39051055908203,7739.45068359375,4,54,7.407407407407407,10,54,18.51851851851852,4,54,7.407407407407407,2,54,3.7037037037037037
hocho,工事,G,62.951,3688.4972889999995,60.733,57.081668853759766,7914.35498046875,2,54,3.7037037037037037,6,54,11.11111111111111,11,54,20.37037037037037,3,54,5.555555555555555
hocho,工事,B,29.508,1898.693476,43.574,34.785030364990234,6109.80419921875,0,54,0.0,5,54,9.25925925925926,14,54,25.925925925925927,2,54,3.7037037037037037
nagaoka_fireworks,花火,R,112.133,5582.331225000001,74.715,68.83943176269531,6747.83984375,1,54,1.8518518518518519,9,54,16.666666666666668,2,54,3.7037037037037037,5,54,9.25925925925926
nagaoka_fireworks,花火,G,89.854,4941.527616000001,70.296,71.44080352783203,7530.5029296875,4,54,7.407407407407407,6,54,11.11111111111111,2,54,3.7037037037037037,3,54,5.555555555555555
nagaoka_fireworks,花火,B,111.173,5049.949969,71.063,69.5862808227539,7800.41162109375,2,54,3.7037037037037037,5,54,9.25925925925926,5,54,9.25925925925926,5,54,9.25925925925926
