folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.070468,0.393543,0.622951,0.240914,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.061272,0.390825,0.624365,0.229159,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
rice_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.050674,0.365459,0.623247,0.219268,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
rice_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.105481,0.433799,0.625105,0.258430,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
rice_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.095384,0.471608,0.632627,0.232303,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
rice_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.096145,0.524272,0.640031,0.214769,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
rice_R_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.125126,0.475549,0.632125,0.235852,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
rice_R_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.128503,0.458270,0.628298,0.256817,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
rice_R_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.096333,0.464043,0.631376,0.227444,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.248643,0.360619,0.566990,0.286638,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.196914,0.345210,0.572660,0.255625,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
nagaoka_fireworks_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.169961,0.337727,0.577477,0.233827,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
nagaoka_fireworks_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.253638,0.366156,0.569450,0.286151,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
nagaoka_fireworks_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.204699,0.351816,0.574169,0.254645,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
nagaoka_fireworks_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.196851,0.348161,0.574436,0.252263,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
nagaoka_fireworks_R_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.257969,0.373861,0.573574,0.274959,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
nagaoka_fireworks_R_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.262695,0.376522,0.574219,0.273525,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
nagaoka_fireworks_R_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.188590,0.367363,0.587337,0.222748,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
hocho_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.367862,0.405514,0.574536,0.362357,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
hocho_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.352649,0.393447,0.567424,0.362496,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
hocho_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.309982,0.402758,0.582432,0.314313,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
hocho_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.350534,0.399240,0.572534,0.362420,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
hocho_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.352587,0.399741,0.572561,0.360743,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
hocho_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.326978,0.411207,0.585510,0.329026,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
hocho_R_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.391578,0.406062,0.570995,0.370748,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
hocho_R_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.346209,0.416787,0.586588,0.325381,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
hocho_R_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.323071,0.423400,0.594341,0.292593,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
ex_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.087565,0.341782,0.607353,0.258864,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
ex_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.065863,0.347800,0.615861,0.237336,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
ex_R_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.055737,0.346573,0.618874,0.219655,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
ex_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.101275,0.360650,0.608373,0.264972,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
ex_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.096487,0.384655,0.615781,0.252878,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
ex_R_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.054740,0.362248,0.621677,0.200076,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
ex_R_12,frame_00000.png,frame_00118.png,ex_R_12/rgb_max_lockin_f297_ps8_gray/00000-00118-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.318143,0.599327,0.675098,0.253952,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
ex_R_12,frame_00000.png,frame_00118.png,ex_R_12/rgb_max_lockin_f297_ps8_gray/00000-00118-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.255503,0.600269,0.667800,0.229332,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
ex_R_12,frame_00000.png,frame_00118.png,ex_R_12/rgb_max_lockin_f297_ps8_gray/00000-00118-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.222065,0.607811,0.665410,0.219431,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
rice_G_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.088172,0.391366,0.619020,0.260107,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
rice_G_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.070584,0.373223,0.619382,0.249693,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
rice_G_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.054229,0.378170,0.624108,0.223996,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
rice_G_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.092734,0.409174,0.621845,0.250935,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
rice_G_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.080069,0.395625,0.621453,0.248654,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
rice_G_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.063107,0.401496,0.625551,0.224301,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
rice_G_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.138451,0.469616,0.630291,0.245962,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
rice_G_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.122337,0.454863,0.627980,0.242853,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
rice_G_12,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.107639,0.472749,0.632291,0.229795,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
nagaoka_fireworks_G_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.241874,0.354076,0.564388,0.289135,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
nagaoka_fireworks_G_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.209218,0.343760,0.567725,0.267777,,lockin_num:lockin::None:14.936281972115822:0:8:gray:0,lockin,,,14.936282,0
nagaoka_fireworks_G_4,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.166179,0.346026,0.583083,0.226170,,lockin_num:lockin::None:29.745127888463287:0:8:gray:0,lockin,,,29.745128,0
nagaoka_fireworks_G_8,frame_00000.png,frame_00118.png,,,,0,decode失敗,QR未検出,0.229605,0.356226,0.569483,0.278409,,lockin_num:lockin::None:9.872563944231644:0:8:gray:0,lockin,,,9.872564,0
