folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,pixel_acc_best,best_pair_frame_1,best_pair_frame_2,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
rice_R_4,QR未検出,,stat,,var,,0,0.631591,,0.631591,frame_00000.png,frame_00118.png,r120_e250_f1.mp4,120 Hz,1/250,蛍光灯あり,59.873 fps,0,rice,R,R,4,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_R_8,QR未検出,,stat,,var,,0,0.631353,,0.631353,frame_00000.png,frame_00118.png,,,,,,1,rice,R,R,8,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_R_12,QR未検出,,stat,,var,,0,0.637498,,0.637498,frame_00000.png,frame_00118.png,,,,,,2,rice,R,R,12,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_R_4,QR未検出,,stat,,var,,0,0.614290,,0.614290,frame_00000.png,frame_00118.png,,,,,,3,nagaoka_fireworks,R,R,4,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_R_8,QR未検出,,stat,,var,,0,0.608319,,0.608319,frame_00000.png,frame_00118.png,,,,,,4,nagaoka_fireworks,R,R,8,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_R_12,QR未検出,,stat,,var,,0,0.615994,,0.615994,frame_00000.png,frame_00118.png,,,,,,5,nagaoka_fireworks,R,R,12,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_R_4,QR未検出,,stat,,var,,0,0.614142,,0.614142,frame_00000.png,frame_00118.png,,,,,,6,hocho,R,R,4,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_R_8,QR未検出,,stat,,var,,0,0.617345,,0.617345,frame_00000.png,frame_00118.png,,,,,,7,hocho,R,R,8,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_R_12,QR未検出,,stat,,var,,0,0.629887,,0.629887,frame_00000.png,frame_00118.png,,,,,,8,hocho,R,R,12,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_R_4,QR未検出,,stat,,var,,0,0.631759,,0.631759,frame_00000.png,frame_00118.png,,,,,,9,ex,R,R,4,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_R_8,QR未検出,,stat,,var,,0,0.633278,,0.633278,frame_00000.png,frame_00118.png,,,,,,10,ex,R,R,8,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_R_12,QR未検出,,stat,,var,,0,0.656657,,0.656657,frame_00000.png,frame_00118.png,,,,,,11,ex,R,R,12,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_G_4,QR未検出,,stat,,var,,0,0.632266,,0.632266,frame_00000.png,frame_00118.png,,,,,,12,rice,G,G,4,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_G_8,QR未検出,,stat,,var,,0,0.632093,,0.632093,frame_00000.png,frame_00118.png,,,,,,13,rice,G,G,8,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_G_12,QR未検出,,stat,,var,,0,0.633118,,0.633118,frame_00000.png,frame_00118.png,,,,,,14,rice,G,G,12,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_G_4,QR未検出,,stat,,var,,0,0.613265,,0.613265,frame_00000.png,frame_00118.png,,,,,,15,nagaoka_fireworks,G,G,4,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_G_8,QR未検出,,stat,,var,,0,0.609781,,0.609781,frame_00000.png,frame_00118.png,,,,,,16,nagaoka_fireworks,G,G,8,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_G_12,QR未検出,,stat,,var,,0,0.618283,,0.618283,frame_00000.png,frame_00118.png,,,,,,17,nagaoka_fireworks,G,G,12,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_G_4,QR未検出,,stat,,var,,0,0.615800,,0.615800,frame_00000.png,frame_00118.png,,,,,,18,hocho,G,G,4,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_G_8,QR未検出,,stat,,var,,0,0.617326,,0.617326,frame_00000.png,frame_00118.png,,,,,,19,hocho,G,G,8,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_G_12,QR未検出,,stat,,var,,0,0.627476,,0.627476,frame_00000.png,frame_00118.png,,,,,,20,hocho,G,G,12,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_G_4,QR未検出,,stat,,var,,0,0.631962,,0.631962,frame_00000.png,frame_00118.png,,,,,,21,ex,G,G,4,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_G_8,QR未検出,,stat,,var,,0,0.633647,,0.633647,frame_00000.png,frame_00118.png,,,,,,22,ex,G,G,8,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_G_12,QR未検出,,stat,,var,,0,0.637914,,0.637914,frame_00000.png,frame_00118.png,,,,,,23,ex,G,G,12,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_B_4,QR未検出,,stat,,var,,0,0.628996,,0.628996,frame_00000.png,frame_00118.png,,,,,,24,rice,B,B,4,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_B_8,QR未検出,,stat,,var,,0,0.627653,,0.627653,frame_00000.png,frame_00118.png,,,,,,25,rice,B,B,8,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_B_12,QR未検出,,stat,,var,,0,0.629659,,0.629659,frame_00000.png,frame_00118.png,,,,,,26,rice,B,B,12,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_B_4,QR未検出,,stat,,var,,0,0.615293,,0.615293,frame_00000.png,frame_00118.png,,,,,,27,nagaoka_fireworks,B,B,4,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_B_8,QR未検出,,stat,,var,,0,0.617720,,0.617720,frame_00000.png,frame_00118.png,,,,,,28,nagaoka_fireworks,B,B,8,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_B_12,QR未検出,,stat,,var,,0,0.616988,,0.616988,frame_00000.png,frame_00118.png,,,,,,29,nagaoka_fireworks,B,B,12,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_B_4,QR未検出,,stat,,var,,0,0.615274,,0.615274,frame_00000.png,frame_00118.png,,,,,,30,hocho,B,B,4,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_B_8,QR未検出,,stat,,var,,0,0.613722,,0.613722,frame_00000.png,frame_00118.png,,,,,,31,hocho,B,B,8,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_B_12,QR未検出,,stat,,var,,0,0.602326,,0.602326,frame_00000.png,frame_00118.png,,,,,,32,hocho,B,B,12,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_B_4,QR未検出,,stat,,var,,0,0.632270,,0.632270,frame_00000.png,frame_00118.png,,,,,,33,ex,B,B,4,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_B_8,QR未検出,,stat,,var,,0,0.632170,,0.632170,frame_00000.png,frame_00118.png,,,,,,34,ex,B,B,8,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_B_12,QR未検出,,stat,,var,,0,0.633965,,0.633965,frame_00000.png,frame_00118.png,,,,,,35,ex,B,B,12,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_I_4,QR未検出,,stat,,var,,0,0.630692,,0.630692,frame_00000.png,frame_00118.png,,,,,,36,rice,min,I,4,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_I_8,QR未検出,,stat,,var,,0,0.633670,,0.633670,frame_00000.png,frame_00118.png,,,,,,37,rice,min,I,8,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_I_12,QR未検出,,stat,,var,,0,0.646671,,0.646671,frame_00000.png,frame_00118.png,,,,,,38,rice,min,I,12,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_I_4,QR未検出,,stat,,var,,0,0.615296,,0.615296,frame_00000.png,frame_00118.png,,,,,,39,nagaoka_fireworks,min,I,4,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_I_8,QR未検出,,stat,,var,,0,0.615576,,0.615576,frame_00000.png,frame_00118.png,,,,,,40,nagaoka_fireworks,min,I,8,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_I_12,QR未検出,,stat,,var,,0,0.617893,,0.617893,frame_00000.png,frame_00118.png,,,,,,41,nagaoka_fireworks,min,I,12,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_I_4,QR未検出,,stat,,var,,0,0.616315,,0.616315,frame_00000.png,frame_00118.png,,,,,,42,hocho,min,I,4,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_I_8,QR未検出,,stat,,var,,0,0.620379,,0.620379,frame_00000.png,frame_00118.png,,,,,,43,hocho,min,I,8,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_I_12,QR未検出,,stat,,var,,0,0.646416,,0.646416,frame_00000.png,frame_00118.png,,,,,,44,hocho,min,I,12,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_I_4,QR未検出,,stat,,var,,0,0.629794,,0.629794,frame_00000.png,frame_00118.png,,,,,,45,ex,min,I,4,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_I_8,QR未検出,,stat,,var,,0,0.630356,,0.630356,frame_00000.png,frame_00118.png,,,,,,46,ex,min,I,8,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_I_12,QR未検出,,stat,,var,,0,0.630711,,0.630711,frame_00000.png,frame_00118.png,,,,,,47,ex,min,I,12,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_X_4,QR未検出,,stat,,var,,0,0.631560,,0.631560,frame_00000.png,frame_00118.png,,,,,,48,rice,max,X,4,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_X_8,QR未検出,,stat,,var,,0,0.630433,,0.630433,frame_00000.png,frame_00118.png,,,,,,49,rice,max,X,8,,,frame_00000.png,frame_00118.png,,119,1.987555
rice_X_12,QR未検出,,stat,,var,,0,0.629323,,0.629323,frame_00000.png,frame_00118.png,,,,,,50,rice,max,X,12,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_X_4,QR未検出,,stat,,var,,0,0.613820,,0.613820,frame_00000.png,frame_00118.png,,,,,,51,nagaoka_fireworks,max,X,4,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_X_8,QR未検出,,stat,,var,,0,0.614101,,0.614101,frame_00000.png,frame_00118.png,,,,,,52,nagaoka_fireworks,max,X,8,,,frame_00000.png,frame_00118.png,,119,1.987555
nagaoka_fireworks_X_12,QR未検出,,stat,,var,,0,0.612534,,0.612534,frame_00000.png,frame_00118.png,,,,,,53,nagaoka_fireworks,max,X,12,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_X_4,QR未検出,,stat,,var,,0,0.616379,,0.616379,frame_00000.png,frame_00118.png,,,,,,54,hocho,max,X,4,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_X_8,QR未検出,,stat,,var,,0,0.615538,,0.615538,frame_00000.png,frame_00118.png,,,,,,55,hocho,max,X,8,,,frame_00000.png,frame_00118.png,,119,1.987555
hocho_X_12,QR未検出,,stat,,var,,0,0.600095,,0.600095,frame_00000.png,frame_00118.png,,,,,,56,hocho,max,X,12,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_X_4,QR未検出,,stat,,var,,0,0.632037,,0.632037,frame_00000.png,frame_00118.png,,,,,,57,ex,max,X,4,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_X_8,QR未検出,,stat,,var,,0,0.632025,,0.632025,frame_00000.png,frame_00118.png,,,,,,58,ex,max,X,8,,,frame_00000.png,frame_00118.png,,119,1.987555
ex_X_12,QR未検出,,stat,,var,,0,0.631967,,0.631967,frame_00000.png,frame_00118.png,,,,,,59,ex,max,X,12,,,frame_00000.png,frame_00118.png,,119,1.987555
