folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note,task_key,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold
rice_R_4,frame_00000.png,frame_00002.png,,,,0,decode失敗,QR未検出,0.170552,0.383238,0.599705,0.312941,,accum_num:accum::3:None:0:None:gray:0,accum,3,,,0
rice_R_4,frame_00021.png,frame_00023.png,,,,0,decode失敗,QR未検出,0.189997,0.388262,0.597735,0.289451,,accum_num:accum::3:None:0:None:gray:7,accum,3,,,0
rice_R_4,frame_00012.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.126020,0.337041,0.593201,0.291017,,accum_num:accum::3:None:0:None:gray:4,accum,3,,,0
rice_R_4,frame_00042.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.227880,0.365752,0.576730,0.385092,,accum_num:accum::3:None:0:None:gray:14,accum,3,,,0
rice_R_4,frame_00030.png,frame_00032.png,,,,0,decode失敗,QR未検出,0.137586,0.356599,0.597264,0.278293,,accum_num:accum::3:None:0:None:gray:10,accum,3,,,0
rice_R_4,frame_00033.png,frame_00035.png,,,,0,decode失敗,QR未検出,0.127738,0.320384,0.585454,0.291072,,accum_num:accum::3:None:0:None:gray:11,accum,3,,,0
rice_R_4,frame_00036.png,frame_00038.png,,,,0,decode失敗,QR未検出,0.154990,0.358174,0.592881,0.293801,,accum_num:accum::3:None:0:None:gray:12,accum,3,,,0
rice_R_4,frame_00018.png,frame_00020.png,,,,0,decode失敗,QR未検出,0.150180,0.355975,0.593324,0.294116,,accum_num:accum::3:None:0:None:gray:6,accum,3,,,0
rice_R_4,frame_00006.png,frame_00008.png,,,,0,decode失敗,QR未検出,0.142908,0.369064,0.600620,0.254373,,accum_num:accum::3:None:0:None:gray:2,accum,3,,,0
rice_R_4,frame_00009.png,frame_00011.png,,,,0,decode失敗,QR未検出,0.144491,0.341409,0.588714,0.296451,,accum_num:accum::3:None:0:None:gray:3,accum,3,,,0
rice_R_4,frame_00027.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.134498,0.343703,0.593034,0.293384,,accum_num:accum::3:None:0:None:gray:9,accum,3,,,0
rice_R_4,frame_00003.png,frame_00005.png,,,,0,decode失敗,QR未検出,0.173987,0.340942,0.578523,0.354748,,accum_num:accum::3:None:0:None:gray:1,accum,3,,,0
rice_R_4,frame_00045.png,frame_00047.png,,,,0,decode失敗,QR未検出,0.158021,0.369815,0.597047,0.300052,,accum_num:accum::3:None:0:None:gray:15,accum,3,,,0
rice_R_4,frame_00015.png,frame_00017.png,,,,0,decode失敗,QR未検出,0.130686,0.335830,0.591058,0.299381,,accum_num:accum::3:None:0:None:gray:5,accum,3,,,0
rice_R_4,frame_00024.png,frame_00026.png,,,,0,decode失敗,QR未検出,0.151425,0.373484,0.600190,0.286872,,accum_num:accum::3:None:0:None:gray:8,accum,3,,,0
rice_R_4,frame_00039.png,frame_00041.png,,,,0,decode失敗,QR未検出,0.290926,0.355327,0.551486,0.356905,,accum_num:accum::3:None:0:None:gray:13,accum,3,,,0
rice_R_4,frame_00048.png,frame_00050.png,,,,0,decode失敗,QR未検出,0.136872,0.345969,0.593196,0.289484,,accum_num:accum::3:None:0:None:gray:16,accum,3,,,0
rice_R_4,frame_00051.png,frame_00053.png,,,,0,decode失敗,QR未検出,0.134898,0.343098,0.592650,0.290925,,accum_num:accum::3:None:0:None:gray:17,accum,3,,,0
rice_R_4,frame_00072.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.181187,0.347309,0.579621,0.349756,,accum_num:accum::3:None:0:None:gray:24,accum,3,,,0
rice_R_4,frame_00057.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.139005,0.359314,0.597919,0.283780,,accum_num:accum::3:None:0:None:gray:19,accum,3,,,0
rice_R_4,frame_00063.png,frame_00065.png,,,,0,decode失敗,QR未検出,0.159372,0.357495,0.591317,0.299921,,accum_num:accum::3:None:0:None:gray:21,accum,3,,,0
rice_R_4,frame_00066.png,frame_00068.png,,,,0,decode失敗,QR未検出,0.148390,0.340780,0.587109,0.293245,,accum_num:accum::3:None:0:None:gray:22,accum,3,,,0
rice_R_4,frame_00060.png,frame_00062.png,,,,0,decode失敗,QR未検出,0.143622,0.348251,0.592003,0.283585,,accum_num:accum::3:None:0:None:gray:20,accum,3,,,0
rice_R_4,frame_00069.png,frame_00071.png,,,,0,decode失敗,QR未検出,0.127067,0.349160,0.597579,0.284542,,accum_num:accum::3:None:0:None:gray:23,accum,3,,,0
rice_R_4,frame_00054.png,frame_00056.png,,,,0,decode失敗,QR未検出,0.163714,0.357463,0.590047,0.303351,,accum_num:accum::3:None:0:None:gray:18,accum,3,,,0
rice_R_4,frame_00087.png,frame_00089.png,,,,0,decode失敗,QR未検出,0.130565,0.342268,0.593753,0.286981,,accum_num:accum::3:None:0:None:gray:29,accum,3,,,0
rice_R_4,frame_00078.png,frame_00080.png,,,,0,decode失敗,QR未検出,0.192400,0.374914,0.590836,0.349406,,accum_num:accum::3:None:0:None:gray:26,accum,3,,,0
rice_R_4,frame_00084.png,frame_00086.png,,,,0,decode失敗,QR未検出,0.222104,0.366143,0.578502,0.366250,,accum_num:accum::3:None:0:None:gray:28,accum,3,,,0
rice_R_4,frame_00090.png,frame_00092.png,,,,0,decode失敗,QR未検出,0.207421,0.368172,0.583528,0.347831,,accum_num:accum::3:None:0:None:gray:30,accum,3,,,0
rice_R_4,frame_00075.png,frame_00077.png,,,,0,decode失敗,QR未検出,0.165287,0.360007,0.590776,0.297883,,accum_num:accum::3:None:0:None:gray:25,accum,3,,,0
rice_R_4,frame_00093.png,frame_00095.png,,,,0,decode失敗,QR未検出,0.180607,0.356524,0.584679,0.307848,,accum_num:accum::3:None:0:None:gray:31,accum,3,,,0
rice_R_4,frame_00081.png,frame_00083.png,,,,0,decode失敗,QR未検出,0.185162,0.350067,0.579876,0.355938,,accum_num:accum::3:None:0:None:gray:27,accum,3,,,0
rice_R_4,frame_00102.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.146802,0.341635,0.588038,0.307460,,accum_num:accum::3:None:0:None:gray:34,accum,3,,,0
rice_R_4,frame_00096.png,frame_00098.png,,,,0,decode失敗,QR未検出,0.138068,0.353700,0.595973,0.288666,,accum_num:accum::3:None:0:None:gray:32,accum,3,,,0
rice_R_4,frame_00108.png,frame_00110.png,,,,0,decode失敗,QR未検出,0.153167,0.356211,0.592551,0.294245,,accum_num:accum::3:None:0:None:gray:36,accum,3,,,0
rice_R_4,frame_00111.png,frame_00113.png,,,,0,decode失敗,QR未検出,0.137325,0.343475,0.592005,0.294413,,accum_num:accum::3:None:0:None:gray:37,accum,3,,,0
rice_R_4,frame_00114.png,frame_00116.png,,,,0,decode失敗,QR未検出,0.130594,0.336395,0.591328,0.287422,,accum_num:accum::3:None:0:None:gray:38,accum,3,,,0
rice_R_4,frame_00105.png,frame_00107.png,,,,0,decode失敗,QR未検出,0.139058,0.332817,0.586731,0.292920,,accum_num:accum::3:None:0:None:gray:35,accum,3,,,0
rice_R_4,frame_00099.png,frame_00101.png,,,,0,decode失敗,QR未検出,0.220705,0.354560,0.571733,0.285420,,accum_num:accum::3:None:0:None:gray:33,accum,3,,,0
rice_R_4,frame_00010.png,frame_00014.png,,,,0,decode失敗,QR未検出,0.169442,0.342692,0.580982,0.365955,,accum_num:accum::5:None:0:None:gray:2,accum,5,,,0
rice_R_4,frame_00015.png,frame_00019.png,,,,0,decode失敗,QR未検出,0.135559,0.337778,0.590175,0.327040,,accum_num:accum::5:None:0:None:gray:3,accum,5,,,0
rice_R_4,frame_00005.png,frame_00009.png,,,,0,decode失敗,QR未検出,0.178349,0.363209,0.588677,0.310849,,accum_num:accum::5:None:0:None:gray:1,accum,5,,,0
rice_R_4,frame_00020.png,frame_00024.png,,,,0,decode失敗,QR未検出,0.196328,0.370946,0.587854,0.326572,,accum_num:accum::5:None:0:None:gray:4,accum,5,,,0
rice_R_4,frame_00025.png,frame_00029.png,,,,0,decode失敗,QR未検出,0.173616,0.355392,0.586157,0.352686,,accum_num:accum::5:None:0:None:gray:5,accum,5,,,0
rice_R_4,frame_00040.png,frame_00044.png,,,,0,decode失敗,QR未検出,0.161519,0.352670,0.588455,0.332436,,accum_num:accum::5:None:0:None:gray:8,accum,5,,,0
rice_R_4,frame_00000.png,frame_00004.png,,,,0,decode失敗,QR未検出,0.147835,0.355631,0.593866,0.333960,,accum_num:accum::5:None:0:None:gray:0,accum,5,,,0
rice_R_4,frame_00030.png,frame_00034.png,,,,0,decode失敗,QR未検出,0.166079,0.353563,0.587505,0.327286,,accum_num:accum::5:None:0:None:gray:6,accum,5,,,0
rice_R_4,frame_00035.png,frame_00039.png,,,,0,decode失敗,QR未検出,0.202152,0.360375,0.580588,0.365325,,accum_num:accum::5:None:0:None:gray:7,accum,5,,,0
rice_R_4,frame_00050.png,frame_00054.png,,,,0,decode失敗,QR未検出,0.178393,0.356946,0.585540,0.359839,,accum_num:accum::5:None:0:None:gray:10,accum,5,,,0
rice_R_4,frame_00045.png,frame_00049.png,,,,0,decode失敗,QR未検出,0.144925,0.358293,0.595821,0.320217,,accum_num:accum::5:None:0:None:gray:9,accum,5,,,0
rice_R_4,frame_00070.png,frame_00074.png,,,,0,decode失敗,QR未検出,0.170146,0.354403,0.586696,0.352325,,accum_num:accum::5:None:0:None:gray:14,accum,5,,,0
rice_R_4,frame_00060.png,frame_00064.png,,,,0,decode失敗,QR未検出,0.152790,0.351798,0.590710,0.315914,,accum_num:accum::5:None:0:None:gray:12,accum,5,,,0
rice_R_4,frame_00055.png,frame_00059.png,,,,0,decode失敗,QR未検出,0.175141,0.350462,0.583193,0.356007,,accum_num:accum::5:None:0:None:gray:11,accum,5,,,0
rice_R_4,frame_00075.png,frame_00079.png,,,,0,decode失敗,QR未検出,0.188236,0.357283,0.582859,0.356536,,accum_num:accum::5:None:0:None:gray:15,accum,5,,,0
rice_R_4,frame_00065.png,frame_00069.png,,,,0,decode失敗,QR未検出,0.143579,0.355206,0.594944,0.316962,,accum_num:accum::5:None:0:None:gray:13,accum,5,,,0
rice_R_4,frame_00080.png,frame_00084.png,,,,0,decode失敗,QR未検出,0.140539,0.337075,0.588126,0.320489,,accum_num:accum::5:None:0:None:gray:16,accum,5,,,0
rice_R_4,frame_00100.png,frame_00104.png,,,,0,decode失敗,QR未検出,0.120789,0.334389,0.594005,0.290913,,accum_num:accum::5:None:0:None:gray:20,accum,5,,,0
rice_R_4,frame_00105.png,frame_00109.png,,,,0,decode失敗,QR未検出,0.148308,0.345959,0.589499,0.324147,,accum_num:accum::5:None:0:None:gray:21,accum,5,,,0
rice_R_4,frame_00085.png,frame_00089.png,,,,0,decode失敗,QR未検出,0.140510,0.345847,0.591970,0.317101,,accum_num:accum::5:None:0:None:gray:17,accum,5,,,0
rice_R_4,frame_00095.png,frame_00099.png,,,,0,decode失敗,QR未検出,0.196569,0.347413,0.574777,0.389119,,accum_num:accum::5:None:0:None:gray:19,accum,5,,,0
